         10x12WE                  (10x12WE.dat)                                                                                                                           
         v2020-0506                                                                                                                                                       
         Simulation Date: 03/09/2021                                                                                                                                      
                                                                                                                                                                          
         POLARS WERE GENERATED USING:  TAIR (DEFAULT, BATCH)                                                                                                              
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
         Mach (at prop tip)                                                                                                                                               
         Reyn (at 75% of span)                                                                                                                                            
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1456      0.0832       0.001       0.042       0.046       0.499       0.005       0.206      42.121        0.04      13315.  
         0.5        0.05      0.0854      0.1457      0.0869       0.001       0.044       0.046       0.521       0.005       0.206      40.394        0.04      13318.  
         1.0        0.10      0.1636      0.1459      0.0908       0.001       0.046       0.046       0.545       0.005       0.207      38.710        0.04      13327.  
         1.4        0.15      0.2351      0.1461      0.0949       0.001       0.048       0.047       0.569       0.005       0.207      37.082        0.04      13343.  
         1.9        0.20      0.3002      0.1463      0.0992       0.001       0.050       0.047       0.595       0.006       0.207      35.519        0.04      13365.  
         2.4        0.25      0.3595      0.1465      0.1037       0.001       0.053       0.047       0.622       0.006       0.208      34.023        0.04      13392.  
         2.9        0.31      0.4133      0.1466      0.1083       0.001       0.055       0.047       0.650       0.006       0.208      32.596        0.04      13426.  
         3.4        0.36      0.4621      0.1467      0.1132       0.001       0.057       0.047       0.679       0.006       0.208      31.235        0.04      13466.  
         3.9        0.41      0.5063      0.1468      0.1181       0.001       0.060       0.047       0.708       0.007       0.208      29.949        0.04      13512.  
         4.3        0.46      0.5464      0.1468      0.1231       0.001       0.062       0.047       0.738       0.007       0.208      28.730        0.04      13564.  
         4.8        0.51      0.5825      0.1466      0.1281       0.001       0.065       0.047       0.769       0.007       0.208      27.563        0.04      13622.  
         5.3        0.56      0.6148      0.1460      0.1329       0.001       0.067       0.047       0.797       0.008       0.207      26.449        0.04      13686.  
         5.8        0.61      0.6438      0.1446      0.1372       0.001       0.070       0.046       0.823       0.008       0.205      25.386        0.04      13755.  
         6.3        0.66      0.6695      0.1421      0.1404       0.001       0.071       0.045       0.842       0.008       0.201      24.371        0.04      13830.  
         6.7        0.71      0.6921      0.1383      0.1424       0.001       0.072       0.044       0.854       0.008       0.196      23.393        0.04      13911.  
         7.2        0.76      0.7115      0.1333      0.1430       0.001       0.073       0.042       0.858       0.008       0.189      22.446        0.04      13997.  
         7.7        0.81      0.7281      0.1268      0.1418       0.001       0.072       0.040       0.851       0.008       0.180      21.533        0.04      14088.  
         8.2        0.87      0.7419      0.1186      0.1383       0.001       0.070       0.038       0.829       0.008       0.168      20.651        0.04      14185.  
         8.7        0.92      0.7528      0.1096      0.1334       0.001       0.068       0.035       0.800       0.008       0.155      19.790        0.04      14286.  
         9.2        0.97      0.7605      0.1004      0.1277       0.001       0.065       0.032       0.766       0.007       0.142      18.939        0.04      14393.  
         9.6        1.02      0.7647      0.0910      0.1212       0.001       0.061       0.029       0.727       0.007       0.129      18.092        0.04      14505.  
        10.1        1.07      0.7690      0.0816      0.1134       0.001       0.057       0.026       0.680       0.006       0.116      17.328        0.04      14621.  
        10.6        1.12      0.7706      0.0719      0.1045       0.001       0.053       0.023       0.627       0.006       0.102      16.574        0.04      14742.  
        11.1        1.17      0.7673      0.0622      0.0948       0.001       0.048       0.020       0.569       0.005       0.088      15.786        0.04      14868.  
        11.6        1.22      0.7575      0.0522      0.0842       0.001       0.043       0.017       0.505       0.005       0.074      14.935        0.04      14998.  
        12.1        1.27      0.7382      0.0421      0.0726       0.001       0.037       0.013       0.435       0.004       0.060      13.973        0.04      15133.  
        12.5        1.32      0.7021      0.0319      0.0601       0.000       0.030       0.010       0.360       0.003       0.045      12.778        0.04      15272.  
        13.0        1.37      0.6298      0.0214      0.0467       0.000       0.024       0.007       0.280       0.003       0.030      11.037        0.04      15415.  
        13.5        1.43      0.4729      0.0108      0.0325       0.000       0.016       0.003       0.195       0.002       0.015       7.992        0.04      15561.  
        14.0        1.48     -0.0005      0.0000      0.0174       0.000       0.009       0.000       0.104       0.001       0.000      -0.009        0.04      15712.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       2000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1456      0.0832       0.005       0.169       0.185       3.994       0.019       0.825      21.061        0.08      26630.  
         1.0        0.05      0.0853      0.1457      0.0869       0.006       0.176       0.186       4.169       0.020       0.826      20.198        0.08      26636.  
         1.9        0.10      0.1635      0.1459      0.0908       0.006       0.184       0.186       4.356       0.021       0.827      19.356        0.08      26655.  
         2.9        0.15      0.2349      0.1461      0.0949       0.006       0.192       0.186       4.553       0.022       0.828      18.542        0.08      26686.  
         3.9        0.20      0.3000      0.1463      0.0992       0.006       0.201       0.186       4.760       0.023       0.829      17.760        0.08      26729.  
         4.8        0.25      0.3592      0.1465      0.1037       0.007       0.210       0.187       4.975       0.024       0.830      17.013        0.08      26785.  
         5.8        0.31      0.4129      0.1466      0.1083       0.007       0.220       0.187       5.199       0.025       0.831      16.299        0.08      26852.  
         6.7        0.36      0.4616      0.1468      0.1132       0.007       0.230       0.187       5.431       0.026       0.832      15.619        0.08      26932.  
         7.7        0.41      0.5059      0.1469      0.1181       0.008       0.239       0.187       5.667       0.027       0.832      14.977        0.08      27024.  
         8.7        0.46      0.5460      0.1468      0.1231       0.008       0.250       0.187       5.907       0.028       0.832      14.368        0.08      27128.  
         9.6        0.51      0.5821      0.1467      0.1281       0.008       0.260       0.187       6.148       0.029       0.831      13.785        0.08      27243.  
        10.6        0.56      0.6144      0.1460      0.1330       0.009       0.270       0.186       6.381       0.030       0.828      13.229        0.08      27370.  
        11.6        0.61      0.6434      0.1447      0.1372       0.009       0.278       0.184       6.585       0.031       0.820      12.698        0.08      27509.  
        12.5        0.66      0.6692      0.1422      0.1405       0.009       0.285       0.181       6.741       0.032       0.806      12.191        0.08      27658.  
        13.5        0.71      0.6918      0.1385      0.1425       0.009       0.289       0.176       6.839       0.033       0.785      11.702        0.08      27819.  
        14.4        0.76      0.7112      0.1335      0.1432       0.009       0.290       0.170       6.870       0.033       0.757      11.229        0.08      27991.  
        15.4        0.81      0.7278      0.1270      0.1420       0.009       0.288       0.162       6.815       0.033       0.720      10.773        0.08      28173.  
        16.4        0.86      0.7417      0.1188      0.1385       0.009       0.281       0.151       6.646       0.032       0.673      10.333        0.08      28366.  
        17.3        0.92      0.7526      0.1098      0.1336       0.009       0.271       0.140       6.411       0.031       0.623       9.902        0.08      28569.  
        18.3        0.97      0.7604      0.1007      0.1279       0.008       0.259       0.128       6.139       0.029       0.571       9.478        0.08      28782.  
        19.3        1.02      0.7646      0.0913      0.1214       0.008       0.246       0.116       5.828       0.028       0.517       9.054        0.08      29005.  
        20.2        1.07      0.7690      0.0818      0.1136       0.007       0.230       0.104       5.453       0.026       0.464       8.672        0.08      29237.  
        21.2        1.12      0.7706      0.0722      0.1048       0.007       0.213       0.092       5.031       0.024       0.409       8.296        0.08      29479.  
        22.2        1.17      0.7675      0.0624      0.0951       0.006       0.193       0.080       4.566       0.022       0.354       7.903        0.08      29730.  
        23.1        1.22      0.7579      0.0525      0.0845       0.005       0.171       0.067       4.056       0.019       0.297       7.479        0.09      29990.  
        24.1        1.27      0.7388      0.0424      0.0729       0.005       0.148       0.054       3.498       0.017       0.240       6.999        0.09      30259.  
        25.0        1.32      0.7029      0.0321      0.0603       0.004       0.122       0.041       2.894       0.014       0.182       6.403        0.09      30536.  
        26.0        1.37      0.6312      0.0216      0.0469       0.003       0.095       0.027       2.252       0.011       0.122       5.537        0.09      30821.  
        27.0        1.42      0.4748      0.0109      0.0326       0.002       0.066       0.014       1.565       0.007       0.062       4.016        0.09      31115.  
        27.9        1.47     -0.0007      0.0000      0.0174       0.001       0.035       0.000       0.836       0.004       0.000      -0.006        0.09      31416.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       3000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1456      0.0832       0.018       0.380       0.417      13.477       0.043       1.856      14.046        0.12      39945.  
         1.4        0.05      0.0853      0.1457      0.0869       0.019       0.396       0.418      14.067       0.045       1.858      13.470        0.12      39954.  
         2.9        0.10      0.1634      0.1459      0.0907       0.020       0.414       0.418      14.698       0.047       1.860      12.908        0.12      39982.  
         4.3        0.15      0.2348      0.1461      0.0949       0.021       0.433       0.419      15.366       0.049       1.863      12.364        0.12      40028.  
         5.8        0.20      0.2998      0.1463      0.0992       0.022       0.453       0.419      16.066       0.051       1.866      11.842        0.12      40093.  
         7.2        0.25      0.3590      0.1465      0.1037       0.023       0.473       0.420      16.794       0.053       1.868      11.343        0.12      40177.  
         8.7        0.30      0.4127      0.1467      0.1084       0.024       0.494       0.420      17.550       0.056       1.870      10.867        0.12      40278.  
        10.1        0.36      0.4614      0.1468      0.1132       0.025       0.517       0.421      18.333       0.058       1.872      10.413        0.12      40398.  
        11.6        0.41      0.5056      0.1469      0.1181       0.026       0.539       0.421      19.132       0.061       1.873       9.985        0.12      40535.  
        13.0        0.46      0.5458      0.1469      0.1231       0.027       0.562       0.421      19.942       0.063       1.873       9.580        0.12      40691.  
        14.4        0.51      0.5819      0.1467      0.1282       0.028       0.585       0.421      20.757       0.066       1.871       9.192        0.12      40864.  
        15.9        0.56      0.6142      0.1462      0.1330       0.029       0.607       0.419      21.547       0.069       1.864       8.821        0.12      41054.  
        17.3        0.61      0.6432      0.1448      0.1373       0.030       0.627       0.415      22.244       0.071       1.847       8.468        0.12      41261.  
