         10x4.5MRF-RH             (10x45MRF-RH.dat)                                                                                                                       
         v2020-0506                                                                                                                                                       
         Simulation Date: 09/24/2020                                                                                                                                      
                                                                                                                                                                          
         POLARS WERE GENERATED USING:  TAIR (DEFAULT, BATCH)                                                                                                              
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
         Mach (at prop tip)                                                                                                                                               
         Reyn (at 75% of span)                                                                                                                                            
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1131      0.0471       0.000       0.024       0.036       0.282       0.003       0.160      57.861        0.04      12762.  
         0.2        0.02      0.0548      0.1110      0.0475       0.000       0.024       0.035       0.285       0.003       0.157      56.345        0.04      12762.  
         0.4        0.05      0.1067      0.1088      0.0478       0.000       0.024       0.035       0.287       0.003       0.154      54.844        0.04      12764.  
         0.7        0.07      0.1557      0.1063      0.0480       0.000       0.024       0.034       0.288       0.003       0.151      53.357        0.04      12767.  
         0.9        0.09      0.2019      0.1038      0.0482       0.000       0.024       0.033       0.289       0.003       0.147      51.886        0.04      12772.  
         1.1        0.12      0.2454      0.1011      0.0483       0.000       0.024       0.032       0.290       0.003       0.143      50.442        0.04      12777.  
         1.3        0.14      0.2859      0.0982      0.0483       0.000       0.024       0.031       0.290       0.003       0.139      48.986        0.04      12784.  
         1.6        0.16      0.3240      0.0951      0.0482       0.000       0.024       0.030       0.289       0.003       0.135      47.574        0.04      12793.  
         1.8        0.19      0.3595      0.0919      0.0479       0.000       0.024       0.029       0.287       0.003       0.130      46.189        0.04      12802.  
         2.0        0.21      0.3929      0.0885      0.0475       0.000       0.024       0.028       0.285       0.003       0.125      44.879        0.04      12813.  
         2.2        0.23      0.4243      0.0851      0.0470       0.000       0.024       0.027       0.282       0.003       0.121      43.618        0.04      12825.  
         2.4        0.26      0.4534      0.0815      0.0463       0.000       0.023       0.026       0.278       0.003       0.115      42.372        0.04      12838.  
         2.7        0.28      0.4802      0.0778      0.0456       0.000       0.023       0.025       0.273       0.003       0.110      41.136        0.04      12852.  
         2.9        0.30      0.5047      0.0741      0.0447       0.000       0.023       0.024       0.268       0.003       0.105      39.904        0.04      12868.  
         3.1        0.33      0.5267      0.0702      0.0437       0.000       0.022       0.022       0.262       0.003       0.100      38.672        0.04      12885.  
         3.3        0.35      0.5463      0.0663      0.0426       0.000       0.022       0.021       0.256       0.002       0.094      37.436        0.04      12903.  
         3.6        0.37      0.5633      0.0622      0.0414       0.000       0.021       0.020       0.248       0.002       0.088      36.192        0.04      12922.  
         3.8        0.40      0.5778      0.0580      0.0400       0.000       0.020       0.018       0.240       0.002       0.082      34.935        0.04      12943.  
         4.0        0.42      0.5895      0.0537      0.0384       0.000       0.019       0.017       0.231       0.002       0.076      33.663        0.04      12964.  
         4.2        0.45      0.5980      0.0493      0.0367       0.000       0.019       0.016       0.220       0.002       0.070      32.350        0.04      12987.  
         4.4        0.47      0.6030      0.0448      0.0348       0.000       0.018       0.014       0.209       0.002       0.063      30.991        0.04      13012.  
         4.7        0.49      0.6038      0.0401      0.0327       0.000       0.017       0.013       0.196       0.002       0.057      29.557        0.04      13037.  
         4.9        0.52      0.5993      0.0354      0.0305       0.000       0.015       0.011       0.183       0.002       0.050      28.002        0.04      13063.  
         5.1        0.54      0.5876      0.0306      0.0281       0.000       0.014       0.010       0.169       0.002       0.043      26.262        0.04      13091.  
         5.3        0.56      0.5661      0.0257      0.0256       0.000       0.013       0.008       0.153       0.001       0.036      24.244        0.04      13120.  
         5.5        0.59      0.5307      0.0207      0.0229       0.000       0.012       0.007       0.137       0.001       0.029      21.820        0.04      13150.  
         5.8        0.61      0.4748      0.0156      0.0201       0.000       0.010       0.005       0.120       0.001       0.022      18.773        0.04      13181.  
         6.0        0.63      0.3858      0.0105      0.0172       0.000       0.009       0.003       0.103       0.001       0.015      14.689        0.04      13214.  
         6.2        0.66      0.2414      0.0052      0.0143       0.000       0.007       0.002       0.086       0.001       0.007       8.863        0.04      13247.  
         6.4        0.68     -0.0026      0.0000      0.0113       0.000       0.006       0.000       0.068       0.001       0.000      -0.091        0.04      13282.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       2000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1132      0.0471       0.003       0.096       0.144       2.263       0.011       0.642      28.924        0.08      25523.  
         0.4        0.02      0.0543      0.1111      0.0475       0.003       0.096       0.142       2.279       0.011       0.630      28.168        0.08      25524.  
         0.9        0.05      0.1057      0.1088      0.0478       0.003       0.097       0.139       2.293       0.011       0.617      27.428        0.08      25528.  
         1.3        0.07      0.1544      0.1064      0.0480       0.003       0.097       0.136       2.304       0.011       0.603      26.699        0.08      25534.  
         1.8        0.09      0.2001      0.1038      0.0482       0.003       0.098       0.132       2.311       0.011       0.588      25.960        0.08      25543.  
         2.2        0.12      0.2433      0.1012      0.0482       0.003       0.098       0.129       2.315       0.011       0.573      25.252        0.08      25554.  
         2.6        0.14      0.2838      0.0983      0.0482       0.003       0.098       0.125       2.315       0.011       0.557      24.538        0.08      25568.  
         3.1        0.16      0.3215      0.0952      0.0481       0.003       0.098       0.121       2.308       0.011       0.539      23.832        0.08      25584.  
         3.5        0.19      0.3569      0.0919      0.0478       0.003       0.097       0.117       2.295       0.011       0.521      23.146        0.08      25602.  
         4.0        0.21      0.3903      0.0886      0.0474       0.003       0.096       0.113       2.276       0.011       0.502      22.499        0.08      25623.  
         4.4        0.23      0.4216      0.0852      0.0469       0.003       0.095       0.109       2.250       0.011       0.483      21.874        0.08      25647.  
         4.8        0.26      0.4506      0.0816      0.0462       0.003       0.094       0.104       2.219       0.011       0.463      21.256        0.08      25673.  
         5.3        0.28      0.4774      0.0779      0.0455       0.003       0.092       0.099       2.182       0.010       0.442      20.641        0.08      25701.  
         5.7        0.30      0.5019      0.0742      0.0446       0.003       0.090       0.095       2.141       0.010       0.421      20.030        0.08      25732.  
         6.2        0.32      0.5240      0.0704      0.0436       0.003       0.088       0.090       2.094       0.010       0.399      19.419        0.08      25765.  
         6.6        0.35      0.5437      0.0664      0.0425       0.003       0.086       0.085       2.041       0.010       0.376      18.806        0.08      25800.  
         7.0        0.37      0.5609      0.0624      0.0413       0.003       0.084       0.079       1.982       0.009       0.354      18.188        0.08      25838.  
         7.5        0.39      0.5754      0.0582      0.0399       0.003       0.081       0.074       1.916       0.009       0.330      17.561        0.08      25879.  
         7.9        0.42      0.5873      0.0539      0.0384       0.002       0.078       0.069       1.841       0.009       0.306      16.931        0.08      25921.  
         8.4        0.44      0.5961      0.0495      0.0366       0.002       0.074       0.063       1.757       0.008       0.281      16.279        0.08      25966.  
         8.8        0.46      0.6014      0.0450      0.0347       0.002       0.070       0.057       1.666       0.008       0.255      15.603        0.08      26014.  
         9.2        0.49      0.6026      0.0404      0.0326       0.002       0.066       0.051       1.566       0.007       0.229      14.888        0.08      26064.  
         9.7        0.51      0.5984      0.0356      0.0304       0.002       0.062       0.045       1.459       0.007       0.202      14.114        0.08      26116.  
        10.1        0.53      0.5872      0.0308      0.0280       0.002       0.057       0.039       1.344       0.006       0.175      13.247        0.08      26170.  
        10.6        0.56      0.5663      0.0259      0.0255       0.002       0.052       0.033       1.222       0.006       0.147      12.243        0.08      26227.  
        11.0        0.58      0.5316      0.0209      0.0228       0.001       0.046       0.027       1.093       0.005       0.118      11.033        0.08      26286.  
        11.4        0.60      0.4767      0.0158      0.0199       0.001       0.040       0.020       0.957       0.005       0.089       9.513        0.08      26347.  
        11.9        0.63      0.3888      0.0106      0.0170       0.001       0.035       0.013       0.817       0.004       0.060       7.471        0.08      26411.  
        12.3        0.65      0.2451      0.0053      0.0141       0.001       0.029       0.007       0.675       0.003       0.030       4.541        0.08      26476.  
        12.7        0.67     -0.0011      0.0000      0.0111       0.001       0.022       0.000       0.532       0.003       0.000      -0.020        0.08      26544.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       3000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1134      0.0473       0.010       0.216       0.325       7.656       0.024       1.446      19.263        0.12      38285.  
         0.7        0.02      0.0542      0.1113      0.0476       0.010       0.217       0.319       7.710       0.025       1.419      18.767        0.12      38287.  
         1.3        0.05      0.1055      0.1090      0.0479       0.010       0.218       0.312       7.755       0.025       1.390      18.276        0.12      38292.  
         2.0        0.07      0.1540      0.1066      0.0481       0.010       0.219       0.306       7.790       0.025       1.359      17.788        0.12      38302.  
         2.6        0.09      0.1998      0.1040      0.0482       0.010       0.220       0.298       7.814       0.025       1.326      17.305        0.12      38314.  
         3.3        0.12      0.2428      0.1013      0.0483       0.010       0.220       0.290       7.825       0.025       1.291      16.828        0.12      38331.  
         4.0        0.14      0.2832      0.0984      0.0483       0.010       0.220       0.282       7.822       0.025       1.254      16.354        0.12      38351.  
         4.6        0.16      0.3209      0.0953      0.0481       0.010       0.220       0.273       7.798       0.025       1.215      15.885        0.12      38375.  
         5.3        0.19      0.3563      0.0920      0.0479       0.010       0.218       0.264       7.752       0.025       1.173      15.432        0.12      38403.  
         5.9        0.21      0.3897      0.0886      0.0474       0.010       0.216       0.254       7.685       0.024       1.130      15.001        0.12      38435.  
         6.6        0.23      0.4210      0.0852      0.0469       0.010       0.214       0.244       7.595       0.024       1.086      14.586        0.12      38470.  
         7.2        0.25      0.4500      0.0816      0.0462       0.010       0.211       0.234       7.489       0.024       1.041      14.175        0.12      38508.  
         7.9        0.28      0.4769      0.0780      0.0455       0.010       0.207       0.224       7.365       0.023       0.994      13.768        0.12      38551.  
         8.6        0.30      0.5014      0.0742      0.0446       0.010       0.203       0.213       7.223       0.023       0.946      13.362        0.12      38597.  
         9.2        0.32      0.5235      0.0704      0.0436       0.009       0.199       0.202       7.063       0.022       0.897      12.955        0.12      38646.  
         9.9        0.35      0.5432      0.0664      0.0425       0.009       0.194       0.190       6.883       0.022       0.847      12.547        0.12      38699.  
        10.5        0.37      0.5604      0.0624      0.0413       0.009       0.188       0.179       6.681       0.021       0.795      12.136        0.12      38756.  
        11.2        0.39      0.5750      0.0582      0.0399       0.009       0.182       0.167       6.458       0.021       0.742      11.719        0.12      38816.  
        11.9        0.42      0.5869      0.0539      0.0383       0.008       0.175       0.155       6.204       0.020       0.687      11.296        0.12      38880.  
        12.5        0.44      0.5957      0.0495      0.0366       0.008       0.167       0.142       5.923       0.019       0.631      10.863        0.12      38948.  
        13.2        0.46      0.6010      0.0450      0.0347       0.008       0.158       0.129       5.615       0.018       0.573      10.412        0.12      39018.  
        13.8        0.49      0.6022      0.0403      0.0326       0.007       0.149       0.116       5.279       0.017       0.514       9.936        0.12      39093.  
        14.5        0.51      0.5981      0.0356      0.0304       0.007       0.139       0.102       4.917       0.016       0.454       9.420        0.12      39171.  
        15.1        0.53      0.5870      0.0308      0.0280       0.006       0.128       0.088       4.529       0.014       0.393       8.842        0.12      39252.  
        15.8        0.56      0.5661      0.0259      0.0254       0.006       0.116       0.074       4.117       0.013       0.330       8.172        0.12      39337.  
        16.5        0.58      0.5316      0.0209      0.0227       0.005       0.104       0.060       3.682       0.012       0.266       7.367        0.12      39425.  
        17.1        0.60      0.4767      0.0158      0.0199       0.004       0.091       0.045       3.225       0.010       0.201       6.352        0.12      39517.  
        17.8        0.63      0.3890      0.0106      0.0170       0.004       0.078       0.030       2.752       0.009       0.135       4.991        0.12      39612.  
        18.4        0.65      0.2453      0.0053      0.0140       0.003       0.064       0.015       2.272       0.007       0.068       3.036        0.12      39710.  
        19.1        0.67     -0.0012      0.0000      0.0111       0.002       0.050       0.000       1.790       0.006       0.000      -0.014        0.12      39812.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       4000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1138      0.0474       0.024       0.384       0.580      18.195       0.043       2.579      14.456        0.16      51046.  
         0.9        0.02      0.0542      0.1116      0.0477       0.025       0.387       0.569      18.323       0.044       2.531      14.083        0.16      51049.  
         1.8        0.05      0.1055      0.1093      0.0480       0.025       0.389       0.557      18.428       0.044       2.479      13.715        0.16      51056.  
         2.6        0.07      0.1541      0.1069      0.0482       0.025       0.391       0.545      18.510       0.044       2.423      13.349        0.16      51069.  
         3.5        0.09      0.1999      0.1043      0.0484       0.025       0.392       0.532      18.565       0.044       2.364      12.987        0.16      51086.  
         4.4        0.12      0.2430      0.1016      0.0484       0.025       0.393       0.518      18.590       0.044       2.302      12.629        0.16      51108.  
         5.3        0.14      0.2834      0.0986      0.0484       0.025       0.393       0.503      18.582       0.044       2.236      12.273        0.16      51135.  
         6.1        0.16      0.3211      0.0955      0.0482       0.025       0.391       0.487      18.523       0.044       2.165      11.921        0.16      51167.  
         7.0        0.19      0.3565      0.0922      0.0480       0.025       0.389       0.470      18.414       0.044       2.091      11.581        0.16      51204.  
         7.9        0.21      0.3899      0.0889      0.0475       0.024       0.386       0.453      18.250       0.044       2.015      11.258        0.16      51246.  
         8.8        0.23      0.4212      0.0854      0.0470       0.024       0.381       0.435      18.036       0.043       1.936      10.946        0.16      51293.  
         9.7        0.25      0.4503      0.0818      0.0463       0.024       0.376       0.417      17.781       0.042       1.855      10.638        0.16      51344.  
        10.5        0.28      0.4771      0.0781      0.0455       0.023       0.369       0.398      17.484       0.042       1.772      10.333        0.16      51401.  
