         11x12E                   (11x12E.dat)                                 09/10/18                                                                                   
                                                                                                                                                                          
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.1185      0.0786       0.001       0.064       0.055                                                                          
         0.5        0.05      0.0685      0.1186      0.0805       0.001       0.066       0.055                                                                          
         1.0        0.09      0.1336      0.1187      0.0825       0.001       0.067       0.055                                                                          
         1.5        0.14      0.1955      0.1188      0.0847       0.001       0.069       0.055                                                                          
         1.9        0.19      0.2540      0.1190      0.0870       0.001       0.071       0.055                                                                          
         2.4        0.23      0.3092      0.1192      0.0896       0.001       0.073       0.056                                                                          
         2.9        0.28      0.3613      0.1194      0.0922       0.001       0.075       0.056                                                                          
         3.4        0.33      0.4103      0.1196      0.0949       0.001       0.077       0.056                                                                          
         3.9        0.37      0.4564      0.1199      0.0976       0.001       0.080       0.056                                                                          
         4.4        0.42      0.4997      0.1201      0.1005       0.001       0.082       0.056                                                                          
         4.8        0.46      0.5404      0.1202      0.1034       0.001       0.084       0.056                                                                          
         5.3        0.51      0.5786      0.1203      0.1063       0.001       0.087       0.056                                                                          
         5.8        0.56      0.6144      0.1202      0.1091       0.001       0.089       0.056                                                                          
         6.3        0.60      0.6480      0.1197      0.1116       0.001       0.091       0.056                                                                          
         6.8        0.65      0.6790      0.1181      0.1132       0.001       0.092       0.055                                                                          
         7.3        0.70      0.7069      0.1151      0.1135       0.001       0.093       0.054                                                                          
         7.7        0.74      0.7317      0.1109      0.1127       0.001       0.092       0.052                                                                          
         8.2        0.79      0.7534      0.1056      0.1107       0.001       0.090       0.049                                                                          
         8.7        0.84      0.7719      0.0989      0.1072       0.001       0.088       0.046                                                                          
         9.2        0.88      0.7866      0.0909      0.1020       0.001       0.083       0.042                                                                          
         9.7        0.93      0.7969      0.0825      0.0962       0.001       0.079       0.038                                                                          
        10.2        0.98      0.8030      0.0739      0.0898       0.001       0.073       0.034                                                                          
        10.7        1.02      0.8031      0.0651      0.0828       0.001       0.068       0.030                                                                          
        11.1        1.07      0.7976      0.0561      0.0752       0.001       0.061       0.026                                                                          
        11.6        1.12      0.7879      0.0470      0.0665       0.001       0.054       0.022                                                                          
        12.1        1.16      0.7724      0.0378      0.0569       0.001       0.046       0.018                                                                          
        12.6        1.21      0.7453      0.0285      0.0463       0.001       0.038       0.013                                                                          
        13.1        1.25      0.6892      0.0191      0.0349       0.000       0.028       0.009                                                                          
        13.6        1.30      0.5492      0.0097      0.0229       0.000       0.019       0.005                                                                          
        14.0        1.35     -0.0067     -0.0001      0.0107       0.000       0.009       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       2000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.1185      0.0787       0.008       0.257       0.221                                                                          
         1.0        0.05      0.0684      0.1186      0.0805       0.008       0.263       0.221                                                                          
         1.9        0.09      0.1335      0.1186      0.0826       0.009       0.270       0.221                                                                          
         2.9        0.14      0.1952      0.1188      0.0848       0.009       0.277       0.222                                                                          
         3.9        0.19      0.2538      0.1189      0.0871       0.009       0.284       0.222                                                                          
         4.8        0.23      0.3089      0.1192      0.0896       0.009       0.293       0.222                                                                          
         5.8        0.28      0.3609      0.1194      0.0922       0.010       0.301       0.223                                                                          
         6.8        0.33      0.4099      0.1196      0.0949       0.010       0.310       0.223                                                                          
         7.7        0.37      0.4560      0.1199      0.0977       0.010       0.319       0.224                                                                          
         8.7        0.42      0.4993      0.1201      0.1005       0.010       0.328       0.224                                                                          
         9.7        0.46      0.5399      0.1202      0.1035       0.011       0.338       0.224                                                                          
        10.6        0.51      0.5782      0.1203      0.1063       0.011       0.347       0.224                                                                          
        11.6        0.56      0.6141      0.1202      0.1092       0.011       0.357       0.224                                                                          
        12.6        0.60      0.6477      0.1198      0.1117       0.012       0.365       0.223                                                                          
        13.5        0.65      0.6788      0.1182      0.1133       0.012       0.370       0.221                                                                          
        14.5        0.70      0.7067      0.1153      0.1137       0.012       0.371       0.215                                                                          
        15.5        0.74      0.7316      0.1111      0.1129       0.012       0.369       0.207                                                                          
        16.5        0.79      0.7533      0.1057      0.1108       0.011       0.362       0.197                                                                          
        17.4        0.84      0.7718      0.0991      0.1074       0.011       0.351       0.185                                                                          
        18.4        0.88      0.7865      0.0911      0.1022       0.011       0.334       0.170                                                                          
        19.4        0.93      0.7970      0.0827      0.0964       0.010       0.315       0.154                                                                          
        20.3        0.98      0.8031      0.0741      0.0900       0.009       0.294       0.138                                                                          
        21.3        1.02      0.8032      0.0652      0.0830       0.009       0.271       0.122                                                                          
        22.3        1.07      0.7977      0.0562      0.0753       0.008       0.246       0.105                                                                          
        23.2        1.11      0.7881      0.0471      0.0667       0.007       0.218       0.088                                                                          
        24.2        1.16      0.7727      0.0379      0.0570       0.006       0.186       0.071                                                                          
        25.2        1.21      0.7458      0.0286      0.0464       0.005       0.152       0.053                                                                          
        26.1        1.25      0.6903      0.0193      0.0350       0.004       0.114       0.036                                                                          
        27.1        1.30      0.5508      0.0097      0.0230       0.002       0.075       0.018                                                                          
        28.1        1.35     -0.0074     -0.0001      0.0107       0.001       0.035       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       3000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.1186      0.0782       0.027       0.575       0.498                                                                          
         1.5        0.05      0.0688      0.1186      0.0801       0.028       0.589       0.498                                                                          
         2.9        0.09      0.1342      0.1187      0.0821       0.029       0.604       0.498                                                                          
         4.4        0.14      0.1964      0.1188      0.0843       0.029       0.620       0.499                                                                          
         5.8        0.19      0.2552      0.1190      0.0866       0.030       0.637       0.500                                                                          
         7.3        0.23      0.3107      0.1192      0.0891       0.031       0.655       0.500                                                                          
         8.7        0.28      0.3631      0.1195      0.0917       0.032       0.674       0.501                                                                          
        10.2        0.33      0.4124      0.1197      0.0943       0.033       0.693       0.502                                                                          
        11.6        0.37      0.4590      0.1199      0.0970       0.034       0.713       0.503                                                                          
        13.1        0.42      0.5027      0.1201      0.0999       0.035       0.734       0.504                                                                          
        14.5        0.46      0.5436      0.1203      0.1028       0.036       0.755       0.505                                                                          
        16.0        0.51      0.5819      0.1204      0.1057       0.037       0.777       0.505                                                                          
        17.4        0.56      0.6177      0.1203      0.1085       0.038       0.798       0.505                                                                          
        18.9        0.60      0.6511      0.1198      0.1111       0.039       0.816       0.503                                                                          
        20.3        0.65      0.6823      0.1183      0.1127       0.039       0.828       0.496                                                                          
        21.8        0.70      0.7116      0.1154      0.1130       0.040       0.830       0.484                                                                          
        23.2        0.74      0.7380      0.1113      0.1120       0.039       0.823       0.467                                                                          
        24.7        0.79      0.7593      0.1059      0.1101       0.039       0.809       0.445                                                                          
        26.1        0.84      0.7761      0.0992      0.1068       0.037       0.785       0.416                                                                          
        27.6        0.88      0.7907      0.0912      0.1018       0.036       0.748       0.383                                                                          
        29.0        0.93      0.8013      0.0829      0.0961       0.034       0.706       0.348                                                                          
        30.5        0.98      0.8043      0.0743      0.0901       0.031       0.662       0.312                                                                          
        31.9        1.02      0.8032      0.0655      0.0833       0.029       0.612       0.275                                                                          
        33.4        1.07      0.7981      0.0565      0.0756       0.026       0.556       0.237                                                                          
        34.8        1.11      0.7885      0.0474      0.0670       0.023       0.492       0.199                                                                          
        36.3        1.16      0.7728      0.0381      0.0573       0.020       0.421       0.160                                                                          
        37.7        1.21      0.7465      0.0288      0.0466       0.016       0.342       0.121                                                                          
        39.2        1.25      0.6907      0.0194      0.0352       0.012       0.258       0.081                                                                          
        40.6        1.30      0.5473      0.0098      0.0232       0.008       0.171       0.041                                                                          
        42.1        1.35     -0.0015      0.0000      0.0109       0.004       0.080       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       4000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.1186      0.0784       0.065       1.024       0.885                                                                          
         1.9        0.05      0.0687      0.1186      0.0803       0.067       1.049       0.885                                                                          
         3.9        0.09      0.1340      0.1187      0.0823       0.068       1.075       0.886                                                                          
         5.8        0.14      0.1960      0.1188      0.0845       0.070       1.104       0.887                                                                          
         7.7        0.19      0.2547      0.1190      0.0868       0.072       1.134       0.888                                                                          
         9.7        0.23      0.3102      0.1192      0.0893       0.074       1.166       0.890                                                                          
        11.6        0.28      0.3626      0.1195      0.0918       0.076       1.200       0.891                                                                          
        13.5        0.33      0.4119      0.1197      0.0945       0.078       1.234       0.893                                                                          
        15.5        0.37      0.4584      0.1199      0.0972       0.081       1.270       0.895                                                                          
        17.4        0.42      0.5021      0.1201      0.1000       0.083       1.307       0.897                                                                          
        19.4        0.46      0.5433      0.1203      0.1029       0.085       1.344       0.898                                                                          
        21.3        0.51      0.5817      0.1204      0.1058       0.088       1.382       0.899                                                                          
        23.2        0.56      0.6178      0.1204      0.1086       0.090       1.419       0.898                                                                          
        25.2        0.60      0.6514      0.1200      0.1112       0.092       1.453       0.895                                                                          
        27.1        0.65      0.6828      0.1185      0.1129       0.094       1.475       0.884                                                                          
        29.0        0.70      0.7123      0.1157      0.1131       0.094       1.478       0.863                                                                          
        31.0        0.74      0.7389      0.1116      0.1122       0.093       1.466       0.832                                                                          
        32.9        0.79      0.7604      0.1062      0.1102       0.091       1.440       0.792                                                                          
        34.8        0.84      0.7777      0.0995      0.1069       0.089       1.397       0.742                                                                          
        36.8        0.88      0.7928      0.0915      0.1018       0.084       1.330       0.682                                                                          
        38.7        0.93      0.8042      0.0831      0.0960       0.080       1.254       0.620                                                                          
        40.6        0.98      0.8085      0.0745      0.0899       0.075       1.174       0.556                                                                          
        42.6        1.02      0.8090      0.0657      0.0830       0.069       1.085       0.490                                                                          
        44.5        1.07      0.8057      0.0568      0.0753       0.062       0.983       0.424                                                                          
        46.4        1.11      0.7976      0.0476      0.0666       0.055       0.870       0.355                                                                          
        48.4        1.16      0.7833      0.0384      0.0569       0.047       0.743       0.286                                                                          
        50.3        1.21      0.7579      0.0290      0.0462       0.038       0.603       0.216                                                                          
        52.3        1.25      0.7025      0.0195      0.0348       0.029       0.455       0.146                                                                          
        54.2        1.30      0.5598      0.0098      0.0229       0.019       0.299       0.073                                                                          
        56.1        1.35     -0.0010      0.0000      0.0105       0.009       0.137       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       5000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.1192      0.0728       0.118       1.486       1.389                                                                          
         2.4        0.05      0.0739      0.1192      0.0749       0.121       1.530       1.390                                                                          
         4.8        0.09      0.1436      0.1193      0.0772       0.125       1.576       1.391                                                                          
         7.3        0.14      0.2090      0.1194      0.0796       0.129       1.625       1.393                                                                          
         9.7        0.19      0.2704      0.1196      0.0822       0.133       1.678       1.395                                                                          
        12.1        0.23      0.3278      0.1199      0.0849       0.138       1.734       1.398                                                                          
        14.5        0.28      0.3813      0.1201      0.0878       0.142       1.792       1.401                                                                          
        16.9        0.33      0.4313      0.1204      0.0907       0.147       1.852       1.404                                                                          
        19.4        0.37      0.4779      0.1206      0.0938       0.152       1.914       1.406                                                                          
        21.8        0.42      0.5213      0.1208      0.0969       0.157       1.978       1.409                                                                          
        24.2        0.46      0.5614      0.1210      0.1001       0.162       2.044       1.411                                                                          
        26.6        0.51      0.5987      0.1211      0.1034       0.167       2.110       1.412                                                                          
        29.0        0.56      0.6332      0.1211      0.1066       0.173       2.176       1.412                                                                          
        31.5        0.60      0.6651      0.1207      0.1096       0.177       2.237       1.407                                                                          
        33.9        0.65      0.6948      0.1193      0.1116       0.181       2.279       1.391                                                                          
        36.3        0.70      0.7228      0.1164      0.1122       0.182       2.291       1.357                                                                          
        38.7        0.74      0.7482      0.1123      0.1115       0.181       2.277       1.309                                                                          
        41.1        0.79      0.7695      0.1069      0.1097       0.178       2.238       1.246                                                                          
        43.5        0.84      0.7874      0.1002      0.1064       0.172       2.171       1.168                                                                          
        46.0        0.88      0.8036      0.0921      0.1012       0.164       2.065       1.074                                                                          
        48.4        0.93      0.8165      0.0838      0.0953       0.154       1.945       0.977                                                                          
        50.8        0.98      0.8239      0.0752      0.0890       0.144       1.817       0.876                                                                          
        53.2        1.02      0.8279      0.0664      0.0820       0.133       1.673       0.774                                                                          
        55.6        1.07      0.8279      0.0574      0.0741       0.120       1.513       0.670                                                                          
        58.1        1.11      0.8224      0.0483      0.0654       0.106       1.336       0.563                                                                          
        60.5        1.16      0.8099      0.0389      0.0558       0.090       1.139       0.454                                                                          
        62.9        1.21      0.7847      0.0294      0.0453       0.073       0.925       0.343                                                                          
        65.3        1.25      0.7298      0.0198      0.0340       0.055       0.695       0.231                                                                          
        67.7        1.30      0.5877      0.0100      0.0221       0.036       0.452       0.117                                                                          
        70.2        1.35      0.0032      0.0000      0.0098       0.016       0.200       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       6000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.1195      0.0686       0.192       2.018       2.007                                                                          
         2.9        0.05      0.0793      0.1197      0.0702       0.196       2.063       2.010                                                                          
         5.8        0.09      0.1533      0.1198      0.0727       0.203       2.136       2.012                                                                          
         8.7        0.14      0.2220      0.1200      0.0753       0.211       2.215       2.014                                                                          
        11.6        0.19      0.2857      0.1202      0.0782       0.219       2.298       2.018                                                                          
        14.5        0.23      0.3446      0.1204      0.0812       0.227       2.387       2.022                                                                          
        17.4        0.28      0.3991      0.1207      0.0843       0.236       2.479       2.027                                                                          
        20.3        0.33      0.4493      0.1210      0.0876       0.245       2.574       2.031                                                                          
        23.2        0.37      0.4955      0.1212      0.0909       0.254       2.673       2.035                                                                          
        26.1        0.42      0.5382      0.1214      0.0944       0.264       2.774       2.039                                                                          
        29.0        0.46      0.5773      0.1216      0.0979       0.274       2.877       2.042                                                                          
        31.9        0.51      0.6132      0.1217      0.1014       0.284       2.982       2.043                                                                          
        34.9        0.56      0.6462      0.1216      0.1050       0.294       3.086       2.042                                                                          
        37.8        0.60      0.6765      0.1213      0.1083       0.303       3.183       2.036                                                                          
        40.7        0.65      0.7048      0.1200      0.1107       0.310       3.255       2.014                                                                          
        43.6        0.70      0.7314      0.1172      0.1117       0.312       3.282       1.967                                                                          
        46.5        0.74      0.7558      0.1130      0.1112       0.311       3.267       1.897                                                                          
        49.4        0.79      0.7770      0.1076      0.1093       0.306       3.214       1.806                                                                          
        52.3        0.84      0.7955      0.1008      0.1060       0.297       3.116       1.693                                                                          
        55.2        0.88      0.8124      0.0927      0.1008       0.282       2.962       1.557                                                                          
        58.1        0.93      0.8265      0.0843      0.0948       0.265       2.787       1.416                                                                          
        61.0        0.98      0.8362      0.0757      0.0884       0.247       2.597       1.271                                                                          
        63.9        1.02      0.8430      0.0669      0.0812       0.227       2.387       1.124                                                                          
        66.8        1.07      0.8459      0.0580      0.0733       0.205       2.154       0.974                                                                          
        69.7        1.12      0.8429      0.0488      0.0645       0.181       1.897       0.819                                                                          
        72.6        1.16      0.8321      0.0394      0.0549       0.154       1.615       0.661                                                                          
        75.5        1.21      0.8073      0.0298      0.0446       0.125       1.310       0.500                                                                          
        78.4        1.25      0.7529      0.0200      0.0334       0.093       0.982       0.337                                                                          
        81.3        1.30      0.6117      0.0101      0.0215       0.060       0.633       0.170                                                                          
        84.2        1.35      0.0055      0.0000      0.0092       0.026       0.271       0.001                                                                          
