         11x4.6SF                 (11x46SF.dat)                                                                                                                           
         v2020-0506                                                                                                                                                       
         Simulation Date: 05/11/2020                                                                                                                                      
                                                                                                                                                                          
         POLARS WERE GENERATED USING:  TAIR (DEFAULT, BATCH)                                                                                                              
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
         Mach (at prop tip)                                                                                                                                               
         Reyn (at 75% of span)                                                                                                                                            
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1024      0.0421       0.001       0.034       0.048       0.406       0.004       0.212      53.319        0.04      12611.  
         0.3        0.02      0.0578      0.1006      0.0423       0.001       0.035       0.047       0.408       0.004       0.209      52.146        0.04      12612.  
         0.5        0.05      0.1130      0.0987      0.0424       0.001       0.035       0.046       0.410       0.004       0.205      50.972        0.04      12614.  
         0.8        0.07      0.1656      0.0966      0.0425       0.001       0.035       0.045       0.410       0.004       0.200      49.807        0.04      12617.  
         1.0        0.10      0.2157      0.0943      0.0424       0.001       0.035       0.044       0.410       0.004       0.196      48.659        0.04      12622.  
         1.3        0.12      0.2632      0.0917      0.0423       0.001       0.035       0.043       0.408       0.004       0.190      47.507        0.04      12628.  
         1.5        0.15      0.3082      0.0889      0.0420       0.001       0.034       0.041       0.406       0.004       0.185      46.359        0.04      12635.  
         1.8        0.17      0.3507      0.0861      0.0417       0.001       0.034       0.040       0.403       0.004       0.179      45.214        0.04      12644.  
         2.0        0.19      0.3907      0.0832      0.0413       0.001       0.034       0.039       0.399       0.004       0.173      44.070        0.04      12654.  
         2.3        0.22      0.4281      0.0802      0.0409       0.001       0.033       0.037       0.395       0.004       0.166      42.931        0.04      12665.  
         2.5        0.24      0.4631      0.0771      0.0404       0.001       0.033       0.036       0.390       0.004       0.160      41.791        0.04      12678.  
         2.8        0.27      0.4956      0.0738      0.0398       0.001       0.032       0.034       0.384       0.004       0.153      40.661        0.04      12692.  
         3.0        0.29      0.5258      0.0705      0.0390       0.001       0.032       0.033       0.377       0.004       0.146      39.544        0.04      12707.  
         3.3        0.32      0.5537      0.0671      0.0382       0.000       0.031       0.031       0.369       0.004       0.139      38.437        0.04      12724.  
