         11x7E-3                  (11x7E-3.dat)                                                                                                                           
         v2020-0506                                                                                                                                                       
         Simulation Date: 05/11/2020                                                                                                                                      
                                                                                                                                                                          
         POLARS WERE GENERATED USING:  TAIR (DEFAULT, BATCH)                                                                                                              
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
         Mach (at prop tip)                                                                                                                                               
         Reyn (at 75% of span)                                                                                                                                            
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1541      0.0712       0.001       0.058       0.072       0.688       0.007       0.320      47.364        0.04      12842.  
         0.3        0.03      0.0552      0.1513      0.0717       0.001       0.059       0.071       0.693       0.007       0.314      46.184        0.04      12843.  
         0.5        0.05      0.1077      0.1484      0.0722       0.001       0.059       0.069       0.697       0.007       0.308      45.013        0.04      12845.  
         0.8        0.08      0.1573      0.1453      0.0725       0.001       0.059       0.068       0.701       0.007       0.301      43.849        0.04      12849.  
         1.1        0.10      0.2042      0.1419      0.0728       0.001       0.059       0.066       0.703       0.007       0.294      42.693        0.04      12855.  
         1.4        0.13      0.2484      0.1384      0.0729       0.001       0.060       0.065       0.705       0.007       0.287      41.545        0.04      12862.  
         1.6        0.16      0.2899      0.1346      0.0729       0.001       0.060       0.063       0.705       0.007       0.279      40.404        0.04      12871.  
         1.9        0.18      0.3288      0.1306      0.0728       0.001       0.059       0.061       0.704       0.007       0.271      39.271        0.04      12881.  
         2.2        0.21      0.3650      0.1265      0.0726       0.001       0.059       0.059       0.701       0.007       0.262      38.146        0.04      12893.  
         2.5        0.24      0.3986      0.1221      0.0722       0.001       0.059       0.057       0.697       0.007       0.253      37.030        0.04      12906.  
         2.7        0.26      0.4295      0.1174      0.0716       0.001       0.058       0.055       0.692       0.007       0.244      35.916        0.04      12921.  
         3.0        0.29      0.4579      0.1125      0.0708       0.001       0.058       0.052       0.684       0.007       0.233      34.810        0.04      12938.  
         3.3        0.31      0.4837      0.1074      0.0698       0.001       0.057       0.050       0.674       0.006       0.223      33.708        0.04      12956.  
         3.5        0.34      0.5069      0.1022      0.0686       0.001       0.056       0.048       0.663       0.006       0.212      32.607        0.04      12976.  
         3.8        0.37      0.5275      0.0968      0.0673       0.001       0.055       0.045       0.650       0.006       0.201      31.504        0.04      12997.  
         4.1        0.39      0.5465      0.0913      0.0656       0.001       0.054       0.043       0.634       0.006       0.189      30.463        0.04      13019.  
         4.4        0.42      0.5645      0.0856      0.0635       0.001       0.052       0.040       0.614       0.006       0.178      29.503        0.04      13044.  
         4.6        0.45      0.5802      0.0798      0.0613       0.001       0.050       0.037       0.592       0.006       0.166      28.536        0.04      13069.  
         4.9        0.47      0.5930      0.0739      0.0588       0.001       0.048       0.034       0.568       0.005       0.153      27.548        0.04      13097.  
         5.2        0.50      0.6029      0.0679      0.0560       0.001       0.046       0.032       0.541       0.005       0.141      26.531        0.04      13125.  
         5.5        0.52      0.6092      0.0617      0.0530       0.001       0.043       0.029       0.512       0.005       0.128      25.470        0.04      13156.  
         5.7        0.55      0.6115      0.0554      0.0498       0.001       0.041       0.026       0.481       0.005       0.115      24.349        0.04      13187.  
         6.0        0.58      0.6089      0.0489      0.0463       0.001       0.038       0.023       0.447       0.004       0.102      23.141        0.04      13221.  
         6.3        0.60      0.5999      0.0424      0.0425       0.001       0.035       0.020       0.411       0.004       0.088      21.808        0.04      13255.  
         6.5        0.63      0.5821      0.0357      0.0385       0.000       0.031       0.017       0.372       0.004       0.074      20.280        0.04      13291.  
         6.8        0.65      0.5512      0.0288      0.0342       0.000       0.028       0.013       0.331       0.003       0.060      18.436        0.04      13329.  
         7.1        0.68      0.5000      0.0218      0.0297       0.000       0.024       0.010       0.287       0.003       0.045      16.079        0.04      13368.  
         7.4        0.71      0.4147      0.0147      0.0250       0.000       0.020       0.007       0.241       0.002       0.030      12.844        0.04      13408.  
         7.6        0.73      0.2690      0.0074      0.0202       0.000       0.016       0.003       0.195       0.002       0.015       8.032        0.04      13450.  
         7.9        0.76     -0.0004      0.0000      0.0155       0.000       0.013       0.000       0.150       0.001       0.000      -0.012        0.04      13493.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       2000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1542      0.0713       0.007       0.233       0.288       5.510       0.026       1.280      23.681        0.09      25684.  
         0.5        0.03      0.0552      0.1515      0.0718       0.007       0.235       0.283       5.551       0.027       1.257      23.091        0.09      25686.  
         1.1        0.05      0.1076      0.1485      0.0723       0.007       0.236       0.277       5.585       0.027       1.233      22.506        0.09      25691.  
         1.6        0.08      0.1573      0.1454      0.0726       0.008       0.237       0.271       5.611       0.027       1.206      21.924        0.09      25699.  
         2.2        0.10      0.2042      0.1420      0.0729       0.008       0.238       0.265       5.631       0.027       1.179      21.346        0.09      25710.  
         2.7        0.13      0.2483      0.1385      0.0730       0.008       0.238       0.258       5.642       0.027       1.149      20.773        0.09      25724.  
         3.3        0.16      0.2898      0.1347      0.0730       0.008       0.238       0.251       5.644       0.027       1.118      20.202        0.09      25741.  
         3.8        0.18      0.3286      0.1308      0.0729       0.008       0.238       0.244       5.635       0.027       1.085      19.636        0.09      25762.  
         4.4        0.21      0.3648      0.1266      0.0727       0.008       0.237       0.236       5.616       0.027       1.050      19.074        0.09      25786.  
         4.9        0.24      0.3984      0.1222      0.0723       0.007       0.236       0.228       5.584       0.027       1.014      18.516        0.09      25813.  
         5.5        0.26      0.4294      0.1176      0.0717       0.007       0.234       0.219       5.540       0.026       0.976      17.960        0.09      25843.  
         6.0        0.29      0.4578      0.1127      0.0709       0.007       0.231       0.210       5.477       0.026       0.935      17.407        0.09      25876.  
         6.5        0.31      0.4836      0.1076      0.0699       0.007       0.228       0.201       5.399       0.026       0.893      16.856        0.09      25912.  
         7.1        0.34      0.5068      0.1023      0.0687       0.007       0.224       0.191       5.309       0.025       0.849      16.306        0.09      25951.  
         7.6        0.37      0.5274      0.0969      0.0674       0.007       0.220       0.181       5.206       0.025       0.804      15.754        0.09      25993.  
         8.2        0.39      0.5464      0.0914      0.0657       0.007       0.215       0.170       5.076       0.024       0.758      15.235        0.09      26039.  
         8.7        0.42      0.5645      0.0857      0.0636       0.007       0.208       0.160       4.917       0.023       0.711      14.755        0.09      26087.  
         9.3        0.45      0.5801      0.0800      0.0613       0.006       0.200       0.149       4.741       0.023       0.664      14.272        0.09      26139.  
         9.8        0.47      0.5930      0.0740      0.0588       0.006       0.192       0.138       4.547       0.022       0.614      13.779        0.09      26193.  
        10.4        0.50      0.6029      0.0680      0.0561       0.006       0.183       0.127       4.335       0.021       0.564      13.271        0.09      26250.  
        10.9        0.52      0.6093      0.0618      0.0531       0.006       0.173       0.115       4.105       0.020       0.513      12.741        0.09      26311.  
        11.5        0.55      0.6116      0.0555      0.0499       0.005       0.163       0.104       3.854       0.018       0.460      12.181        0.09      26374.  
        12.0        0.58      0.6090      0.0490      0.0464       0.005       0.151       0.091       3.583       0.017       0.407      11.578        0.09      26441.  
        12.5        0.60      0.6001      0.0424      0.0426       0.004       0.139       0.079       3.291       0.016       0.352      10.912        0.09      26510.  
        13.1        0.63      0.5823      0.0357      0.0385       0.004       0.126       0.067       2.979       0.014       0.296      10.147        0.09      26582.  
        13.6        0.65      0.5512      0.0288      0.0342       0.004       0.112       0.054       2.646       0.013       0.239       9.221        0.09      26657.  
        14.2        0.68      0.4997      0.0218      0.0297       0.003       0.097       0.041       2.297       0.011       0.181       8.039        0.09      26735.  
        14.7        0.71      0.4143      0.0146      0.0250       0.003       0.082       0.027       1.931       0.009       0.122       6.418        0.09      26815.  
        15.3        0.73      0.2669      0.0073      0.0201       0.002       0.066       0.014       1.556       0.007       0.061       3.987        0.09      26899.  
        15.8        0.76     -0.0053     -0.0001      0.0154       0.002       0.050       0.000       1.193       0.006      -0.001      -0.076        0.09      26985.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       3000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1544      0.0714       0.025       0.525       0.648      18.627       0.059       2.884      15.786        0.13      38527.  
         0.8        0.03      0.0552      0.1517      0.0719       0.025       0.529       0.637      18.763       0.060       2.832      15.393        0.13      38529.  
         1.6        0.05      0.1076      0.1488      0.0724       0.025       0.532       0.624      18.878       0.060       2.777      15.003        0.13      38536.  
         2.5        0.08      0.1572      0.1456      0.0727       0.025       0.534       0.611      18.970       0.060       2.719      14.615        0.13      38548.  
         3.3        0.10      0.2041      0.1423      0.0730       0.026       0.536       0.597      19.036       0.061       2.656      14.230        0.13      38565.  
         4.1        0.13      0.2483      0.1387      0.0731       0.026       0.537       0.582      19.072       0.061       2.590      13.847        0.13      38586.  
         4.9        0.16      0.2898      0.1350      0.0731       0.026       0.538       0.567      19.079       0.061       2.520      13.467        0.13      38612.  
         5.7        0.18      0.3286      0.1310      0.0730       0.026       0.537       0.550      19.052       0.061       2.446      13.090        0.13      38643.  
         6.5        0.21      0.3648      0.1268      0.0728       0.025       0.535       0.532      18.986       0.060       2.367      12.715        0.13      38679.  
         7.4        0.24      0.3984      0.1224      0.0724       0.025       0.532       0.514      18.879       0.060       2.285      12.343        0.13      38719.  
         8.2        0.26      0.4293      0.1178      0.0718       0.025       0.528       0.494      18.728       0.060       2.199      11.973        0.13      38764.  
         9.0        0.29      0.4577      0.1129      0.0710       0.025       0.522       0.474      18.517       0.059       2.107      11.604        0.13      38813.  
         9.8        0.31      0.4835      0.1077      0.0700       0.024       0.514       0.452      18.256       0.058       2.012      11.237        0.13      38868.  
        10.6        0.34      0.5068      0.1025      0.0688       0.024       0.506       0.430      17.951       0.057       1.914      10.870        0.13      38926.  
        11.5        0.37      0.5273      0.0971      0.0675       0.024       0.496       0.408      17.600       0.056       1.813      10.503        0.13      38990.  
        12.3        0.39      0.5464      0.0916      0.0658       0.023       0.483       0.384      17.161       0.055       1.709      10.158        0.13      39058.  
        13.1        0.42      0.5645      0.0859      0.0637       0.022       0.468       0.361      16.624       0.053       1.604       9.838        0.13      39131.  
        13.9        0.44      0.5802      0.0801      0.0614       0.021       0.452       0.336      16.029       0.051       1.496       9.517        0.13      39208.  
        14.7        0.47      0.5931      0.0742      0.0589       0.021       0.433       0.311      15.374       0.049       1.385       9.188        0.13      39289.  
        15.5        0.50      0.6030      0.0681      0.0562       0.020       0.413       0.286      14.658       0.047       1.272       8.850        0.13      39376.  
        16.4        0.52      0.6094      0.0619      0.0532       0.019       0.391       0.260      13.879       0.044       1.156       8.497        0.13      39466.  
        17.2        0.55      0.6118      0.0556      0.0500       0.017       0.367       0.233      13.031       0.041       1.038       8.124        0.13      39561.  
        18.0        0.58      0.6093      0.0491      0.0464       0.016       0.341       0.206      12.116       0.039       0.918       7.723        0.13      39661.  
        18.8        0.60      0.6004      0.0426      0.0427       0.015       0.314       0.179      11.132       0.035       0.795       7.280        0.13      39764.  
        19.6        0.63      0.5826      0.0358      0.0386       0.014       0.284       0.150      10.072       0.032       0.669       6.770        0.13      39872.  
        20.4        0.65      0.5517      0.0289      0.0343       0.012       0.252       0.121       8.949       0.028       0.540       6.154        0.13      39985.  
        21.3        0.68      0.5003      0.0219      0.0298       0.010       0.219       0.092       7.765       0.025       0.409       5.366        0.13      40101.  
        22.1        0.71      0.4150      0.0147      0.0250       0.009       0.184       0.062       6.529       0.021       0.274       4.286        0.13      40222.  
        22.9        0.73      0.2679      0.0074      0.0202       0.007       0.148       0.031       5.262       0.017       0.138       2.669        0.13      40347.  
        23.7        0.76     -0.0034     -0.0001      0.0155       0.005       0.114       0.000       4.036       0.013      -0.001      -0.033        0.13      40477.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       4000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1548      0.0716       0.059       0.935       1.155      44.256       0.106       5.137      11.838        0.17      51369.  
         1.1        0.03      0.0551      0.1520      0.0721       0.060       0.942       1.135      44.579       0.106       5.046      11.543        0.17      51372.  
         2.2        0.05      0.1075      0.1491      0.0725       0.060       0.948       1.113      44.852       0.107       4.949      11.251        0.17      51382.  
         3.3        0.08      0.1571      0.1459      0.0729       0.060       0.952       1.089      45.069       0.108       4.844      10.961        0.17      51397.  
         4.4        0.10      0.2039      0.1426      0.0731       0.061       0.956       1.064      45.225       0.108       4.733      10.672        0.17      51420.  
         5.4        0.13      0.2481      0.1390      0.0733       0.061       0.957       1.038      45.310       0.108       4.615      10.386        0.17      51448.  
         6.5        0.16      0.2895      0.1353      0.0733       0.061       0.958       1.009      45.329       0.108       4.490      10.101        0.17      51483.  
         7.6        0.18      0.3283      0.1313      0.0732       0.061       0.956       0.980      45.261       0.108       4.358       9.818        0.17      51524.  
         8.7        0.21      0.3645      0.1271      0.0730       0.060       0.953       0.948      45.107       0.108       4.219       9.537        0.17      51571.  
         9.8        0.24      0.3981      0.1227      0.0725       0.060       0.948       0.916      44.854       0.107       4.073       9.259        0.18      51625.  
        10.9        0.26      0.4291      0.1181      0.0720       0.060       0.940       0.881      44.493       0.106       3.919       8.981        0.18      51684.  
        12.0        0.29      0.4575      0.1132      0.0712       0.059       0.930       0.845      43.997       0.105       3.756       8.706        0.18      51750.  
        13.1        0.31      0.4833      0.1081      0.0702       0.058       0.917       0.806      43.379       0.104       3.587       8.431        0.18      51823.  
        14.2        0.34      0.5065      0.1028      0.0690       0.057       0.901       0.767      42.657       0.102       3.412       8.156        0.18      51901.  
        15.3        0.37      0.5271      0.0974      0.0676       0.056       0.884       0.727      41.827       0.100       3.233       7.881        0.18      51985.  
        16.3        0.39      0.5462      0.0918      0.0660       0.055       0.862       0.685      40.785       0.097       3.049       7.622        0.18      52076.  
        17.4        0.42      0.5643      0.0862      0.0639       0.053       0.835       0.643      39.508       0.094       2.860       7.383        0.18      52173.  
        18.5        0.44      0.5801      0.0804      0.0616       0.051       0.805       0.600      38.101       0.091       2.669       7.143        0.18      52275.  
        19.6        0.47      0.5931      0.0745      0.0591       0.049       0.772       0.556      36.549       0.087       2.472       6.897        0.18      52384.  
        20.7        0.50      0.6030      0.0684      0.0564       0.047       0.736       0.511      34.852       0.083       2.271       6.644        0.18      52499.  
        21.8        0.52      0.6096      0.0622      0.0534       0.044       0.697       0.464      33.004       0.079       2.065       6.380        0.18      52619.  
        22.9        0.55      0.6121      0.0559      0.0501       0.042       0.655       0.417      30.996       0.074       1.855       6.101        0.18      52746.  
        24.0        0.58      0.6097      0.0494      0.0466       0.039       0.609       0.369      28.829       0.069       1.640       5.801        0.18      52878.  
        25.1        0.60      0.6009      0.0428      0.0428       0.036       0.560       0.319      26.487       0.063       1.421       5.469        0.18      53016.  
        26.2        0.63      0.5832      0.0360      0.0388       0.032       0.506       0.269      23.970       0.057       1.196       5.087        0.18      53160.  
        27.2        0.65      0.5524      0.0291      0.0345       0.029       0.450       0.217      21.304       0.051       0.966       4.625        0.18      53310.  
        28.3        0.68      0.5010      0.0220      0.0299       0.025       0.391       0.164      18.491       0.044       0.731       4.033        0.18      53465.  
        29.4        0.71      0.4155      0.0148      0.0252       0.021       0.329       0.110      15.557       0.037       0.491       3.221        0.18      53626.  
        30.5        0.73      0.2676      0.0074      0.0203       0.017       0.265       0.055      12.562       0.030       0.246       2.001        0.18      53792.  
        31.6        0.76     -0.0035     -0.0001      0.0156       0.013       0.204      -0.001       9.651       0.023      -0.002      -0.025        0.18      53964.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       5000                                                                                                                                            
                                                                                                                                                                          
