         13x14                    (13x14.dat)                                                                                                                             
         v2020-0506                                                                                                                                                       
         Simulation Date: 05/11/2020                                                                                                                                      
                                                                                                                                                                          
         POLARS WERE GENERATED USING:  TAIR (DEFAULT, BATCH)                                                                                                              
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
         Mach (at prop tip)                                                                                                                                               
         Reyn (at 75% of span)                                                                                                                                            
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1282      0.0773       0.002       0.143       0.115       1.689       0.016       0.511      30.857        0.05      21237.  
         0.6        0.05      0.0740      0.1284      0.0793       0.002       0.146       0.115       1.732       0.017       0.512      30.127        0.05      21241.  
         1.1        0.09      0.1444      0.1285      0.0814       0.002       0.150       0.115       1.778       0.017       0.512      29.381        0.05      21253.  
         1.7        0.14      0.2110      0.1288      0.0837       0.002       0.155       0.115       1.828       0.017       0.513      28.622        0.05      21273.  
         2.2        0.18      0.2738      0.1290      0.0861       0.003       0.159       0.116       1.882       0.018       0.514      27.854        0.05      21301.  
         2.8        0.23      0.3327      0.1292      0.0888       0.003       0.164       0.116       1.939       0.019       0.515      27.076        0.05      21337.  
         3.4        0.27      0.3876      0.1294      0.0916       0.003       0.169       0.116       2.001       0.019       0.516      26.284        0.05      21381.  
         3.9        0.32      0.4382      0.1295      0.0946       0.003       0.175       0.116       2.067       0.020       0.516      25.472        0.05      21432.  
         4.5        0.37      0.4845      0.1296      0.0978       0.003       0.181       0.116       2.137       0.020       0.516      24.644        0.05      21491.  
         5.0        0.41      0.5265      0.1294      0.1011       0.003       0.187       0.116       2.210       0.021       0.516      23.804        0.05      21559.  
         5.6        0.46      0.5642      0.1290      0.1045       0.003       0.193       0.116       2.284       0.022       0.514      22.955        0.05      21633.  
         6.2        0.50      0.5977      0.1281      0.1078       0.003       0.199       0.115       2.354       0.022       0.511      22.111        0.05      21715.  
         6.7        0.55      0.6277      0.1265      0.1106       0.003       0.204       0.113       2.416       0.023       0.504      21.285        0.05      21805.  
         7.3        0.59      0.6544      0.1241      0.1127       0.003       0.208       0.111       2.462       0.024       0.495      20.483        0.05      21902.  
         7.8        0.64      0.6779      0.1208      0.1140       0.003       0.210       0.108       2.491       0.024       0.481      19.702        0.05      22007.  
         8.4        0.69      0.6998      0.1163      0.1140       0.003       0.210       0.104       2.490       0.024       0.463      18.982        0.05      22118.  
         9.0        0.73      0.7192      0.1107      0.1126       0.003       0.208       0.099       2.460       0.023       0.441      18.289        0.05      22237.  
         9.5        0.78      0.7361      0.1037      0.1094       0.003       0.202       0.093       2.391       0.023       0.413      17.618        0.05      22362.  
        10.1        0.82      0.7504      0.0959      0.1051       0.003       0.194       0.086       2.297       0.022       0.382      16.964        0.05      22495.  
        10.7        0.87      0.7622      0.0879      0.1002       0.003       0.185       0.079       2.189       0.021       0.350      16.323        0.05      22634.  
        11.2        0.91      0.7712      0.0798      0.0946       0.003       0.175       0.072       2.067       0.020       0.318      15.690        0.05      22780.  
        11.8        0.96      0.7775      0.0715      0.0883       0.003       0.163       0.064       1.929       0.018       0.285      15.065        0.05      22932.  
        12.3        1.01      0.7801      0.0631      0.0813       0.002       0.150       0.057       1.777       0.017       0.251      14.427        0.05      23091.  
        12.9        1.05      0.7779      0.0545      0.0737       0.002       0.136       0.049       1.609       0.015       0.217      13.761        0.05      23256.  
        13.5        1.10      0.7687      0.0458      0.0653       0.002       0.121       0.041       1.427       0.014       0.182      13.032        0.05      23426.  
        14.0        1.14      0.7484      0.0369      0.0564       0.002       0.104       0.033       1.231       0.012       0.147      12.181        0.05      23603.  
        14.6        1.19      0.7079      0.0279      0.0468       0.001       0.086       0.025       1.022       0.010       0.111      11.078        0.05      23786.  
        15.1        1.23      0.6293      0.0187      0.0366       0.001       0.068       0.017       0.800       0.008       0.074       9.483        0.06      23974.  
        15.7        1.28      0.4632      0.0094      0.0259       0.001       0.048       0.008       0.566       0.005       0.037       6.731        0.06      24168.  
        16.3        1.33     -0.0007      0.0000      0.0147       0.000       0.027       0.000       0.321       0.003       0.000      -0.009        0.06      24368.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       2000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1282      0.0773       0.018       0.571       0.460      13.511       0.065       2.044      15.428        0.10      42474.  
         1.1        0.05      0.0740      0.1284      0.0793       0.019       0.585       0.460      13.853       0.066       2.046      15.063        0.10      42482.  
         2.2        0.09      0.1444      0.1285      0.0814       0.019       0.601       0.461      14.223       0.068       2.049      14.691        0.10      42506.  
         3.4        0.14      0.2110      0.1288      0.0837       0.020       0.618       0.461      14.626       0.070       2.053      14.311        0.10      42546.  
         4.5        0.18      0.2738      0.1290      0.0861       0.020       0.636       0.462      15.057       0.072       2.056      13.927        0.10      42602.  
         5.6        0.23      0.3327      0.1292      0.0888       0.021       0.656       0.463      15.515       0.074       2.060      13.538        0.10      42674.  
         6.7        0.27      0.3875      0.1294      0.0916       0.021       0.676       0.464      16.008       0.076       2.063      13.141        0.10      42761.  
         7.8        0.32      0.4381      0.1296      0.0946       0.022       0.699       0.464      16.537       0.079       2.065      12.735        0.10      42864.  
         9.0        0.37      0.4844      0.1296      0.0978       0.023       0.723       0.464      17.100       0.082       2.066      12.321        0.10      42983.  
        10.1        0.41      0.5264      0.1295      0.1012       0.024       0.747       0.464      17.687       0.084       2.064      11.900        0.10      43117.  
        11.2        0.46      0.5640      0.1291      0.1046       0.025       0.773       0.463      18.285       0.087       2.058      11.475        0.10      43266.  
        12.3        0.50      0.5975      0.1282      0.1079       0.025       0.797       0.459      18.858       0.090       2.044      11.051        0.10      43431.  
        13.5        0.55      0.6274      0.1267      0.1107       0.026       0.818       0.454      19.353       0.092       2.019      10.638        0.10      43610.  
        14.6        0.59      0.6539      0.1243      0.1129       0.026       0.834       0.445      19.736       0.094       1.981      10.235        0.10      43804.  
        15.7        0.64      0.6774      0.1209      0.1142       0.027       0.844       0.433      19.962       0.095       1.927       9.845        0.10      44013.  
        16.8        0.69      0.6993      0.1165      0.1142       0.027       0.844       0.418      19.964       0.095       1.857       9.485        0.11      44236.  
        17.9        0.73      0.7188      0.1109      0.1128       0.026       0.833       0.397      19.722       0.094       1.768       9.141        0.11      44473.  
        19.1        0.78      0.7357      0.1039      0.1097       0.026       0.810       0.372      19.172       0.092       1.656       8.806        0.11      44724.  
        20.2        0.82      0.7502      0.0961      0.1054       0.025       0.778       0.344      18.416       0.088       1.532       8.480        0.11      44989.  
        21.3        0.87      0.7621      0.0881      0.1004       0.024       0.742       0.316      17.551       0.084       1.405       8.161        0.11      45267.  
        22.4        0.91      0.7712      0.0800      0.0948       0.022       0.700       0.287      16.571       0.079       1.275       7.846        0.11      45559.  
        23.5        0.96      0.7775      0.0717      0.0885       0.021       0.654       0.257      15.468       0.074       1.143       7.533        0.11      45863.  
        24.7        1.01      0.7801      0.0632      0.0815       0.019       0.602       0.227      14.248       0.068       1.008       7.215        0.11      46181.  
        25.8        1.05      0.7780      0.0547      0.0738       0.017       0.545       0.196      12.907       0.062       0.871       6.882        0.11      46510.  
        26.9        1.10      0.7689      0.0459      0.0655       0.015       0.484       0.165      11.450       0.055       0.732       6.519        0.11      46852.  
        28.0        1.14      0.7488      0.0370      0.0565       0.013       0.417       0.133       9.879       0.047       0.590       6.094        0.11      47206.  
        29.1        1.19      0.7083      0.0280      0.0469       0.011       0.347       0.100       8.202       0.039       0.446       5.543        0.11      47571.  
        30.3        1.23      0.6299      0.0187      0.0367       0.009       0.271       0.067       6.420       0.031       0.299       4.747        0.11      47948.  
        31.4        1.28      0.4639      0.0094      0.0260       0.006       0.192       0.034       4.536       0.022       0.150       3.371        0.11      48335.  
        32.5        1.33     -0.0008      0.0000      0.0147       0.003       0.109       0.000       2.571       0.012       0.000      -0.005        0.11      48734.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       3000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
