         13x5.5E                  (13x55E.dat)                                 09/10/18                                                                                   
                                                                                                                                                                          
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.0892      0.0330       0.001       0.061       0.080                                                                          
         0.3        0.02      0.0555      0.0876      0.0331       0.001       0.061       0.079                                                                          
         0.5        0.04      0.1086      0.0860      0.0332       0.001       0.061       0.077                                                                          
         0.8        0.06      0.1593      0.0843      0.0333       0.001       0.062       0.076                                                                          
         1.0        0.08      0.2074      0.0824      0.0333       0.001       0.062       0.074                                                                          
         1.3        0.10      0.2532      0.0805      0.0333       0.001       0.062       0.072                                                                          
         1.5        0.13      0.2964      0.0784      0.0333       0.001       0.061       0.070                                                                          
         1.8        0.15      0.3372      0.0762      0.0332       0.001       0.061       0.068                                                                          
         2.1        0.17      0.3756      0.0739      0.0330       0.001       0.061       0.066                                                                          
         2.3        0.19      0.4114      0.0714      0.0328       0.001       0.061       0.064                                                                          
         2.6        0.21      0.4447      0.0688      0.0325       0.001       0.060       0.062                                                                          
         2.8        0.23      0.4755      0.0661      0.0321       0.001       0.059       0.059                                                                          
         3.1        0.25      0.5037      0.0633      0.0316       0.001       0.058       0.057                                                                          
         3.3        0.27      0.5293      0.0603      0.0311       0.001       0.057       0.054                                                                          
         3.6        0.29      0.5519      0.0571      0.0304       0.001       0.056       0.051                                                                          
         3.9        0.31      0.5703      0.0538      0.0297       0.001       0.055       0.048                                                                          
