         16x7E(3D)                (16x7E(3D).dat)                              09/10/18                                                                                   
                                                                                                                                                                          
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.0836      0.0303       0.003       0.161       0.174                                                                          
         0.3        0.02      0.0578      0.0822      0.0305       0.003       0.162       0.172                                                                          
         0.6        0.04      0.1130      0.0808      0.0307       0.003       0.163       0.169                                                                          
         1.0        0.06      0.1654      0.0792      0.0308       0.003       0.164       0.165                                                                          
         1.3        0.09      0.2152      0.0776      0.0309       0.003       0.164       0.162                                                                          
         1.6        0.11      0.2623      0.0758      0.0310       0.003       0.165       0.158                                                                          
         1.9        0.13      0.3068      0.0739      0.0310       0.003       0.165       0.154                                                                          
         2.3        0.15      0.3485      0.0719      0.0310       0.003       0.165       0.150                                                                          
         2.6        0.17      0.3877      0.0698      0.0309       0.003       0.164       0.146                                                                          
         2.9        0.19      0.4242      0.0675      0.0307       0.003       0.163       0.141                                                                          
         3.2        0.21      0.4581      0.0651      0.0305       0.003       0.162       0.136                                                                          
         3.6        0.24      0.4893      0.0626      0.0302       0.003       0.161       0.131                                                                          
         3.9        0.26      0.5179      0.0600      0.0298       0.003       0.158       0.125                                                                          
         4.2        0.28      0.5437      0.0572      0.0293       0.002       0.156       0.119                                                                          
         4.5        0.30      0.5666      0.0542      0.0287       0.002       0.153       0.113                                                                          
         4.9        0.32      0.5863      0.0511      0.0280       0.002       0.149       0.107                                                                          
         5.2        0.34      0.6017      0.0479      0.0273       0.002       0.145       0.100                                                                          
         5.5        0.36      0.6141      0.0447      0.0265       0.002       0.141       0.093                                                                          
         5.8        0.39      0.6237      0.0413      0.0256       0.002       0.136       0.086                                                                          
         6.2        0.41      0.6312      0.0379      0.0245       0.002       0.130       0.079                                                                          
         6.5        0.43      0.6356      0.0344      0.0232       0.002       0.123       0.072                                                                          
         6.8        0.45      0.6369      0.0308      0.0218       0.002       0.116       0.064                                                                          
         7.1        0.47      0.6347      0.0272      0.0202       0.002       0.108       0.057                                                                          
         7.5        0.49      0.6283      0.0235      0.0185       0.002       0.098       0.049                                                                          
         7.8        0.51      0.6140      0.0198      0.0166       0.001       0.088       0.041                                                                          
         8.1        0.54      0.5878      0.0160      0.0146       0.001       0.077       0.033                                                                          
         8.4        0.56      0.5429      0.0121      0.0124       0.001       0.066       0.025                                                                          
         8.8        0.58      0.4629      0.0082      0.0102       0.001       0.054       0.017                                                                          
         9.1        0.60      0.3115      0.0041      0.0080       0.001       0.042       0.009                                                                          
         9.4        0.62     -0.0004      0.0000      0.0058       0.000       0.031       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       2000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.0838      0.0304       0.021       0.646       0.700                                                                          
         0.6        0.02      0.0578      0.0824      0.0306       0.021       0.650       0.688                                                                          
         1.3        0.04      0.1129      0.0810      0.0307       0.021       0.654       0.676                                                                          
         1.9        0.06      0.1653      0.0794      0.0309       0.021       0.657       0.663                                                                          
         2.6        0.09      0.2150      0.0778      0.0310       0.021       0.659       0.650                                                                          
         3.2        0.11      0.2621      0.0760      0.0311       0.021       0.660       0.635                                                                          
         3.9        0.13      0.3066      0.0741      0.0311       0.021       0.661       0.619                                                                          
         4.5        0.15      0.3483      0.0721      0.0310       0.021       0.660       0.602                                                                          
         5.2        0.17      0.3875      0.0700      0.0310       0.021       0.658       0.584                                                                          
         5.8        0.19      0.4240      0.0677      0.0308       0.021       0.655       0.566                                                                          
         6.5        0.21      0.4579      0.0653      0.0306       0.021       0.650       0.546                                                                          
         7.1        0.24      0.4891      0.0628      0.0303       0.020       0.644       0.525                                                                          
         7.8        0.26      0.5177      0.0602      0.0299       0.020       0.635       0.502                                                                          
         8.4        0.28      0.5436      0.0574      0.0294       0.020       0.625       0.479                                                                          
         9.1        0.30      0.5665      0.0544      0.0288       0.019       0.612       0.454                                                                          
         9.7        0.32      0.5862      0.0513      0.0281       0.019       0.598       0.428                                                                          
        10.4        0.34      0.6017      0.0481      0.0274       0.018       0.583       0.402                                                                          
        11.0        0.36      0.6141      0.0448      0.0266       0.018       0.565       0.374                                                                          
        11.7        0.39      0.6237      0.0415      0.0256       0.017       0.545       0.346                                                                          
        12.3        0.41      0.6313      0.0380      0.0245       0.017       0.522       0.318                                                                          
        13.0        0.43      0.6357      0.0345      0.0233       0.016       0.495       0.288                                                                          
        13.6        0.45      0.6371      0.0310      0.0219       0.015       0.465       0.259                                                                          
        14.3        0.47      0.6349      0.0274      0.0203       0.014       0.432       0.228                                                                          
        14.9        0.49      0.6287      0.0237      0.0185       0.013       0.394       0.198                                                                          
        15.6        0.51      0.6146      0.0199      0.0166       0.011       0.354       0.166                                                                          
        16.2        0.54      0.5884      0.0161      0.0146       0.010       0.311       0.134                                                                          
        16.9        0.56      0.5430      0.0121      0.0125       0.008       0.265       0.101                                                                          
        17.5        0.58      0.4623      0.0082      0.0102       0.007       0.217       0.068                                                                          
        18.2        0.60      0.3099      0.0041      0.0080       0.005       0.169       0.034                                                                          
        18.8        0.62     -0.0035      0.0000      0.0058       0.004       0.123       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       3000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.0840      0.0292       0.066       1.395       1.578                                                                          
         1.0        0.02      0.0602      0.0827      0.0294       0.067       1.408       1.553                                                                          
         1.9        0.04      0.1177      0.0812      0.0296       0.067       1.416       1.526                                                                          
         2.9        0.06      0.1723      0.0797      0.0297       0.068       1.423       1.497                                                                          
         3.9        0.09      0.2240      0.0780      0.0299       0.068       1.429       1.465                                                                          
         4.9        0.11      0.2729      0.0762      0.0299       0.068       1.433       1.432                                                                          
         5.8        0.13      0.3188      0.0743      0.0300       0.068       1.435       1.397                                                                          
         6.8        0.15      0.3620      0.0723      0.0300       0.068       1.435       1.359                                                                          
         7.8        0.17      0.4023      0.0702      0.0299       0.068       1.432       1.319                                                                          
         8.8        0.19      0.4400      0.0679      0.0298       0.068       1.425       1.276                                                                          
         9.7        0.21      0.4749      0.0655      0.0296       0.067       1.416       1.232                                                                          
        10.7        0.24      0.5070      0.0630      0.0293       0.067       1.403       1.184                                                                          
        11.7        0.26      0.5362      0.0604      0.0290       0.066       1.386       1.134                                                                          
        12.7        0.28      0.5620      0.0576      0.0285       0.065       1.366       1.082                                                                          
        13.6        0.30      0.5846      0.0546      0.0280       0.064       1.342       1.026                                                                          
        14.6        0.32      0.6041      0.0515      0.0274       0.062       1.312       0.968                                                                          
        15.6        0.34      0.6208      0.0483      0.0267       0.061       1.278       0.908                                                                          
        16.6        0.36      0.6352      0.0451      0.0259       0.059       1.237       0.847                                                                          
        17.5        0.39      0.6468      0.0417      0.0249       0.057       1.192       0.784                                                                          
        18.5        0.41      0.6553      0.0383      0.0238       0.054       1.140       0.720                                                                          
        19.5        0.43      0.6604      0.0348      0.0226       0.051       1.081       0.654                                                                          
        20.5        0.45      0.6627      0.0312      0.0212       0.048       1.015       0.587                                                                          
        21.4        0.47      0.6612      0.0276      0.0197       0.045       0.941       0.518                                                                          
        22.4        0.49      0.6556      0.0238      0.0179       0.041       0.858       0.448                                                                          
        23.4        0.51      0.6411      0.0200      0.0161       0.037       0.770       0.377                                                                          
        24.4        0.54      0.6135      0.0162      0.0141       0.032       0.676       0.304                                                                          
        25.3        0.56      0.5661      0.0122      0.0120       0.027       0.576       0.230                                                                          
        26.3        0.58      0.4823      0.0082      0.0099       0.022       0.472       0.155                                                                          
        27.3        0.60      0.3245      0.0041      0.0077       0.017       0.367       0.078                                                                          
        28.3        0.62     -0.0015      0.0000      0.0056       0.013       0.266       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       4000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.0846      0.0282       0.152       2.400       2.825                                                                          
         1.3        0.02      0.0626      0.0832      0.0285       0.154       2.424       2.780                                                                          
         2.6        0.04      0.1222      0.0818      0.0287       0.155       2.441       2.731                                                                          
         3.9        0.06      0.1788      0.0802      0.0289       0.156       2.456       2.679                                                                          
         5.2        0.09      0.2323      0.0785      0.0290       0.157       2.467       2.623                                                                          
         6.5        0.11      0.2829      0.0767      0.0291       0.157       2.474       2.563                                                                          
         7.8        0.13      0.3306      0.0748      0.0291       0.157       2.478       2.500                                                                          
         9.1        0.15      0.3755      0.0728      0.0291       0.157       2.477       2.432                                                                          
        10.4        0.17      0.4175      0.0707      0.0290       0.157       2.470       2.361                                                                          
        11.7        0.19      0.4569      0.0684      0.0289       0.156       2.458       2.285                                                                          
        13.0        0.21      0.4936      0.0660      0.0287       0.155       2.439       2.204                                                                          
        14.3        0.24      0.5276      0.0635      0.0284       0.153       2.414       2.120                                                                          
        15.6        0.26      0.5587      0.0608      0.0280       0.151       2.382       2.030                                                                          
        16.9        0.28      0.5869      0.0580      0.0275       0.149       2.343       1.936                                                                          
        18.2        0.30      0.6123      0.0550      0.0270       0.146       2.294       1.837                                                                          
        19.5        0.32      0.6349      0.0519      0.0263       0.142       2.236       1.733                                                                          
        20.8        0.34      0.6548      0.0487      0.0255       0.138       2.171       1.627                                                                          
        22.1        0.36      0.6720      0.0454      0.0246       0.133       2.097       1.517                                                                          
        23.4        0.39      0.6863      0.0421      0.0237       0.128       2.013       1.405                                                                          
        24.7        0.41      0.6973      0.0386      0.0226       0.122       1.921       1.291                                                                          
        26.0        0.43      0.7038      0.0351      0.0214       0.116       1.820       1.173                                                                          
        27.3        0.45      0.7074      0.0315      0.0201       0.108       1.706       1.052                                                                          
        28.6        0.47      0.7066      0.0278      0.0186       0.100       1.580       0.929                                                                          
        29.9        0.49      0.6995      0.0240      0.0170       0.092       1.443       0.803                                                                          
        31.2        0.51      0.6834      0.0202      0.0152       0.082       1.295       0.675                                                                          
        32.5        0.54      0.6547      0.0163      0.0134       0.072       1.136       0.545                                                                          
        33.8        0.56      0.6057      0.0123      0.0114       0.061       0.966       0.412                                                                          
        35.1        0.58      0.5193      0.0083      0.0092       0.050       0.787       0.277                                                                          
        36.4        0.60      0.3542      0.0042      0.0071       0.038       0.602       0.140                                                                          
        37.7        0.62     -0.0007      0.0000      0.0050       0.027       0.427       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       5000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.0846      0.0314       0.331       4.167       4.417                                                                          
         1.6        0.02      0.0585      0.0834      0.0306       0.323       4.069       4.354                                                                          
         3.3        0.04      0.1156      0.0820      0.0304       0.321       4.046       4.278                                                                          
         4.9        0.06      0.1711      0.0804      0.0303       0.319       4.024       4.199                                                                          
         6.5        0.09      0.2247      0.0788      0.0301       0.317       4.002       4.113                                                                          
         8.1        0.11      0.2761      0.0770      0.0299       0.316       3.979       4.020                                                                          
         9.8        0.13      0.3251      0.0751      0.0298       0.314       3.957       3.922                                                                          
        11.4        0.15      0.3715      0.0731      0.0296       0.312       3.932       3.817                                                                          
        13.0        0.17      0.4153      0.0710      0.0294       0.310       3.903       3.707                                                                          
        14.6        0.19      0.4567      0.0688      0.0291       0.307       3.867       3.589                                                                          
        16.3        0.21      0.4956      0.0664      0.0288       0.303       3.821       3.464                                                                          
        17.9        0.24      0.5320      0.0638      0.0283       0.299       3.767       3.332                                                                          
        19.5        0.26      0.5659      0.0612      0.0279       0.294       3.702       3.194                                                                          
        21.1        0.28      0.5971      0.0584      0.0273       0.288       3.627       3.048                                                                          
        22.8        0.30      0.6250      0.0554      0.0267       0.281       3.542       2.893                                                                          
        24.4        0.32      0.6496      0.0523      0.0259       0.273       3.446       2.730                                                                          
        26.0        0.34      0.6712      0.0491      0.0251       0.265       3.339       2.562                                                                          
        27.6        0.36      0.6903      0.0458      0.0242       0.255       3.218       2.390                                                                          
        29.3        0.39      0.7066      0.0424      0.0232       0.245       3.084       2.215                                                                          
        30.9        0.41      0.7196      0.0390      0.0221       0.233       2.936       2.034                                                                          
        32.5        0.43      0.7281      0.0354      0.0209       0.220       2.775       1.848                                                                          
        34.2        0.45      0.7330      0.0318      0.0195       0.206       2.598       1.658                                                                          
        35.8        0.47      0.7328      0.0281      0.0181       0.191       2.404       1.464                                                                          
        37.4        0.49      0.7264      0.0243      0.0165       0.174       2.192       1.267                                                                          
        39.0        0.52      0.7115      0.0204      0.0148       0.156       1.964       1.065                                                                          
        40.7        0.54      0.6842      0.0165      0.0129       0.136       1.717       0.860                                                                          
        42.3        0.56      0.6365      0.0125      0.0109       0.115       1.452       0.650                                                                          
        43.9        0.58      0.5500      0.0084      0.0088       0.093       1.174       0.437                                                                          
        45.5        0.60      0.3801      0.0042      0.0067       0.071       0.889       0.221                                                                          
        47.2        0.62     -0.0001      0.0000      0.0047       0.049       0.623       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       6000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.0848      0.0347       0.633       6.645       6.375                                                                          
         2.0        0.02      0.0537      0.0836      0.0335       0.610       6.407       6.286                                                                          
         3.9        0.04      0.1076      0.0822      0.0328       0.598       6.286       6.181                                                                          
         5.9        0.06      0.1613      0.0807      0.0323       0.588       6.174       6.068                                                                          
         7.8        0.09      0.2142      0.0791      0.0317       0.578       6.074       5.946                                                                          
         9.8        0.11      0.2658      0.0774      0.0313       0.570       5.986       5.816                                                                          
        11.7        0.13      0.3155      0.0755      0.0309       0.562       5.906       5.677                                                                          
        13.7        0.15      0.3630      0.0736      0.0305       0.555       5.832       5.528                                                                          
        15.6        0.17      0.4083      0.0714      0.0301       0.548       5.756       5.370                                                                          
        17.6        0.19      0.4515      0.0692      0.0296       0.540       5.673       5.202                                                                          
        19.5        0.21      0.4925      0.0668      0.0292       0.531       5.580       5.024                                                                          
        21.5        0.24      0.5313      0.0643      0.0286       0.521       5.476       4.835                                                                          
        23.4        0.26      0.5681      0.0617      0.0280       0.510       5.358       4.637                                                                          
        25.4        0.28      0.6023      0.0589      0.0273       0.498       5.228       4.428                                                                          
        27.3        0.30      0.6325      0.0559      0.0266       0.485       5.091       4.204                                                                          
        29.3        0.32      0.6589      0.0528      0.0258       0.471       4.943       3.969                                                                          
        31.2        0.34      0.6817      0.0496      0.0250       0.455       4.784       3.726                                                                          
        33.2        0.37      0.7022      0.0463      0.0241       0.438       4.604       3.476                                                                          
        35.2        0.39      0.7201      0.0429      0.0230       0.419       4.404       3.221                                                                          
        37.1        0.41      0.7349      0.0394      0.0219       0.398       4.184       2.958                                                                          
        39.1        0.43      0.7448      0.0358      0.0206       0.376       3.949       2.688                                                                          
        41.0        0.45      0.7508      0.0321      0.0193       0.351       3.692       2.413                                                                          
        43.0        0.47      0.7521      0.0284      0.0178       0.325       3.410       2.131                                                                          
        44.9        0.49      0.7473      0.0245      0.0162       0.295       3.104       1.844                                                                          
        46.9        0.52      0.7344      0.0206      0.0145       0.264       2.773       1.551                                                                          
        48.8        0.54      0.7091      0.0167      0.0126       0.230       2.415       1.252                                                                          
        50.8        0.56      0.6634      0.0126      0.0106       0.193       2.032       0.948                                                                          
        52.7        0.58      0.5777      0.0085      0.0085       0.155       1.631       0.638                                                                          
        54.7        0.60      0.4033      0.0043      0.0064       0.116       1.222       0.322                                                                          
        56.6        0.62     -0.0005      0.0000      0.0044       0.081       0.847       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       7000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.0853      0.0381       1.102       9.920       8.728                                                                          
         2.3        0.02      0.0498      0.0842      0.0363       1.052       9.467       8.609                                                                          
         4.6        0.04      0.1008      0.0828      0.0353       1.021       9.195       8.469                                                                          
         6.8        0.06      0.1527      0.0813      0.0343       0.994       8.946       8.317                                                                          
         9.1        0.09      0.2046      0.0797      0.0335       0.969       8.728       8.154                                                                          
        11.4        0.11      0.2559      0.0780      0.0328       0.948       8.535       7.979                                                                          
        13.7        0.13      0.3059      0.0762      0.0321       0.929       8.365       7.791                                                                          
        16.0        0.15      0.3542      0.0742      0.0315       0.912       8.210       7.590                                                                          
        18.2        0.17      0.4008      0.0721      0.0309       0.895       8.059       7.376                                                                          
        20.5        0.19      0.4456      0.0699      0.0303       0.878       7.904       7.148                                                                          
        22.8        0.21      0.4885      0.0675      0.0297       0.860       7.739       6.907                                                                          
        25.1        0.24      0.5298      0.0650      0.0290       0.840       7.560       6.651                                                                          
        27.4        0.26      0.5693      0.0624      0.0283       0.818       7.365       6.382                                                                          
        29.6        0.28      0.6062      0.0596      0.0275       0.795       7.159       6.098                                                                          
        31.9        0.30      0.6385      0.0566      0.0267       0.772       6.954       5.794                                                                          
        34.2        0.32      0.6663      0.0535      0.0259       0.749       6.741       5.470                                                                          
        36.5        0.34      0.6903      0.0502      0.0250       0.724       6.515       5.135                                                                          
        38.8        0.37      0.7121      0.0468      0.0240       0.696       6.263       4.792                                                                          
        41.0        0.39      0.7315      0.0434      0.0230       0.664       5.981       4.441                                                                          
        43.3        0.41      0.7478      0.0399      0.0218       0.630       5.673       4.079                                                                          
        45.6        0.43      0.7588      0.0363      0.0205       0.594       5.351       3.709                                                                          
        47.9        0.45      0.7661      0.0326      0.0192       0.555       4.996       3.330                                                                          
        50.2        0.47      0.7689      0.0288      0.0177       0.512       4.609       2.943                                                                          
        52.4        0.49      0.7660      0.0249      0.0161       0.465       4.186       2.547                                                                          
        54.7        0.52      0.7550      0.0210      0.0143       0.414       3.729       2.143                                                                          
        57.0        0.54      0.7319      0.0169      0.0124       0.360       3.238       1.732                                                                          
        59.3        0.56      0.6884      0.0128      0.0104       0.301       2.712       1.312                                                                          
        61.6        0.58      0.6042      0.0086      0.0083       0.240       2.161       0.883                                                                          
        63.8        0.60      0.4264      0.0044      0.0062       0.178       1.603       0.446                                                                          
        66.1        0.62     -0.0004      0.0000      0.0042       0.122       1.100       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       8000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.0860      0.0425       1.836      14.461      11.497                                                                          
         2.6        0.02      0.0455      0.0849      0.0402       1.735      13.668      11.346                                                                          
         5.2        0.04      0.0930      0.0836      0.0386       1.669      13.145      11.165                                                                          
         7.8        0.06      0.1423      0.0821      0.0372       1.608      12.666      10.970                                                                          
        10.4        0.09      0.1926      0.0805      0.0360       1.553      12.238      10.758                                                                          
