         20.5x10.5WPN             (205x105WPN.dat)                             11/28/16                                                                                   
                                                                                                                                                                          
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.0976      0.0379       0.011       0.696       0.549                                                                          
         0.5        0.02      0.0605      0.0964      0.0382       0.011       0.701       0.542                                                                          
         0.9        0.05      0.1184      0.0950      0.0385       0.011       0.706       0.534                                                                          
         1.4        0.07      0.1737      0.0935      0.0387       0.011       0.711       0.526                                                                          
         1.9        0.10      0.2263      0.0919      0.0389       0.011       0.714       0.517                                                                          
         2.3        0.12      0.2762      0.0901      0.0391       0.011       0.718       0.507                                                                          
         2.8        0.14      0.3233      0.0882      0.0392       0.011       0.720       0.496                                                                          
         3.3        0.17      0.3676      0.0861      0.0393       0.011       0.721       0.484                                                                          
         3.7        0.19      0.4091      0.0838      0.0393       0.011       0.721       0.472                                                                          
         4.2        0.22      0.4477      0.0814      0.0392       0.011       0.720       0.458                                                                          
         4.7        0.24      0.4834      0.0788      0.0391       0.011       0.717       0.443                                                                          
         5.1        0.26      0.5162      0.0759      0.0388       0.011       0.712       0.427                                                                          
         5.6        0.29      0.5460      0.0728      0.0384       0.011       0.704       0.410                                                                          
         6.0        0.31      0.5727      0.0693      0.0377       0.011       0.692       0.390                                                                          
         6.5        0.34      0.5963      0.0657      0.0369       0.011       0.678       0.369                                                                          
         7.0        0.36      0.6169      0.0619      0.0361       0.011       0.662       0.348                                                                          
         7.4        0.38      0.6348      0.0581      0.0351       0.010       0.644       0.327                                                                          
         7.9        0.41      0.6500      0.0541      0.0339       0.010       0.623       0.305                                                                          
         8.4        0.43      0.6626      0.0501      0.0326       0.009       0.599       0.282                                                                          
         8.8        0.46      0.6727      0.0460      0.0311       0.009       0.571       0.259                                                                          
         9.3        0.48      0.6802      0.0418      0.0294       0.009       0.540       0.235                                                                          
         9.8        0.50      0.6847      0.0374      0.0275       0.008       0.505       0.211                                                                          
        10.2        0.53      0.6858      0.0330      0.0254       0.007       0.466       0.186                                                                          
        10.7        0.55      0.6818      0.0285      0.0230       0.007       0.423       0.160                                                                          
        11.2        0.58      0.6699      0.0239      0.0205       0.006       0.377       0.134                                                                          
        11.6        0.60      0.6455      0.0193      0.0179       0.005       0.328       0.108                                                                          
        12.1        0.62      0.5999      0.0146      0.0151       0.004       0.278       0.082                                                                          
        12.6        0.65      0.5183      0.0098      0.0122       0.004       0.224       0.055                                                                          
        13.0        0.67      0.3611      0.0049      0.0092       0.003       0.168       0.028                                                                          
        13.5        0.70     -0.0023      0.0000      0.0060       0.002       0.111       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       2000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.0977      0.0357       0.083       2.618       2.199                                                                          
         0.9        0.02      0.0641      0.0965      0.0360       0.084       2.647       2.171                                                                          
         1.9        0.05      0.1250      0.0951      0.0364       0.085       2.674       2.140                                                                          
         2.8        0.07      0.1829      0.0936      0.0367       0.086       2.698       2.106                                                                          
         3.7        0.10      0.2378      0.0920      0.0370       0.086       2.719       2.069                                                                          
         4.6        0.12      0.2897      0.0902      0.0373       0.087       2.736       2.030                                                                          
         5.6        0.14      0.3386      0.0883      0.0375       0.087       2.750       1.987                                                                          
         6.5        0.17      0.3847      0.0862      0.0376       0.087       2.757       1.940                                                                          
         7.4        0.19      0.4280      0.0840      0.0376       0.088       2.759       1.889                                                                          
         8.4        0.22      0.4684      0.0815      0.0375       0.087       2.753       1.835                                                                          
         9.3        0.24      0.5061      0.0789      0.0373       0.087       2.741       1.776                                                                          
        10.2        0.26      0.5411      0.0761      0.0370       0.086       2.719       1.712                                                                          
        11.2        0.29      0.5733      0.0729      0.0366       0.085       2.684       1.642                                                                          
        12.1        0.31      0.6029      0.0694      0.0359       0.084       2.632       1.563                                                                          
        13.0        0.34      0.6298      0.0658      0.0350       0.082       2.570       1.480                                                                          
        13.9        0.36      0.6540      0.0620      0.0340       0.079       2.500       1.395                                                                          
        14.9        0.38      0.6755      0.0581      0.0330       0.077       2.420       1.308                                                                          
        15.8        0.41      0.6943      0.0542      0.0318       0.074       2.331       1.219                                                                          
        16.7        0.43      0.7101      0.0501      0.0304       0.071       2.233       1.128                                                                          
        17.7        0.45      0.7229      0.0460      0.0289       0.067       2.124       1.034                                                                          
        18.6        0.48      0.7325      0.0417      0.0273       0.064       2.003       0.939                                                                          
        19.5        0.50      0.7385      0.0374      0.0255       0.059       1.869       0.841                                                                          
        20.5        0.53      0.7400      0.0330      0.0235       0.055       1.723       0.742                                                                          
        21.4        0.55      0.7355      0.0285      0.0213       0.050       1.564       0.640                                                                          
        22.3        0.57      0.7220      0.0239      0.0190       0.044       1.395       0.537                                                                          
        23.2        0.60      0.6946      0.0192      0.0166       0.039       1.217       0.433                                                                          
        24.2        0.62      0.6455      0.0145      0.0140       0.033       1.029       0.327                                                                          
        25.1        0.65      0.5573      0.0097      0.0113       0.026       0.830       0.219                                                                          
