         21.5x10.5PN              (215x105PN.dat)                              11/22/16                                                                                   
                                                                                                                                                                          
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.0861      0.0311       0.012       0.728       0.588                                                                          
         0.5        0.02      0.0615      0.0849      0.0314       0.012       0.734       0.580                                                                          
         0.9        0.05      0.1203      0.0836      0.0316       0.012       0.739       0.571                                                                          
         1.4        0.07      0.1763      0.0822      0.0318       0.012       0.744       0.561                                                                          
         1.9        0.09      0.2294      0.0806      0.0320       0.012       0.748       0.551                                                                          
         2.3        0.11      0.2796      0.0790      0.0321       0.012       0.752       0.540                                                                          
         2.8        0.14      0.3269      0.0772      0.0322       0.012       0.754       0.528                                                                          
         3.2        0.16      0.3711      0.0753      0.0323       0.012       0.756       0.515                                                                          
         3.7        0.18      0.4124      0.0733      0.0323       0.012       0.757       0.501                                                                          
         4.2        0.20      0.4506      0.0711      0.0323       0.012       0.756       0.486                                                                          
         4.6        0.23      0.4859      0.0688      0.0322       0.012       0.753       0.470                                                                          
         5.1        0.25      0.5181      0.0663      0.0320       0.012       0.749       0.453                                                                          
         5.6        0.27      0.5472      0.0635      0.0317       0.012       0.741       0.434                                                                          
         6.0        0.30      0.5732      0.0605      0.0312       0.012       0.731       0.414                                                                          
         6.5        0.32      0.5961      0.0573      0.0306       0.011       0.716       0.392                                                                          
         7.0        0.34      0.6161      0.0540      0.0299       0.011       0.700       0.369                                                                          
         7.4        0.36      0.6334      0.0507      0.0291       0.011       0.681       0.346                                                                          
         7.9        0.39      0.6480      0.0472      0.0282       0.010       0.659       0.323                                                                          
         8.3        0.41      0.6603      0.0437      0.0271       0.010       0.634       0.299                                                                          
         8.8        0.43      0.6700      0.0401      0.0259       0.010       0.605       0.274                                                                          
         9.3        0.45      0.6769      0.0364      0.0245       0.009       0.572       0.249                                                                          
         9.7        0.48      0.6809      0.0326      0.0229       0.008       0.535       0.223                                                                          
        10.2        0.50      0.6817      0.0287      0.0211       0.008       0.494       0.196                                                                          
        10.7        0.52      0.6772      0.0248      0.0191       0.007       0.448       0.169                                                                          
        11.1        0.55      0.6645      0.0208      0.0171       0.006       0.400       0.142                                                                          
        11.6        0.57      0.6393      0.0168      0.0149       0.006       0.349       0.114                                                                          
        12.0        0.59      0.5937      0.0127      0.0126       0.005       0.295       0.086                                                                          
        12.5        0.61      0.5134      0.0085      0.0101       0.004       0.237       0.058                                                                          
        13.0        0.64      0.3580      0.0042      0.0076       0.003       0.177       0.029                                                                          
        13.4        0.66     -0.0066      0.0000      0.0049       0.002       0.115       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       2000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.0863      0.0292       0.087       2.736       2.358                                                                          
         0.9        0.02      0.0654      0.0851      0.0296       0.088       2.766       2.325                                                                          
         1.9        0.05      0.1275      0.0838      0.0299       0.089       2.794       2.289                                                                          
         2.8        0.07      0.1863      0.0824      0.0301       0.089       2.820       2.251                                                                          
         3.7        0.09      0.2420      0.0808      0.0303       0.090       2.840       2.209                                                                          
         4.6        0.11      0.2945      0.0792      0.0305       0.091       2.858       2.164                                                                          
         5.6        0.14      0.3439      0.0774      0.0307       0.091       2.870       2.115                                                                          
         6.5        0.16      0.3903      0.0755      0.0307       0.091       2.878       2.063                                                                          
         7.4        0.18      0.4338      0.0735      0.0308       0.091       2.880       2.008                                                                          
         8.3        0.20      0.4745      0.0713      0.0307       0.091       2.875       1.948                                                                          
         9.3        0.23      0.5123      0.0690      0.0306       0.091       2.862       1.885                                                                          
        10.2        0.25      0.5472      0.0664      0.0303       0.090       2.838       1.815                                                                          
        11.1        0.27      0.5793      0.0637      0.0300       0.089       2.805       1.741                                                                          
        12.0        0.30      0.6088      0.0607      0.0294       0.087       2.755       1.658                                                                          
        13.0        0.32      0.6356      0.0575      0.0287       0.085       2.691       1.570                                                                          
        13.9        0.34      0.6596      0.0542      0.0280       0.083       2.619       1.480                                                                          
        14.8        0.36      0.6811      0.0508      0.0271       0.080       2.535       1.387                                                                          
        15.7        0.39      0.6997      0.0473      0.0261       0.078       2.443       1.293                                                                          
        16.7        0.41      0.7150      0.0437      0.0250       0.074       2.341       1.195                                                                          
        17.6        0.43      0.7271      0.0401      0.0238       0.071       2.228       1.096                                                                          
        18.5        0.45      0.7362      0.0364      0.0225       0.067       2.102       0.995                                                                          
        19.4        0.48      0.7417      0.0326      0.0210       0.062       1.962       0.891                                                                          
        20.4        0.50      0.7427      0.0287      0.0193       0.057       1.809       0.785                                                                          
        21.3        0.52      0.7373      0.0248      0.0176       0.052       1.643       0.677                                                                          
        22.2        0.55      0.7223      0.0208      0.0157       0.047       1.466       0.567                                                                          
        23.1        0.57      0.6940      0.0167      0.0137       0.041       1.281       0.457                                                                          
        24.1        0.59      0.6440      0.0126      0.0116       0.034       1.083       0.345                                                                          
        25.0        0.61      0.5551      0.0084      0.0093       0.028       0.873       0.231                                                                          
        25.9        0.64      0.3865      0.0042      0.0070       0.021       0.654       0.116                                                                          
        26.8        0.66     -0.0043      0.0000      0.0046       0.014       0.426      -0.001                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       3000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.0879      0.0377       0.378       7.931       5.404                                                                          
         1.4        0.02      0.0533      0.0866      0.0370       0.371       7.785       5.326                                                                          
         2.8        0.05      0.1068      0.0852      0.0363       0.364       7.642       5.241                                                                          
         4.2        0.07      0.1603      0.0838      0.0356       0.357       7.503       5.150                                                                          
         5.6        0.09      0.2135      0.0821      0.0350       0.351       7.365       5.050                                                                          
         6.9        0.11      0.2662      0.0804      0.0343       0.344       7.228       4.943                                                                          
         8.3        0.14      0.3179      0.0785      0.0337       0.338       7.093       4.827                                                                          
         9.7        0.16      0.3684      0.0765      0.0330       0.331       6.958       4.703                                                                          
        11.1        0.18      0.4172      0.0743      0.0324       0.325       6.824       4.571                                                                          
        12.5        0.20      0.4641      0.0720      0.0317       0.318       6.686       4.429                                                                          
