         21.5x10WPN               (215x10WPN.dat)                              09/10/18                                                                                   
                                                                                                                                                                          
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.0841      0.0324       0.012       0.758       0.574                                                                          
         0.4        0.02      0.0559      0.0829      0.0326       0.012       0.763       0.566                                                                          
         0.9        0.04      0.1094      0.0816      0.0328       0.012       0.768       0.557                                                                          
         1.3        0.07      0.1604      0.0802      0.0330       0.012       0.772       0.548                                                                          
         1.8        0.09      0.2091      0.0787      0.0331       0.012       0.775       0.538                                                                          
         2.2        0.11      0.2554      0.0771      0.0332       0.012       0.777       0.527                                                                          
         2.7        0.13      0.2993      0.0754      0.0332       0.012       0.777       0.515                                                                          
         3.1        0.15      0.3408      0.0735      0.0332       0.012       0.777       0.502                                                                          
         3.6        0.18      0.3799      0.0715      0.0331       0.012       0.775       0.489                                                                          
         4.0        0.20      0.4167      0.0694      0.0330       0.012       0.771       0.474                                                                          
         4.5        0.22      0.4510      0.0672      0.0327       0.012       0.766       0.459                                                                          
         4.9        0.24      0.4829      0.0647      0.0324       0.012       0.759       0.442                                                                          
         5.4        0.26      0.5124      0.0622      0.0320       0.012       0.749       0.425                                                                          
         5.8        0.29      0.5393      0.0593      0.0314       0.012       0.736       0.405                                                                          
         6.3        0.31      0.5633      0.0562      0.0307       0.011       0.719       0.384                                                                          
         6.7        0.33      0.5845      0.0530      0.0299       0.011       0.700       0.362                                                                          
         7.2        0.35      0.6028      0.0497      0.0290       0.011       0.679       0.340                                                                          
         7.6        0.37      0.6181      0.0463      0.0280       0.010       0.655       0.316                                                                          
         8.1        0.40      0.6298      0.0428      0.0269       0.010       0.630       0.293                                                                          
         8.5        0.42      0.6370      0.0393      0.0257       0.010       0.602       0.268                                                                          
         9.0        0.44      0.6413      0.0356      0.0244       0.009       0.571       0.243                                                                          
         9.4        0.46      0.6426      0.0319      0.0229       0.009       0.537       0.218                                                                          
         9.9        0.48      0.6404      0.0281      0.0212       0.008       0.497       0.192                                                                          
        10.3        0.51      0.6332      0.0243      0.0194       0.007       0.454       0.166                                                                          
        10.8        0.53      0.6177      0.0204      0.0174       0.006       0.407       0.139                                                                          
        11.2        0.55      0.5897      0.0164      0.0153       0.006       0.358       0.112                                                                          
        11.6        0.57      0.5400      0.0124      0.0131       0.005       0.307       0.085                                                                          
        12.1        0.59      0.4557      0.0083      0.0108       0.004       0.254       0.057                                                                          
        12.5        0.62      0.3041      0.0042      0.0084       0.003       0.198       0.028                                                                          
        13.0        0.64     -0.0073     -0.0001      0.0060       0.002       0.140       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       2000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
