         22x13EPN                 (22x13EPN.dat)                                                                                                                          
         v2020-0506                                                                                                                                                       
         Simulation Date: 05/11/2020                                                                                                                                      
                                                                                                                                                                          
         POLARS WERE GENERATED USING:  TAIR (DEFAULT, BATCH)                                                                                                              
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
         Mach (at prop tip)                                                                                                                                               
         Reyn (at 75% of span)                                                                                                                                            
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.0976      0.0384       0.016       1.004       0.728      11.882       0.113       3.239      27.798        0.09      43421.  
         0.6        0.03      0.0655      0.0964      0.0392       0.016       1.023       0.719      12.109       0.116       3.200      26.951        0.09      43424.  
         1.1        0.05      0.1269      0.0951      0.0399       0.017       1.041       0.710      12.321       0.118       3.156      26.119        0.09      43432.  
         1.7        0.08      0.1844      0.0936      0.0405       0.017       1.058       0.698      12.516       0.120       3.106      25.304        0.09      43446.  
         2.2        0.11      0.2381      0.0919      0.0410       0.017       1.073       0.686      12.690       0.121       3.050      24.505        0.09      43465.  
         2.8        0.13      0.2881      0.0900      0.0415       0.017       1.085       0.672      12.843       0.123       2.988      23.721        0.09      43490.  
         3.3        0.16      0.3344      0.0879      0.0420       0.017       1.096       0.656      12.969       0.124       2.919      22.951        0.09      43520.  
         3.9        0.19      0.3773      0.0857      0.0423       0.018       1.105       0.639      13.068       0.125       2.844      22.193        0.09      43556.  
         4.4        0.21      0.4167      0.0832      0.0425       0.018       1.110       0.621      13.137       0.125       2.763      21.445        0.09      43597.  
         5.0        0.24      0.4526      0.0806      0.0426       0.018       1.113       0.601      13.174       0.126       2.675      20.708        0.09      43644.  
         5.5        0.27      0.4853      0.0778      0.0426       0.018       1.113       0.580      13.173       0.126       2.581      19.980        0.09      43696.  
         6.1        0.29      0.5146      0.0747      0.0425       0.018       1.110       0.558      13.131       0.125       2.480      19.262        0.09      43754.  
         6.6        0.32      0.5406      0.0715      0.0422       0.017       1.102       0.533      13.041       0.125       2.372      18.551        0.09      43817.  
         7.2        0.35      0.5635      0.0680      0.0417       0.017       1.090       0.508      12.897       0.123       2.257      17.849        0.09      43886.  
         7.8        0.37      0.5834      0.0644      0.0411       0.017       1.074       0.480      12.703       0.121       2.137      17.157        0.09      43959.  
         8.3        0.40      0.6003      0.0607      0.0403       0.017       1.053       0.453      12.461       0.119       2.014      16.478        0.09      44039.  
         8.9        0.43      0.6145      0.0569      0.0394       0.016       1.028       0.424      12.168       0.116       1.887      15.814        0.09      44123.  
         9.4        0.45      0.6273      0.0530      0.0382       0.016       0.997       0.395      11.797       0.113       1.758      15.193        0.09      44213.  
        10.0        0.48      0.6387      0.0490      0.0367       0.015       0.959       0.366      11.348       0.108       1.626      14.610        0.09      44308.  
        10.5        0.51      0.6474      0.0449      0.0351       0.015       0.916       0.335      10.841       0.104       1.491      14.029        0.09      44408.  
