         5.1x5.0E-3               (51x50E-3.dat)                                                                                                                          
         v2020-0506                                                                                                                                                       
         Simulation Date: 09/24/2020                                                                                                                                      
                                                                                                                                                                          
         POLARS WERE GENERATED USING:  TAIR (DEFAULT, BATCH)                                                                                                              
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
         Mach (at prop tip)                                                                                                                                               
         Reyn (at 75% of span)                                                                                                                                            
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.2376      0.1491       0.000       0.003       0.005       0.031       0.000       0.023      75.233        0.02       4033.  
         0.2        0.04      0.0642      0.2366      0.1531       0.000       0.003       0.005       0.032       0.000       0.023      72.990        0.02       4034.  
         0.4        0.08      0.1246      0.2353      0.1570       0.000       0.003       0.005       0.032       0.000       0.023      70.798        0.02       4036.  
         0.6        0.12      0.1813      0.2337      0.1607       0.000       0.003       0.005       0.033       0.000       0.022      68.661        0.02       4039.  
         0.8        0.17      0.2344      0.2317      0.1644       0.000       0.003       0.005       0.034       0.000       0.022      66.583        0.02       4043.  
         1.0        0.21      0.2842      0.2293      0.1677       0.000       0.003       0.005       0.035       0.000       0.022      64.567        0.02       4049.  
         1.2        0.25      0.3307      0.2263      0.1707       0.000       0.003       0.005       0.035       0.000       0.022      62.610        0.02       4056.  
         1.4        0.29      0.3741      0.2228      0.1733       0.000       0.003       0.005       0.036       0.000       0.021      60.707        0.02       4064.  
         1.6        0.33      0.4145      0.2185      0.1754       0.000       0.003       0.005       0.036       0.000       0.021      58.857        0.02       4073.  
         1.8        0.37      0.4519      0.2136      0.1769       0.000       0.003       0.005       0.037       0.000       0.020      57.047        0.02       4084.  
         2.0        0.42      0.4865      0.2080      0.1777       0.000       0.003       0.004       0.037       0.000       0.020      55.268        0.02       4096.  
         2.2        0.46      0.5180      0.2015      0.1779       0.000       0.003       0.004       0.037       0.000       0.019      53.493        0.02       4109.  
         2.4        0.50      0.5468      0.1940      0.1770       0.000       0.003       0.004       0.037       0.000       0.019      51.769        0.02       4123.  
         2.6        0.54      0.5733      0.1851      0.1745       0.000       0.003       0.004       0.036       0.000       0.018      50.097        0.02       4138.  
         2.8        0.58      0.5971      0.1754      0.1710       0.000       0.003       0.004       0.035       0.000       0.017      48.449        0.02       4155.  
         3.0        0.62      0.6181      0.1654      0.1668       0.000       0.003       0.004       0.035       0.000       0.016      46.812        0.02       4172.  
         3.2        0.67      0.6355      0.1561      0.1634       0.000       0.003       0.003       0.034       0.000       0.015      45.121        0.02       4191.  
         3.4        0.71      0.6510      0.1456      0.1581       0.000       0.003       0.003       0.033       0.000       0.014      43.502        0.02       4211.  
         3.6        0.75      0.6662      0.1349      0.1515       0.000       0.003       0.003       0.031       0.000       0.013      42.049        0.02       4232.  
         3.8        0.79      0.6794      0.1239      0.1441       0.000       0.003       0.003       0.030       0.000       0.012      40.620        0.02       4254.  
         4.0        0.83      0.6894      0.1127      0.1359       0.000       0.002       0.002       0.028       0.000       0.011      39.163        0.02       4277.  
         4.2        0.87      0.6960      0.1012      0.1270       0.000       0.002       0.002       0.026       0.000       0.010      37.655        0.02       4301.  
         4.4        0.91      0.6984      0.0895      0.1172       0.000       0.002       0.002       0.024       0.000       0.009      36.065        0.02       4327.  
         4.6        0.96      0.6954      0.0775      0.1066       0.000       0.002       0.002       0.022       0.000       0.007      34.349        0.02       4353.  
         4.8        1.00      0.6851      0.0652      0.0950       0.000       0.002       0.001       0.020       0.000       0.006      32.429        0.02       4380.  
         5.0        1.04      0.6633      0.0527      0.0826       0.000       0.001       0.001       0.017       0.000       0.005      30.142        0.02       4408.  
         5.2        1.08      0.6211      0.0399      0.0694       0.000       0.001       0.001       0.014       0.000       0.004      27.139        0.02       4438.  
         5.4        1.12      0.5414      0.0268      0.0556       0.000       0.001       0.001       0.012       0.000       0.003      22.779        0.02       4468.  
         5.6        1.16      0.3829      0.0135      0.0411       0.000       0.001       0.000       0.009       0.000       0.001      15.537        0.02       4499.  
