         5.25x5.5E                (525x55E.dat)                                                                                                                           
         v2020-0506                                                                                                                                                       
         Simulation Date: 09/24/2020                                                                                                                                      
                                                                                                                                                                          
         POLARS WERE GENERATED USING:  TAIR (DEFAULT, BATCH)                                                                                                              
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
         Mach (at prop tip)                                                                                                                                               
         Reyn (at 75% of span)                                                                                                                                            
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1342      0.0724       0.000       0.001       0.003       0.017       0.000       0.014      85.025        0.02       3289.  
         0.2        0.05      0.0813      0.1343      0.0753       0.000       0.002       0.003       0.018       0.000       0.014      81.814        0.02       3290.  
         0.5        0.09      0.1564      0.1345      0.0784       0.000       0.002       0.003       0.019       0.000       0.014      78.662        0.02       3292.  
         0.7        0.14      0.2255      0.1346      0.0817       0.000       0.002       0.003       0.020       0.000       0.014      75.611        0.02       3295.  
         0.9        0.18      0.2890      0.1346      0.0850       0.000       0.002       0.003       0.020       0.000       0.014      72.671        0.02       3299.  
         1.1        0.23      0.3472      0.1346      0.0884       0.000       0.002       0.003       0.021       0.000       0.014      69.845        0.02       3305.  
         1.4        0.27      0.4004      0.1345      0.0919       0.000       0.002       0.003       0.022       0.000       0.014      67.127        0.02       3311.  
         1.6        0.32      0.4490      0.1342      0.0954       0.000       0.002       0.003       0.023       0.000       0.014      64.522        0.02       3319.  
         1.8        0.36      0.4933      0.1336      0.0988       0.000       0.002       0.003       0.024       0.000       0.014      62.030        0.02       3328.  
         2.0        0.41      0.5337      0.1326      0.1020       0.000       0.002       0.003       0.024       0.000       0.014      59.650        0.02       3339.  
         2.3        0.46      0.5701      0.1312      0.1050       0.000       0.002       0.003       0.025       0.000       0.014      57.352        0.02       3350.  
         2.5        0.50      0.6027      0.1294      0.1077       0.000       0.002       0.003       0.026       0.000       0.014      55.119        0.02       3363.  
         2.7        0.55      0.6316      0.1270      0.1100       0.000       0.002       0.003       0.026       0.000       0.014      52.947        0.02       3377.  
         2.9        0.59      0.6566      0.1241      0.1120       0.000       0.002       0.003       0.027       0.000       0.013      50.806        0.02       3392.  
         3.2        0.64      0.6784      0.1203      0.1133       0.000       0.002       0.003       0.027       0.000       0.013      48.750        0.02       3408.  
         3.4        0.68      0.6978      0.1155      0.1132       0.000       0.002       0.003       0.027       0.000       0.012      46.797        0.02       3425.  
