         5x4E-4                   (5x4E-4.dat)                                                                                                                            
         v2020-0506                                                                                                                                                       
         Simulation Date: 06/03/2020                                                                                                                                      
                                                                                                                                                                          
         POLARS WERE GENERATED USING:  TAIR                                                                                                                               
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
         Mach (at prop tip)                                                                                                                                               
         Reyn (at 75% of span)                                                                                                                                            
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.2952      0.1880       0.000       0.003       0.006       0.035       0.000       0.026      75.644        0.02       4039.  
         0.2        0.03      0.0525      0.2906      0.1894       0.000       0.003       0.006       0.036       0.000       0.026      73.903        0.02       4039.  
         0.3        0.07      0.1025      0.2855      0.1905       0.000       0.003       0.006       0.036       0.000       0.025      72.196        0.02       4040.  
         0.5        0.10      0.1502      0.2798      0.1912       0.000       0.003       0.006       0.036       0.000       0.025      70.514        0.02       4043.  
         0.6        0.14      0.1955      0.2735      0.1914       0.000       0.003       0.005       0.036       0.000       0.024      68.843        0.02       4046.  
         0.8        0.17      0.2385      0.2665      0.1911       0.000       0.003       0.005       0.036       0.000       0.024      67.186        0.02       4049.  
         1.0        0.21      0.2792      0.2588      0.1902       0.000       0.003       0.005       0.036       0.000       0.023      65.547        0.02       4054.  
         1.1        0.24      0.3176      0.2505      0.1888       0.000       0.003       0.005       0.035       0.000       0.022      63.919        0.02       4060.  
         1.3        0.27      0.3538      0.2419      0.1871       0.000       0.003       0.005       0.035       0.000       0.021      62.298        0.02       4066.  
         1.5        0.31      0.3877      0.2330      0.1850       0.000       0.003       0.005       0.035       0.000       0.021      60.682        0.02       4073.  
         1.6        0.34      0.4193      0.2239      0.1826       0.000       0.003       0.004       0.034       0.000       0.020      59.069        0.02       4081.  
         1.8        0.38      0.4487      0.2145      0.1799       0.000       0.003       0.004       0.034       0.000       0.019      57.457        0.02       4090.  
         1.9        0.41      0.4759      0.2049      0.1767       0.000       0.003       0.004       0.033       0.000       0.018      55.858        0.02       4100.  
         2.1        0.44      0.5008      0.1950      0.1731       0.000       0.003       0.004       0.032       0.000       0.017      54.268        0.02       4110.  
         2.3        0.48      0.5237      0.1849      0.1690       0.000       0.003       0.004       0.032       0.000       0.016      52.688        0.02       4121.  
         2.4        0.51      0.5452      0.1745      0.1642       0.000       0.003       0.003       0.031       0.000       0.015      51.194        0.02       4133.  
         2.6        0.55      0.5652      0.1638      0.1585       0.000       0.003       0.003       0.030       0.000       0.015      49.762        0.02       4146.  
         2.8        0.58      0.5830      0.1528      0.1524       0.000       0.002       0.003       0.029       0.000       0.014      48.303        0.02       4160.  
         2.9        0.62      0.5981      0.1416      0.1457       0.000       0.002       0.003       0.027       0.000       0.013      46.806        0.02       4174.  
         3.1        0.65      0.6104      0.1301      0.1385       0.000       0.002       0.003       0.026       0.000       0.012      45.256        0.02       4190.  
         3.2        0.68      0.6195      0.1183      0.1306       0.000       0.002       0.002       0.024       0.000       0.010      43.630        0.02       4206.  
         3.4        0.72      0.6247      0.1063      0.1222       0.000       0.002       0.002       0.023       0.000       0.009      41.900        0.02       4222.  
         3.6        0.75      0.6250      0.0940      0.1131       0.000       0.002       0.002       0.021       0.000       0.008      40.020        0.02       4240.  
         3.7        0.79      0.6186      0.0814      0.1035       0.000       0.002       0.002       0.019       0.000       0.007      37.885        0.02       4258.  
         3.9        0.82      0.6023      0.0685      0.0933       0.000       0.001       0.001       0.017       0.000       0.006      35.350        0.02       4277.  
         4.0        0.85      0.5715      0.0553      0.0828       0.000       0.001       0.001       0.016       0.000       0.005      32.202        0.02       4296.  
         4.2        0.89      0.5182      0.0419      0.0719       0.000       0.001       0.001       0.013       0.000       0.004      28.072        0.02       4317.  
         4.4        0.92      0.4275      0.0282      0.0609       0.000       0.001       0.001       0.011       0.000       0.002      22.305        0.02       4338.  
         4.5        0.96      0.2726      0.0142      0.0498       0.000       0.001       0.000       0.009       0.000       0.001      13.715        0.02       4360.  
         4.7        0.99     -0.0007      0.0000      0.0390       0.000       0.001       0.000       0.007       0.000       0.000      -0.033        0.02       4382.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       2000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.2953      0.1880       0.000       0.012       0.024       0.282       0.001       0.105      37.820        0.04       8078.  
         0.3        0.03      0.0525      0.2907      0.1895       0.000       0.012       0.023       0.284       0.001       0.103      36.950        0.04       8078.  
         0.6        0.07      0.1025      0.2856      0.1906       0.000       0.012       0.023       0.286       0.001       0.101      36.096        0.04       8081.  
         1.0        0.10      0.1502      0.2799      0.1912       0.000       0.012       0.022       0.287       0.001       0.099      35.256        0.04       8085.  
         1.3        0.14      0.1955      0.2736      0.1915       0.000       0.012       0.022       0.287       0.001       0.097      34.420        0.04       8091.  
         1.6        0.17      0.2385      0.2666      0.1911       0.000       0.012       0.021       0.287       0.001       0.094      33.592        0.04       8099.  
         1.9        0.21      0.2792      0.2589      0.1903       0.000       0.012       0.021       0.285       0.001       0.092      32.772        0.04       8108.  
         2.3        0.24      0.3176      0.2506      0.1889       0.000       0.012       0.020       0.283       0.001       0.089      31.958        0.04       8119.  
         2.6        0.27      0.3538      0.2420      0.1871       0.000       0.012       0.019       0.281       0.001       0.086      31.148        0.04       8132.  
         2.9        0.31      0.3877      0.2331      0.1851       0.000       0.012       0.019       0.278       0.001       0.083      30.340        0.04       8146.  
         3.2        0.34      0.4193      0.2240      0.1827       0.000       0.012       0.018       0.274       0.001       0.079      29.533        0.04       8162.  
         3.6        0.38      0.4487      0.2146      0.1799       0.000       0.011       0.017       0.270       0.001       0.076      28.728        0.04       8180.  
         3.9        0.41      0.4758      0.2050      0.1768       0.000       0.011       0.016       0.265       0.001       0.073      27.929        0.04       8199.  
         4.2        0.44      0.5008      0.1951      0.1732       0.000       0.011       0.016       0.260       0.001       0.069      27.133        0.04       8220.  
         4.5        0.48      0.5236      0.1849      0.1691       0.000       0.011       0.015       0.254       0.001       0.066      26.344        0.04       8243.  
         4.9        0.51      0.5451      0.1745      0.1642       0.000       0.010       0.014       0.246       0.001       0.062      25.597        0.04       8267.  
         5.2        0.55      0.5652      0.1638      0.1586       0.000       0.010       0.013       0.238       0.001       0.058      24.881        0.04       8293.  
         5.5        0.58      0.5829      0.1528      0.1524       0.000       0.010       0.012       0.229       0.001       0.054      24.152        0.04       8320.  
         5.8        0.62      0.5981      0.1416      0.1458       0.000       0.009       0.011       0.219       0.001       0.050      23.404        0.04       8349.  
         6.2        0.65      0.6104      0.1301      0.1385       0.000       0.009       0.010       0.208       0.001       0.046      22.629        0.04       8379.  
         6.5        0.68      0.6195      0.1184      0.1307       0.000       0.008       0.009       0.196       0.001       0.042      21.818        0.04       8411.  
         6.8        0.72      0.6247      0.1064      0.1223       0.000       0.008       0.008       0.183       0.001       0.038      20.954        0.04       8444.  
         7.1        0.75      0.6252      0.0940      0.1132       0.000       0.007       0.007       0.170       0.001       0.033      20.015        0.04       8479.  
         7.4        0.79      0.6189      0.0815      0.1035       0.000       0.007       0.006       0.155       0.001       0.029      18.951        0.04       8516.  
         7.8        0.82      0.6028      0.0686      0.0934       0.000       0.006       0.005       0.140       0.001       0.024      17.690        0.04       8554.  
         8.1        0.85      0.5723      0.0555      0.0828       0.000       0.005       0.004       0.124       0.001       0.020      16.123        0.04       8593.  
         8.4        0.89      0.5191      0.0420      0.0719       0.000       0.005       0.003       0.108       0.001       0.015      14.063        0.04       8634.  
