         6.5x7.0                  (65x70.dat)                                                                                                                             
         v2020-0506                                                                                                                                                       
         Simulation Date: 03/09/2021                                                                                                                                      
                                                                                                                                                                          
         POLARS WERE GENERATED USING:  TAIR (DEFAULT, BATCH)                                                                                                              
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
         Mach (at prop tip)                                                                                                                                               
         Reyn (at 75% of span)                                                                                                                                            
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1103      0.0636       0.000       0.004       0.006       0.044       0.000       0.028      64.295        0.03       4230.  
         0.3        0.05      0.0781      0.1104      0.0652       0.000       0.004       0.006       0.045       0.000       0.028      62.685        0.03       4230.  
         0.6        0.09      0.1521      0.1105      0.0671       0.000       0.004       0.006       0.047       0.000       0.028      61.050        0.03       4233.  
         0.9        0.14      0.2220      0.1107      0.0691       0.000       0.004       0.006       0.048       0.000       0.028      59.402        0.03       4237.  
         1.1        0.18      0.2878      0.1109      0.0711       0.000       0.004       0.006       0.050       0.000       0.028      57.750        0.03       4242.  
         1.4        0.23      0.3495      0.1111      0.0734       0.000       0.004       0.006       0.051       0.000       0.028      56.099        0.03       4250.  
         1.7        0.28      0.4071      0.1113      0.0757       0.000       0.004       0.006       0.053       0.001       0.028      54.453        0.03       4259.  
         2.0        0.32      0.4606      0.1115      0.0783       0.000       0.005       0.006       0.054       0.001       0.028      52.806        0.03       4269.  
         2.3        0.37      0.5096      0.1117      0.0810       0.000       0.005       0.006       0.056       0.001       0.028      51.125        0.03       4281.  
         2.6        0.42      0.5538      0.1119      0.0840       0.000       0.005       0.006       0.058       0.001       0.028      49.382        0.03       4295.  
         2.8        0.46      0.5931      0.1120      0.0872       0.000       0.005       0.006       0.061       0.001       0.028      47.600        0.03       4310.  
         3.1        0.51      0.6275      0.1119      0.0906       0.000       0.005       0.006       0.063       0.001       0.028      45.781        0.03       4327.  
         3.4        0.55      0.6568      0.1116      0.0942       0.000       0.006       0.006       0.066       0.001       0.028      43.931        0.03       4345.  
         3.7        0.60      0.6812      0.1108      0.0977       0.000       0.006       0.006       0.068       0.001       0.028      42.057        0.03       4365.  
         4.0        0.65      0.7031      0.1092      0.1003       0.000       0.006       0.006       0.070       0.001       0.028      40.308        0.03       4386.  
         4.3        0.69      0.7225      0.1063      0.1019       0.000       0.006       0.006       0.071       0.001       0.027      38.660        0.03       4408.  
         4.5        0.74      0.7396      0.1019      0.1018       0.000       0.006       0.006       0.071       0.001       0.026      37.098        0.03       4433.  
         4.8        0.78      0.7549      0.0954      0.0992       0.000       0.006       0.005       0.069       0.001       0.024      35.640        0.03       4458.  
         5.1        0.83      0.7678      0.0882      0.0954       0.000       0.006       0.005       0.066       0.001       0.022      34.236        0.03       4485.  
         5.4        0.88      0.7780      0.0808      0.0911       0.000       0.005       0.005       0.063       0.001       0.020      32.865        0.03       4513.  
         5.7        0.92      0.7862      0.0733      0.0861       0.000       0.005       0.004       0.060       0.001       0.019      31.551        0.03       4543.  
         6.0        0.97      0.7918      0.0656      0.0803       0.000       0.005       0.004       0.056       0.001       0.017      30.262        0.03       4574.  
         6.3        1.02      0.7937      0.0578      0.0740       0.000       0.004       0.003       0.052       0.000       0.015      28.955        0.03       4606.  
         6.5        1.06      0.7907      0.0499      0.0670       0.000       0.004       0.003       0.047       0.000       0.013      27.591        0.03       4639.  
         6.8        1.11      0.7800      0.0419      0.0595       0.000       0.003       0.002       0.041       0.000       0.011      26.085        0.03       4674.  
         7.1        1.15      0.7575      0.0337      0.0513       0.000       0.003       0.002       0.036       0.000       0.009      24.319        0.03       4710.  
         7.4        1.20      0.7147      0.0254      0.0426       0.000       0.003       0.001       0.030       0.000       0.006      22.063        0.03       4747.  
         7.7        1.25      0.6333      0.0170      0.0334       0.000       0.002       0.001       0.023       0.000       0.004      18.825        0.03       4785.  
         8.0        1.29      0.4634      0.0085      0.0237       0.000       0.001       0.000       0.017       0.000       0.002      13.282        0.03       4824.  
         8.2        1.34     -0.0005      0.0000      0.0139       0.000       0.001       0.000       0.010       0.000       0.000      -0.015        0.03       4865.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       2000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1103      0.0636       0.000       0.015       0.025       0.354       0.002       0.112      32.148        0.05       8459.  
         0.6        0.05      0.0781      0.1104      0.0652       0.000       0.015       0.025       0.363       0.002       0.112      31.343        0.05       8461.  
         1.1        0.09      0.1520      0.1105      0.0671       0.001       0.016       0.025       0.374       0.002       0.112      30.526        0.05       8466.  
         1.7        0.14      0.2219      0.1107      0.0690       0.001       0.016       0.025       0.384       0.002       0.112      29.703        0.05       8474.  
         2.3        0.18      0.2877      0.1109      0.0711       0.001       0.017       0.025       0.396       0.002       0.112      28.877        0.05       8485.  
         2.8        0.23      0.3493      0.1111      0.0734       0.001       0.017       0.025       0.409       0.002       0.112      28.052        0.05       8499.  
         3.4        0.28      0.4069      0.1113      0.0757       0.001       0.018       0.025       0.422       0.002       0.113      27.230        0.05       8517.  
         4.0        0.32      0.4603      0.1115      0.0782       0.001       0.018       0.025       0.436       0.002       0.113      26.406        0.05       8538.  
         4.5        0.37      0.5093      0.1117      0.0810       0.001       0.019       0.025       0.451       0.002       0.113      25.566        0.05       8562.  
         5.1        0.42      0.5535      0.1119      0.0840       0.001       0.020       0.025       0.468       0.002       0.113      24.694        0.05       8589.  
         5.7        0.46      0.5928      0.1120      0.0872       0.001       0.021       0.025       0.485       0.002       0.113      23.804        0.05       8620.  
         6.2        0.51      0.6272      0.1119      0.0906       0.001       0.021       0.025       0.504       0.002       0.113      22.894        0.05       8653.  
         6.8        0.55      0.6565      0.1117      0.0942       0.001       0.022       0.025       0.524       0.003       0.113      21.969        0.05       8689.  
         7.4        0.60      0.6809      0.1109      0.0977       0.001       0.023       0.025       0.544       0.003       0.112      21.032        0.05       8729.  
         8.0        0.65      0.7028      0.1092      0.1004       0.001       0.024       0.025       0.559       0.003       0.110      20.158        0.05       8771.  
         8.5        0.69      0.7223      0.1064      0.1019       0.001       0.024       0.024       0.568       0.003       0.108      19.335        0.05       8816.  
         9.1        0.74      0.7393      0.1020      0.1019       0.001       0.024       0.023       0.567       0.003       0.103      18.555        0.05       8865.  
         9.7        0.78      0.7547      0.0955      0.0993       0.001       0.023       0.022       0.553       0.003       0.097      17.826        0.05       8915.  
