         6x3R-RH                  (6x3R-RH.dat)                                                                                                                           
         v2020-0506                                                                                                                                                       
         Simulation Date: 09/24/2020                                                                                                                                      
                                                                                                                                                                          
         POLARS WERE GENERATED USING:  TAIR (DEFAULT, BATCH)                                                                                                              
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
         Mach (at prop tip)                                                                                                                                               
         Reyn (at 75% of span)                                                                                                                                            
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       2000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.0552      0.0229       0.000       0.004       0.009       0.085       0.000       0.041      48.413        0.05       8454.  
         0.2        0.02      0.0393      0.0548      0.0229       0.000       0.004       0.009       0.085       0.000       0.040      48.023        0.05       8454.  
         0.4        0.03      0.0772      0.0556      0.0237       0.000       0.004       0.009       0.088       0.000       0.041      47.191        0.05       8455.  
         0.6        0.05      0.1148      0.0557      0.0239       0.000       0.004       0.009       0.089       0.000       0.041      46.782        0.05       8456.  
         0.7        0.07      0.1521      0.0561      0.0242       0.000       0.004       0.009       0.090       0.000       0.041      46.484        0.05       8457.  
         0.9        0.08      0.1871      0.0545      0.0239       0.000       0.004       0.009       0.089       0.000       0.040      45.749        0.05       8459.  
         1.1        0.10      0.2226      0.0551      0.0244       0.000       0.004       0.009       0.091       0.000       0.040      45.342        0.05       8461.  
         1.3        0.11      0.2561      0.0526      0.0236       0.000       0.004       0.009       0.088       0.000       0.039      44.726        0.05       8464.  
         1.5        0.13      0.2890      0.0506      0.0230       0.000       0.004       0.008       0.086       0.000       0.037      44.162        0.05       8467.  
         1.7        0.15      0.3216      0.0488      0.0224       0.000       0.004       0.008       0.084       0.000       0.036      43.679        0.05       8470.  
         1.9        0.16      0.3486      0.0497      0.0234       0.000       0.004       0.008       0.087       0.000       0.037      42.608        0.05       8474.  
         2.1        0.18      0.3787      0.0449      0.0214       0.000       0.003       0.007       0.080       0.000       0.033      42.080        0.05       8479.  
         2.2        0.20      0.3999      0.0456      0.0225       0.000       0.004       0.008       0.084       0.000       0.033      40.734        0.05       8483.  
         2.4        0.21      0.4217      0.0406      0.0206       0.000       0.003       0.007       0.077       0.000       0.030      39.651        0.05       8488.  
         2.6        0.23      0.4434      0.0392      0.0203       0.000       0.003       0.006       0.076       0.000       0.029      38.715        0.05       8494.  
         2.8        0.25      0.4561      0.0384      0.0207       0.000       0.003       0.006       0.077       0.000       0.028      37.162        0.05       8500.  
         3.0        0.26      0.4669      0.0348      0.0196       0.000       0.003       0.006       0.073       0.000       0.026      35.670        0.05       8506.  
         3.2        0.28      0.4835      0.0336      0.0194       0.000       0.003       0.006       0.072       0.000       0.025      34.760        0.05       8513.  
         3.4        0.30      0.4908      0.0309      0.0186       0.000       0.003       0.005       0.070       0.000       0.023      33.327        0.05       8520.  
         3.5        0.31      0.4978      0.0272      0.0171       0.000       0.003       0.004       0.064       0.000       0.020      32.021        0.05       8528.  
         3.7        0.33      0.5019      0.0254      0.0166       0.000       0.003       0.004       0.062       0.000       0.019      30.672        0.05       8536.  
         3.9        0.34      0.5079      0.0252      0.0171       0.000       0.003       0.004       0.064       0.000       0.019      29.560        0.05       8544.  
         4.1        0.36      0.4924      0.0203      0.0149       0.000       0.002       0.003       0.056       0.000       0.015      27.355        0.05       8553.  
         4.3        0.38      0.4780      0.0173      0.0137       0.000       0.002       0.003       0.051       0.000       0.013      25.401        0.05       8562.  
         4.5        0.39      0.4545      0.0150      0.0130       0.000       0.002       0.002       0.048       0.000       0.011      23.149        0.05       8571.  
         4.7        0.41      0.4452      0.0142      0.0131       0.000       0.002       0.002       0.049       0.000       0.010      21.765        0.05       8581.  
         4.9        0.43      0.3929      0.0108      0.0117       0.000       0.002       0.002       0.044       0.000       0.008      18.469        0.05       8591.  
         5.0        0.44      0.2765      0.0060      0.0096       0.000       0.002       0.001       0.036       0.000       0.004      12.517        0.05       8602.  
         5.2        0.46      0.1778      0.0034      0.0088       0.000       0.001       0.001       0.033       0.000       0.003       7.763        0.05       8613.  
         5.4        0.48     -0.0171     -0.0003      0.0075       0.000       0.001       0.000       0.028       0.000       0.000      -0.720        0.05       8625.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       3000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.0582      0.0235       0.000       0.008       0.022       0.296       0.001       0.096      33.129        0.07      12681.  
         0.3        0.02      0.0404      0.0578      0.0236       0.000       0.008       0.021       0.297       0.001       0.095      32.819        0.07      12681.  
         0.6        0.03      0.0787      0.0559      0.0234       0.000       0.008       0.021       0.295       0.001       0.092      31.915        0.07      12682.  
         0.8        0.05      0.1178      0.0551      0.0232       0.000       0.008       0.020       0.292       0.001       0.091      31.854        0.07      12683.  
         1.1        0.07      0.1548      0.0534      0.0228       0.000       0.008       0.020       0.287       0.001       0.088      31.410        0.07      12686.  
         1.4        0.08      0.1904      0.0519      0.0225       0.000       0.008       0.019       0.283       0.001       0.086      30.899        0.07      12688.  
         1.7        0.10      0.2244      0.0512      0.0226       0.000       0.008       0.019       0.284       0.001       0.085      30.351        0.07      12692.  
         2.0        0.12      0.2587      0.0497      0.0222       0.000       0.008       0.018       0.279       0.001       0.082      29.989        0.07      12696.  
         2.2        0.13      0.2915      0.0487      0.0220       0.000       0.008       0.018       0.278       0.001       0.081      29.562        0.07      12701.  
         2.5        0.15      0.3217      0.0468      0.0216       0.000       0.008       0.017       0.272       0.001       0.077      29.007        0.07      12706.  
         2.8        0.16      0.3492      0.0455      0.0215       0.000       0.008       0.017       0.271       0.001       0.075      28.332        0.07      12712.  
         3.1        0.18      0.3769      0.0442      0.0213       0.000       0.008       0.016       0.268       0.001       0.073      27.800        0.07      12718.  
         3.4        0.20      0.4007      0.0422      0.0208       0.000       0.007       0.016       0.262       0.001       0.070      27.098        0.07      12725.  
         3.7        0.21      0.4305      0.0397      0.0198       0.000       0.007       0.015       0.249       0.001       0.066      26.871        0.07      12733.  
         3.9        0.23      0.4494      0.0379      0.0195       0.000       0.007       0.014       0.245       0.001       0.063      26.046        0.07      12741.  
         4.2        0.25      0.4656      0.0361      0.0192       0.000       0.007       0.013       0.241       0.001       0.060      25.189        0.07      12750.  
         4.5        0.26      0.4790      0.0334      0.0184       0.000       0.007       0.012       0.232       0.001       0.055      24.292        0.07      12760.  
         4.8        0.28      0.4911      0.0315      0.0180       0.000       0.006       0.012       0.226       0.001       0.052      23.443        0.07      12770.  
         5.1        0.30      0.4998      0.0294      0.0174       0.000       0.006       0.011       0.220       0.001       0.049      22.530        0.07      12781.  
         5.3        0.31      0.5036      0.0268      0.0167       0.000       0.006       0.010       0.210       0.001       0.044      21.507        0.07      12792.  
         5.6        0.33      0.5028      0.0251      0.0165       0.000       0.006       0.009       0.208       0.001       0.042      20.401        0.07      12804.  
         5.9        0.35      0.5031      0.0222      0.0153       0.000       0.005       0.008       0.193       0.001       0.037      19.442        0.07      12817.  
         6.2        0.36      0.4966      0.0198      0.0145       0.000       0.005       0.007       0.182       0.001       0.033      18.316        0.07      12830.  
         6.5        0.38      0.4837      0.0175      0.0137       0.000       0.005       0.007       0.173       0.001       0.029      17.064        0.07      12844.  
         6.7        0.40      0.4516      0.0144      0.0126       0.000       0.004       0.005       0.159       0.001       0.024      15.268        0.07      12858.  
         7.0        0.41      0.4130      0.0117      0.0117       0.000       0.004       0.004       0.147       0.000       0.019      13.403        0.07      12873.  
         7.3        0.43      0.3522      0.0087      0.0106       0.000       0.004       0.003       0.133       0.000       0.014      10.990        0.07      12889.  
         7.6        0.45      0.2755      0.0059      0.0096       0.000       0.003       0.002       0.121       0.000       0.010       8.279        0.07      12905.  
         7.9        0.46      0.1625      0.0030      0.0086       0.000       0.003       0.001       0.109       0.000       0.005       4.709        0.07      12922.  
         8.2        0.48     -0.0086     -0.0001      0.0075       0.000       0.003       0.000       0.095       0.000       0.000      -0.241        0.07      12939.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       4000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.0672      0.0294       0.001       0.019       0.044       0.877       0.002       0.197      22.968        0.10      16908.  
         0.4        0.02      0.0384      0.0654      0.0283       0.001       0.018       0.043       0.844       0.002       0.192      23.213        0.10      16908.  
         0.8        0.03      0.0748      0.0640      0.0284       0.001       0.018       0.042       0.848       0.002       0.188      22.614        0.10      16909.  
         1.1        0.05      0.1109      0.0626      0.0281       0.001       0.018       0.041       0.839       0.002       0.184      22.371        0.10      16911.  
         1.5        0.07      0.1447      0.0603      0.0277       0.001       0.017       0.040       0.826       0.002       0.177      21.890        0.10      16914.  
         1.9        0.08      0.1869      0.0595      0.0264       0.001       0.017       0.039       0.788       0.002       0.175      22.611        0.10      16918.  
         2.3        0.10      0.2146      0.0571      0.0265       0.001       0.017       0.038       0.791       0.002       0.168      21.635        0.10      16923.  
         2.6        0.12      0.2554      0.0550      0.0250       0.001       0.016       0.036       0.746       0.002       0.161      22.078        0.10      16928.  
         3.0        0.13      0.2805      0.0532      0.0252       0.001       0.016       0.035       0.752       0.002       0.156      21.212        0.10      16934.  
         3.4        0.15      0.3124      0.0510      0.0244       0.001       0.015       0.034       0.728       0.002       0.150      21.001        0.10      16941.  
         3.8        0.17      0.3411      0.0487      0.0237       0.001       0.015       0.032       0.706       0.002       0.143      20.635        0.10      16949.  
         4.1        0.18      0.3694      0.0465      0.0230       0.001       0.015       0.031       0.686       0.002       0.137      20.316        0.10      16958.  
         4.5        0.20      0.3993      0.0442      0.0221       0.001       0.014       0.029       0.658       0.002       0.130      20.131        0.10      16968.  
         4.9        0.22      0.4249      0.0422      0.0214       0.001       0.013       0.028       0.639       0.002       0.124      19.773        0.10      16978.  
         5.3        0.23      0.4452      0.0399      0.0208       0.001       0.013       0.026       0.621       0.001       0.117      19.240        0.10      16989.  
         5.7        0.25      0.4611      0.0373      0.0201       0.001       0.013       0.025       0.601       0.001       0.110      18.599        0.10      17002.  
         6.0        0.27      0.4751      0.0349      0.0195       0.001       0.012       0.023       0.581       0.001       0.102      17.965        0.10      17014.  
         6.4        0.28      0.4888      0.0330      0.0190       0.001       0.012       0.022       0.568       0.001       0.097      17.398        0.10      17028.  
         6.8        0.30      0.4962      0.0303      0.0182       0.001       0.012       0.020       0.545       0.001       0.089      16.677        0.10      17043.  
         7.2        0.32      0.5030      0.0280      0.0175       0.001       0.011       0.018       0.523       0.001       0.082      16.018        0.10      17058.  
         7.5        0.33      0.5005      0.0250      0.0166       0.001       0.010       0.017       0.496       0.001       0.074      15.142        0.10      17074.  
         7.9        0.35      0.5009      0.0230      0.0160       0.001       0.010       0.015       0.477       0.001       0.068      14.432        0.10      17091.  
         8.3        0.36      0.4926      0.0200      0.0148       0.001       0.009       0.013       0.443       0.001       0.059      13.546        0.10      17109.  
         8.7        0.38      0.4787      0.0177      0.0141       0.001       0.009       0.012       0.422       0.001       0.052      12.593        0.10      17128.  
         9.0        0.40      0.4505      0.0145      0.0129       0.001       0.008       0.010       0.384       0.001       0.043      11.356        0.10      17147.  
         9.4        0.41      0.4147      0.0118      0.0118       0.000       0.007       0.008       0.352       0.001       0.035      10.036        0.10      17167.  
         9.8        0.43      0.3543      0.0087      0.0106       0.000       0.007       0.006       0.317       0.001       0.026       8.244        0.10      17188.  
