         7x7E                     (7x7E.dat)                                   09/10/18                                                                                   
                                                                                                                                                                          
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.1292      0.0824       0.000       0.007       0.010                                                                          
         0.3        0.04      0.0659      0.1293      0.0842       0.000       0.007       0.010                                                                          
         0.6        0.09      0.1288      0.1293      0.0863       0.000       0.007       0.010                                                                          
         0.9        0.13      0.1886      0.1294      0.0884       0.000       0.008       0.010                                                                          
         1.1        0.17      0.2453      0.1294      0.0906       0.000       0.008       0.010                                                                          
         1.4        0.21      0.2991      0.1294      0.0929       0.000       0.008       0.010                                                                          
         1.7        0.26      0.3498      0.1294      0.0953       0.000       0.008       0.010                                                                          
         2.0        0.30      0.3978      0.1293      0.0977       0.000       0.008       0.010                                                                          
         2.3        0.34      0.4430      0.1292      0.1002       0.000       0.009       0.010                                                                          
         2.6        0.39      0.4855      0.1290      0.1027       0.000       0.009       0.010                                                                          
         2.8        0.43      0.5255      0.1286      0.1051       0.000       0.009       0.010                                                                          
         3.1        0.47      0.5631      0.1279      0.1073       0.000       0.009       0.010                                                                          
         3.4        0.52      0.5984      0.1268      0.1092       0.000       0.009       0.010                                                                          
         3.7        0.56      0.6313      0.1249      0.1105       0.000       0.009       0.010                                                                          
         4.0        0.60      0.6619      0.1220      0.1108       0.000       0.009       0.009                                                                          
         4.3        0.64      0.6899      0.1180      0.1102       0.000       0.009       0.009                                                                          
         4.6        0.69      0.7150      0.1128      0.1084       0.000       0.009       0.009                                                                          
         4.8        0.73      0.7371      0.1062      0.1052       0.000       0.009       0.008                                                                          
         5.1        0.77      0.7553      0.0984      0.1007       0.000       0.009       0.008                                                                          
         5.4        0.82      0.7693      0.0903      0.0957       0.000       0.008       0.007                                                                          
         5.7        0.86      0.7791      0.0819      0.0903       0.000       0.008       0.006                                                                          
         6.0        0.90      0.7840      0.0734      0.0844       0.000       0.007       0.006                                                                          
         6.3        0.94      0.7834      0.0646      0.0779       0.000       0.007       0.005                                                                          
         6.5        0.99      0.7788      0.0557      0.0707       0.000       0.006       0.004                                                                          
         6.8        1.03      0.7702      0.0467      0.0625       0.000       0.005       0.004                                                                          
         7.1        1.07      0.7549      0.0376      0.0535       0.000       0.005       0.003                                                                          
         7.4        1.12      0.7266      0.0284      0.0437       0.000       0.004       0.002                                                                          
         7.7        1.16      0.6667      0.0191      0.0332       0.000       0.003       0.001                                                                          
         8.0        1.20      0.5227      0.0097      0.0222       0.000       0.002       0.001                                                                          
         8.3        1.25     -0.0015      0.0000      0.0114       0.000       0.001       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       2000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.1293      0.0824       0.001       0.028       0.040                                                                          
