         8x4.2SFR                 (8x42SFR.dat)                                                                                                                           
         v2020-0506                                                                                                                                                       
         Simulation Date: 09/24/2020                                                                                                                                      
                                                                                                                                                                          
         POLARS WERE GENERATED USING:  TAIR (DEFAULT, BATCH)                                                                                                              
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
         Mach (at prop tip)                                                                                                                                               
         Reyn (at 75% of span)                                                                                                                                            
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.0611      0.0269       0.000       0.004       0.008       0.053       0.001       0.035      68.331        0.03       7212.  
         0.1        0.02      0.0391      0.0606      0.0269       0.000       0.004       0.008       0.053       0.001       0.035      67.896        0.03       7213.  
         0.3        0.03      0.0777      0.0601      0.0268       0.000       0.004       0.008       0.053       0.001       0.035      67.427        0.03       7213.  
         0.4        0.05      0.1156      0.0595      0.0268       0.000       0.004       0.008       0.053       0.001       0.035      66.922        0.03       7214.  
         0.5        0.07      0.1529      0.0588      0.0267       0.000       0.004       0.008       0.052       0.001       0.034      66.377        0.03       7216.  
         0.7        0.09      0.1895      0.0580      0.0265       0.000       0.004       0.008       0.052       0.000       0.034      65.790        0.03       7217.  
         0.8        0.10      0.2252      0.0571      0.0264       0.000       0.004       0.007       0.052       0.000       0.033      65.159        0.03       7219.  
         0.9        0.12      0.2599      0.0561      0.0262       0.000       0.004       0.007       0.051       0.000       0.033      64.476        0.03       7222.  
         1.1        0.14      0.2936      0.0549      0.0259       0.000       0.004       0.007       0.051       0.000       0.032      63.732        0.03       7225.  
         1.2        0.16      0.3261      0.0536      0.0257       0.000       0.004       0.007       0.050       0.000       0.031      62.921        0.03       7228.  
         1.3        0.17      0.3573      0.0522      0.0253       0.000       0.004       0.007       0.050       0.000       0.030      62.042        0.03       7232.  
         1.4        0.19      0.3870      0.0507      0.0250       0.000       0.004       0.007       0.049       0.000       0.029      61.091        0.03       7236.  
         1.6        0.21      0.4151      0.0490      0.0246       0.000       0.004       0.006       0.048       0.000       0.028      60.067        0.03       7241.  
         1.7        0.23      0.4415      0.0472      0.0241       0.000       0.004       0.006       0.047       0.000       0.027      58.964        0.03       7245.  
         1.8        0.24      0.4659      0.0452      0.0236       0.000       0.004       0.006       0.046       0.000       0.026      57.777        0.03       7251.  
         2.0        0.26      0.4880      0.0431      0.0229       0.000       0.004       0.006       0.045       0.000       0.025      56.493        0.03       7256.  
         2.1        0.28      0.5076      0.0407      0.0222       0.000       0.004       0.005       0.044       0.000       0.024      55.082        0.03       7262.  
         2.2        0.29      0.5237      0.0379      0.0214       0.000       0.004       0.005       0.042       0.000       0.022      53.488        0.03       7269.  
         2.4        0.31      0.5369      0.0351      0.0204       0.000       0.003       0.005       0.040       0.000       0.020      51.795        0.03       7275.  
         2.5        0.33      0.5468      0.0323      0.0194       0.000       0.003       0.004       0.038       0.000       0.019      49.968        0.03       7283.  
         2.6        0.35      0.5528      0.0293      0.0184       0.000       0.003       0.004       0.036       0.000       0.017      47.988        0.03       7290.  
         2.8        0.36      0.5547      0.0263      0.0173       0.000       0.003       0.003       0.034       0.000       0.015      45.860        0.03       7298.  
         2.9        0.38      0.5514      0.0233      0.0161       0.000       0.003       0.003       0.032       0.000       0.014      43.522        0.03       7306.  
         3.0        0.40      0.5415      0.0201      0.0148       0.000       0.002       0.003       0.029       0.000       0.012      40.882        0.03       7315.  
         3.2        0.42      0.5224      0.0169      0.0135       0.000       0.002       0.002       0.027       0.000       0.010      37.797        0.03       7324.  
         3.3        0.43      0.4889      0.0137      0.0121       0.000       0.002       0.002       0.024       0.000       0.008      33.956        0.03       7333.  
         3.4        0.45      0.4346      0.0103      0.0107       0.000       0.002       0.001       0.021       0.000       0.006      29.022        0.03       7343.  
         3.5        0.47      0.3496      0.0069      0.0093       0.000       0.002       0.001       0.018       0.000       0.004      22.481        0.03       7353.  
         3.7        0.49      0.2162      0.0035      0.0078       0.000       0.001       0.000       0.015       0.000       0.002      13.408        0.03       7364.  
         3.8        0.50     -0.0060     -0.0001      0.0062       0.000       0.001       0.000       0.012       0.000       0.000      -0.362        0.03       7375.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       2000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
