         9.5x5MR                  (95x5MR.dat)                                 10/14/16                                                                                   
                                                                                                                                                                          
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       3000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.1202      0.0504       0.008       0.178       0.281                                                                          
         0.7        0.03      0.0615      0.1192      0.0510       0.009       0.180       0.278                                                                          
         1.4        0.05      0.1204      0.1181      0.0516       0.009       0.182       0.276                                                                          
         2.1        0.08      0.1766      0.1167      0.0521       0.009       0.184       0.272                                                                          
         2.8        0.11      0.2303      0.1149      0.0525       0.009       0.185       0.268                                                                          
         3.6        0.13      0.2814      0.1127      0.0527       0.009       0.186       0.263                                                                          
         4.3        0.16      0.3300      0.1101      0.0527       0.009       0.186       0.257                                                                          
         5.0        0.18      0.3756      0.1071      0.0525       0.009       0.185       0.250                                                                          
         5.7        0.21      0.4182      0.1037      0.0522       0.009       0.184       0.242                                                                          
         6.4        0.24      0.4578      0.1000      0.0517       0.009       0.183       0.233                                                                          
         7.1        0.26      0.4945      0.0961      0.0511       0.009       0.181       0.224                                                                          
         7.8        0.29      0.5280      0.0922      0.0505       0.008       0.178       0.215                                                                          
         8.5        0.32      0.5585      0.0881      0.0498       0.008       0.176       0.206                                                                          
         9.2        0.34      0.5857      0.0839      0.0490       0.008       0.173       0.196                                                                          
