         9x4.1SF                  (9x41SF.dat)                                                                                                                            
         v2020-0506                                                                                                                                                       
         Simulation Date: 05/11/2020                                                                                                                                      
                                                                                                                                                                          
         POLARS WERE GENERATED USING:  TAIR (DEFAULT, BATCH)                                                                                                              
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
         Mach (at prop tip)                                                                                                                                               
         Reyn (at 75% of span)                                                                                                                                            
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1117      0.0469       0.000       0.014       0.023       0.166       0.002       0.104      63.781        0.04       9035.  
         0.2        0.03      0.0617      0.1099      0.0472       0.000       0.014       0.023       0.167       0.002       0.102      62.230        0.04       9035.  
         0.5        0.05      0.1203      0.1078      0.0476       0.000       0.014       0.023       0.168       0.002       0.100      60.675        0.04       9037.  
         0.7        0.08      0.1758      0.1056      0.0478       0.000       0.014       0.022       0.169       0.002       0.098      59.112        0.04       9040.  
         0.9        0.11      0.2282      0.1032      0.0480       0.000       0.014       0.022       0.170       0.002       0.096      57.533        0.04       9044.  
         1.1        0.13      0.2775      0.1006      0.0481       0.000       0.014       0.021       0.170       0.002       0.094      55.968        0.04       9049.  
         1.4        0.16      0.3238      0.0978      0.0481       0.000       0.014       0.020       0.170       0.002       0.091      54.425        0.04       9055.  
         1.6        0.19      0.3672      0.0946      0.0478       0.000       0.014       0.020       0.169       0.002       0.088      52.901        0.04       9063.  
         1.8        0.21      0.4080      0.0912      0.0474       0.000       0.014       0.019       0.168       0.002       0.085      51.436        0.04       9071.  
         2.0        0.24      0.4464      0.0877      0.0469       0.000       0.014       0.018       0.166       0.002       0.082      50.015        0.04       9081.  
         2.3        0.27      0.4821      0.0841      0.0463       0.000       0.014       0.018       0.164       0.002       0.078      48.622        0.04       9092.  
         2.5        0.29      0.5154      0.0803      0.0455       0.000       0.014       0.017       0.161       0.002       0.075      47.251        0.04       9104.  
         2.7        0.32      0.5462      0.0764      0.0446       0.000       0.013       0.016       0.158       0.002       0.071      45.898        0.04       9117.  
         2.9        0.34      0.5745      0.0725      0.0435       0.000       0.013       0.015       0.154       0.001       0.067      44.563        0.04       9131.  
         3.2        0.37      0.6003      0.0684      0.0423       0.000       0.013       0.014       0.150       0.001       0.064      43.241        0.04       9146.  
