         9x4.5R-RH                (9x45R-RH.dat)                                                                                                                          
         v2020-0506                                                                                                                                                       
         Simulation Date: 09/24/2020                                                                                                                                      
                                                                                                                                                                          
         POLARS WERE GENERATED USING:  TAIR (DEFAULT, BATCH)                                                                                                              
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
         Mach (at prop tip)                                                                                                                                               
         Reyn (at 75% of span)                                                                                                                                            
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.0654      0.0279       0.000       0.008       0.014       0.099       0.001       0.061      62.749        0.04       9517.  
         0.1        0.02      0.0385      0.0649      0.0278       0.000       0.008       0.014       0.099       0.001       0.060      62.433        0.04       9517.  
         0.3        0.03      0.0765      0.0643      0.0277       0.000       0.008       0.013       0.098       0.001       0.060      62.078        0.04       9518.  
         0.4        0.05      0.1140      0.0636      0.0276       0.000       0.008       0.013       0.098       0.001       0.059      61.682        0.04       9519.  
         0.6        0.07      0.1509      0.0627      0.0274       0.000       0.008       0.013       0.097       0.001       0.058      61.230        0.04       9520.  
         0.7        0.08      0.1870      0.0617      0.0272       0.000       0.008       0.013       0.096       0.001       0.057      60.719        0.04       9522.  
         0.8        0.10      0.2221      0.0603      0.0269       0.000       0.008       0.013       0.095       0.001       0.056      60.076        0.04       9525.  
         1.0        0.12      0.2560      0.0588      0.0265       0.000       0.008       0.012       0.094       0.001       0.055      59.367        0.04       9528.  
         1.1        0.13      0.2888      0.0571      0.0261       0.000       0.008       0.012       0.092       0.001       0.053      58.586        0.04       9532.  
         1.3        0.15      0.3200      0.0554      0.0257       0.000       0.008       0.012       0.091       0.001       0.051      57.721        0.04       9535.  
         1.4        0.16      0.3498      0.0535      0.0252       0.000       0.008       0.011       0.089       0.001       0.050      56.771        0.04       9540.  
