         9x4.6SF                  (9x46SF.dat)                                 01/09/17                                                                                   
                                                                                                                                                                          
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       2000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.1062      0.0441       0.002       0.053       0.089                                                                          
         0.5        0.03      0.0690      0.1062      0.0455       0.002       0.054       0.089                                                                          
         1.0        0.06      0.1348      0.1046      0.0458       0.002       0.055       0.087                                                                          
         1.5        0.09      0.1967      0.1037      0.0467       0.002       0.056       0.087                                                                          
         2.0        0.12      0.2544      0.1033      0.0480       0.002       0.057       0.086                                                                          
         2.5        0.15      0.3090      0.1022      0.0489       0.002       0.059       0.085                                                                          
         3.0        0.18      0.3602      0.1008      0.0496       0.002       0.059       0.084                                                                          
         3.5        0.21      0.4083      0.0990      0.0502       0.002       0.060       0.083                                                                          
         4.0        0.24      0.4530      0.0967      0.0505       0.002       0.060       0.081                                                                          
         4.5        0.27      0.4939      0.0940      0.0506       0.002       0.061       0.079                                                                          
         5.0        0.30      0.5308      0.0912      0.0508       0.002       0.061       0.076                                                                          
         5.5        0.33      0.5644      0.0879      0.0506       0.002       0.061       0.073                                                                          
         6.0        0.35      0.5946      0.0845      0.0504       0.002       0.060       0.071                                                                          
         6.5        0.38      0.6207      0.0820      0.0508       0.002       0.061       0.069                                                                          
         7.1        0.41      0.6445      0.0786      0.0504       0.002       0.060       0.066                                                                          
         7.6        0.44      0.6654      0.0749      0.0499       0.002       0.060       0.063                                                                          
         8.1        0.47      0.6836      0.0708      0.0490       0.002       0.059       0.059                                                                          
         8.6        0.50      0.6990      0.0671      0.0482       0.002       0.058       0.056                                                                          
         9.1        0.53      0.7124      0.0643      0.0480       0.002       0.058       0.054                                                                          
         9.6        0.56      0.7221      0.0598      0.0465       0.002       0.056       0.050                                                                          
        10.1        0.59      0.7283      0.0551      0.0447       0.002       0.054       0.046                                                                          
        10.6        0.62      0.7304      0.0500      0.0425       0.002       0.051       0.042                                                                          
        11.1        0.65      0.7276      0.0445      0.0398       0.002       0.048       0.037                                                                          
        11.6        0.68      0.7189      0.0388      0.0367       0.001       0.044       0.032                                                                          
        12.1        0.71      0.7010      0.0329      0.0333       0.001       0.040       0.028                                                                          
        12.6        0.74      0.6712      0.0274      0.0301       0.001       0.036       0.023                                                                          
        13.1        0.77      0.6196      0.0212      0.0263       0.001       0.031       0.018                                                                          
        13.6        0.80      0.5302      0.0145      0.0218       0.001       0.026       0.012                                                                          
        14.1        0.83      0.3636      0.0075      0.0171       0.001       0.020       0.006                                                                          
        14.6        0.86      0.0208      0.0003      0.0122       0.000       0.015       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       3000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.1095      0.0457       0.006       0.123       0.206                                                                          
         0.7        0.03      0.0657      0.1089      0.0466       0.006       0.125       0.205                                                                          
         1.4        0.06      0.1281      0.1082      0.0474       0.006       0.128       0.203                                                                          
         2.2        0.08      0.1873      0.1074      0.0483       0.006       0.130       0.202                                                                          
         2.9        0.11      0.2433      0.1062      0.0490       0.006       0.132       0.200                                                                          
         3.6        0.14      0.2961      0.1051      0.0498       0.006       0.134       0.198                                                                          
         4.3        0.17      0.3458      0.1037      0.0506       0.006       0.136       0.195                                                                          
         5.0        0.20      0.3929      0.1016      0.0509       0.007       0.137       0.191                                                                          
         5.7        0.22      0.4365      0.0996      0.0513       0.007       0.138       0.187                                                                          
         6.5        0.25      0.4771      0.0970      0.0514       0.007       0.138       0.182                                                                          
         7.2        0.28      0.5144      0.0939      0.0513       0.007       0.138       0.177                                                                          
         7.9        0.31      0.5485      0.0905      0.0509       0.007       0.137       0.170                                                                          
         8.6        0.34      0.5795      0.0870      0.0506       0.006       0.136       0.164                                                                          
         9.3        0.37      0.6074      0.0833      0.0501       0.006       0.135       0.157                                                                          
        10.1        0.39      0.6321      0.0796      0.0495       0.006       0.133       0.150                                                                          
        10.8        0.42      0.6539      0.0756      0.0487       0.006       0.131       0.142                                                                          
        11.5        0.45      0.6728      0.0714      0.0477       0.006       0.129       0.134                                                                          
        12.2        0.48      0.6888      0.0671      0.0465       0.006       0.125       0.126                                                                          
        12.9        0.51      0.7021      0.0626      0.0451       0.006       0.121       0.118                                                                          
        13.6        0.53      0.7123      0.0579      0.0434       0.006       0.117       0.109                                                                          
        14.4        0.56      0.7191      0.0530      0.0414       0.005       0.112       0.100                                                                          
