         9x8E-3                   (9x8E-3.dat)                                                                                                                            
         v2020-0506                                                                                                                                                       
         Simulation Date: 05/11/2020                                                                                                                                      
                                                                                                                                                                          
         POLARS WERE GENERATED USING:  TAIR (DEFAULT, BATCH)                                                                                                              
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
         Mach (at prop tip)                                                                                                                                               
         Reyn (at 75% of span)                                                                                                                                            
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.2124      0.1163       0.001       0.035       0.044       0.412       0.004       0.197      48.874        0.04      10575.  
         0.3        0.04      0.0636      0.2113      0.1193       0.001       0.036       0.044       0.423       0.004       0.196      47.389        0.04      10576.  
         0.6        0.07      0.1233      0.2099      0.1223       0.001       0.037       0.044       0.433       0.004       0.195      45.942        0.04      10580.  
         0.9        0.11      0.1792      0.2080      0.1250       0.001       0.037       0.043       0.443       0.004       0.193      44.538        0.04      10586.  
         1.2        0.14      0.2317      0.2056      0.1274       0.001       0.038       0.043       0.451       0.004       0.191      43.177        0.04      10595.  
         1.5        0.18      0.2808      0.2026      0.1295       0.001       0.039       0.042       0.459       0.004       0.188      41.866        0.04      10606.  
         1.8        0.22      0.3268      0.1991      0.1313       0.001       0.039       0.042       0.465       0.004       0.185      40.598        0.04      10619.  
         2.1        0.25      0.3697      0.1951      0.1326       0.001       0.040       0.041       0.470       0.004       0.181      39.365        0.04      10635.  
         2.4        0.29      0.4095      0.1905      0.1336       0.001       0.040       0.040       0.473       0.005       0.177      38.161        0.04      10653.  
         2.8        0.32      0.4464      0.1853      0.1341       0.001       0.040       0.039       0.475       0.005       0.172      36.976        0.04      10674.  
         3.1        0.36      0.4802      0.1796      0.1343       0.001       0.040       0.038       0.476       0.005       0.167      35.799        0.04      10697.  
         3.4        0.39      0.5111      0.1732      0.1339       0.001       0.040       0.036       0.474       0.005       0.161      34.635        0.04      10722.  
         3.7        0.43      0.5392      0.1661      0.1327       0.001       0.040       0.035       0.470       0.004       0.154      33.496        0.04      10750.  
         4.0        0.47      0.5648      0.1580      0.1306       0.001       0.039       0.033       0.463       0.004       0.147      32.387        0.04      10780.  
         4.3        0.50      0.5876      0.1497      0.1281       0.001       0.038       0.031       0.454       0.004       0.139      31.289        0.04      10813.  
         4.6        0.54      0.6076      0.1412      0.1252       0.001       0.037       0.030       0.443       0.004       0.131      30.197        0.04      10848.  
         4.9        0.57      0.6247      0.1325      0.1218       0.001       0.036       0.028       0.431       0.004       0.123      29.106        0.04      10885.  
         5.2        0.61      0.6394      0.1235      0.1179       0.001       0.035       0.026       0.418       0.004       0.115      28.038        0.04      10924.  
         5.5        0.65      0.6541      0.1144      0.1130       0.001       0.034       0.024       0.400       0.004       0.106      27.090        0.04      10966.  
         5.8        0.68      0.6664      0.1050      0.1075       0.001       0.032       0.022       0.381       0.004       0.098      26.144        0.04      11009.  
         6.1        0.72      0.6754      0.0955      0.1015       0.000       0.030       0.020       0.359       0.003       0.089      25.173        0.04      11055.  
         6.4        0.75      0.6807      0.0857      0.0949       0.000       0.028       0.018       0.336       0.003       0.080      24.163        0.04      11103.  
         6.7        0.79      0.6815      0.0757      0.0877       0.000       0.026       0.016       0.311       0.003       0.070      23.093        0.04      11153.  
         7.0        0.83      0.6767      0.0655      0.0799       0.000       0.024       0.014       0.283       0.003       0.061      21.933        0.04      11206.  
         7.3        0.86      0.6642      0.0551      0.0715       0.000       0.021       0.012       0.253       0.002       0.051      20.630        0.04      11260.  
         7.6        0.90      0.6395      0.0445      0.0625       0.000       0.019       0.009       0.221       0.002       0.041      19.069        0.04      11316.  
         8.0        0.93      0.5938      0.0337      0.0529       0.000       0.016       0.007       0.187       0.002       0.031      17.025        0.04      11375.  
         8.3        0.97      0.5101      0.0226      0.0429       0.000       0.013       0.005       0.152       0.001       0.021      14.084        0.04      11435.  
         8.6        1.01      0.3512      0.0113      0.0324       0.000       0.010       0.002       0.115       0.001       0.011       9.349        0.04      11497.  
         8.9        1.04     -0.0067     -0.0001      0.0213       0.000       0.006       0.000       0.076       0.001       0.000      -0.172        0.04      11561.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       2000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.2124      0.1163       0.004       0.139       0.178       3.296       0.016       0.790      24.435        0.07      21150.  
         0.6        0.04      0.0635      0.2114      0.1194       0.005       0.143       0.177       3.383       0.016       0.786      23.693        0.07      21152.  
         1.2        0.07      0.1232      0.2100      0.1223       0.005       0.147       0.176       3.467       0.017       0.781      22.970        0.07      21160.  
         1.8        0.11      0.1791      0.2081      0.1251       0.005       0.150       0.174       3.544       0.017       0.774      22.268        0.07      21172.  
         2.4        0.14      0.2315      0.2057      0.1275       0.005       0.153       0.172       3.613       0.017       0.765      21.589        0.07      21189.  
         3.1        0.18      0.2806      0.2028      0.1296       0.005       0.155       0.170       3.673       0.018       0.754      20.933        0.07      21211.  
         3.7        0.22      0.3266      0.1992      0.1313       0.005       0.157       0.167       3.722       0.018       0.741      20.299        0.07      21238.  
         4.3        0.25      0.3694      0.1952      0.1327       0.005       0.159       0.163       3.761       0.018       0.726      19.683        0.07      21270.  
         4.9        0.29      0.4093      0.1906      0.1337       0.005       0.160       0.159       3.788       0.018       0.709      19.082        0.07      21306.  
         5.5        0.32      0.4462      0.1855      0.1342       0.005       0.161       0.155       3.804       0.018       0.690      18.491        0.07      21348.  
         6.1        0.36      0.4800      0.1798      0.1344       0.005       0.161       0.150       3.808       0.018       0.668      17.902        0.07      21394.  
         6.7        0.39      0.5109      0.1734      0.1340       0.005       0.160       0.145       3.796       0.018       0.645      17.321        0.07      21445.  
         7.3        0.43      0.5390      0.1662      0.1328       0.005       0.159       0.139       3.763       0.018       0.618      16.751        0.07      21500.  
         8.0        0.47      0.5646      0.1582      0.1307       0.005       0.157       0.132       3.704       0.018       0.588      16.197        0.07      21560.  
         8.6        0.50      0.5874      0.1499      0.1282       0.005       0.154       0.125       3.633       0.017       0.558      15.649        0.07      21625.  
         9.2        0.54      0.6074      0.1414      0.1253       0.005       0.150       0.118       3.550       0.017       0.526      15.103        0.07      21695.  
         9.8        0.57      0.6246      0.1327      0.1219       0.005       0.146       0.111       3.456       0.016       0.493      14.558        0.07      21769.  
        10.4        0.61      0.6393      0.1237      0.1180       0.004       0.141       0.103       3.344       0.016       0.460      14.024        0.07      21847.  
        11.0        0.65      0.6540      0.1145      0.1131       0.004       0.135       0.096       3.205       0.015       0.426      13.551        0.07      21930.  
        11.6        0.68      0.6663      0.1052      0.1077       0.004       0.129       0.088       3.051       0.015       0.391      13.078        0.07      22017.  
        12.2        0.72      0.6753      0.0956      0.1016       0.004       0.122       0.080       2.880       0.014       0.356      12.593        0.07      22109.  
        12.8        0.75      0.6807      0.0859      0.0951       0.004       0.114       0.072       2.694       0.013       0.319      12.089        0.07      22205.  
        13.5        0.79      0.6816      0.0759      0.0879       0.003       0.105       0.063       2.490       0.012       0.282      11.555        0.07      22305.  
        14.1        0.83      0.6769      0.0657      0.0801       0.003       0.096       0.055       2.270       0.011       0.244      10.976        0.07      22410.  
        14.7        0.86      0.6645      0.0553      0.0717       0.003       0.086       0.046       2.031       0.010       0.206      10.326        0.07      22518.  
        15.3        0.90      0.6400      0.0447      0.0626       0.002       0.075       0.037       1.775       0.008       0.166       9.548        0.07      22631.  
        15.9        0.93      0.5946      0.0338      0.0531       0.002       0.064       0.028       1.504       0.007       0.126       8.530        0.07      22747.  
        16.5        0.97      0.5115      0.0228      0.0431       0.002       0.052       0.019       1.221       0.006       0.085       7.065        0.07      22868.  
        17.1        1.00      0.3538      0.0115      0.0326       0.001       0.039       0.010       0.923       0.004       0.043       4.713        0.07      22992.  
        17.7        1.04     -0.0005      0.0000      0.0215       0.001       0.026       0.000       0.608       0.003       0.000      -0.007        0.08      23120.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       3000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.2125      0.1164       0.015       0.314       0.400      11.128       0.035       1.778      16.295        0.11      31725.  
         0.9        0.04      0.0635      0.2115      0.1194       0.015       0.322       0.398      11.423       0.036       1.770      15.800        0.11      31729.  
         1.8        0.07      0.1232      0.2102      0.1224       0.016       0.330       0.395      11.707       0.037       1.759      15.317        0.11      31740.  
         2.8        0.11      0.1791      0.2083      0.1252       0.016       0.337       0.392      11.971       0.038       1.743      14.849        0.11      31758.  
         3.7        0.14      0.2316      0.2060      0.1276       0.016       0.344       0.387      12.206       0.039       1.723      14.395        0.11      31784.  
         4.6        0.18      0.2807      0.2030      0.1298       0.017       0.350       0.382      12.410       0.039       1.699      13.958        0.11      31817.  
         5.5        0.22      0.3266      0.1995      0.1315       0.017       0.354       0.375      12.577       0.040       1.669      13.535        0.11      31857.  
