# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.1154,    0.0437,    190.899,    0.203,    13.242
0.9,    0.02,    0.0597,    0.1134,    0.0440,    192.391,    0.204,    13.011
1.8,    0.05,    0.1165,    0.1112,    0.0443,    193.882,    0.206,    12.762
2.6,    0.07,    0.1704,    0.1088,    0.0445,    194.628,    0.206,    12.491
3.5,    0.09,    0.2216,    0.1063,    0.0445,    194.628,    0.207,    12.197
4.4,    0.12,    0.2701,    0.1036,    0.0445,    194.628,    0.206,    11.890
5.3,    0.14,    0.3162,    0.1007,    0.0444,    193.882,    0.206,    11.561
6.2,    0.16,    0.3598,    0.0977,    0.0441,    193.136,    0.205,    11.210
7.1,    0.19,    0.4013,    0.0944,    0.0437,    190.899,    0.203,    10.836
8.0,    0.21,    0.4404,    0.0910,    0.0432,    188.662,    0.200,    10.449
8.9,    0.23,    0.4765,    0.0875,    0.0426,    186.425,    0.198,    10.044
9.7,    0.26,    0.5097,    0.0839,    0.0420,    183.442,    0.195,    9.626
10.6,    0.28,    0.5403,    0.0801,    0.0413,    180.459,    0.192,    9.199
11.5,    0.30,    0.5682,    0.0763,    0.0405,    176.731,    0.188,    8.754
12.4,    0.32,    0.5937,    0.0723,    0.0396,    173.002,    0.184,    8.300
13.3,    0.35,    0.6166,    0.0682,    0.0385,    168.528,    0.179,    7.833
14.1,    0.37,    0.6369,    0.0641,    0.0374,    163.308,    0.173,    7.353
15.0,    0.39,    0.6546,    0.0598,    0.0361,    157.343,    0.167,    6.864
15.9,    0.42,    0.6693,    0.0554,    0.0346,    151.377,    0.161,    6.361
16.8,    0.44,    0.6805,    0.0509,    0.0330,    144.666,    0.153,    5.845
17.7,    0.46,    0.6877,    0.0463,    0.0312,    136.463,    0.145,    5.311
18.6,    0.49,    0.6903,    0.0415,    0.0293,    128.260,    0.136,    4.768
19.4,    0.51,    0.6871,    0.0367,    0.0273,    119.312,    0.126,    4.212
20.3,    0.53,    0.6762,    0.0317,    0.0250,    109.618,    0.116,    3.643
21.2,    0.56,    0.6548,    0.0267,    0.0227,    99.178,    0.106,    3.069
22.1,    0.58,    0.6174,    0.0215,    0.0203,    88.738,    0.094,    2.473
23.0,    0.60,    0.5566,    0.0163,    0.0177,    77.553,    0.082,    1.868
23.9,    0.63,    0.4573,    0.0109,    0.0150,    65.622,    0.069,    1.254
24.8,    0.65,    0.2902,    0.0055,    0.0123,    53.690,    0.057,    0.627
25.7,    0.67,    -0.0017,    0.0000,    0.0096,    41.759,    0.045,    -0.004
