# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.1068,    0.0555,    4967.107,    2.259,    97.705
2.0,    0.02,    0.0396,    0.1064,    0.0548,    4903.722,    2.230,    97.349
4.0,    0.04,    0.0798,    0.1057,    0.0540,    4832.135,    2.197,    96.722
6.0,    0.06,    0.1206,    0.1047,    0.0531,    4751.600,    2.161,    95.766
8.0,    0.08,    0.1615,    0.1032,    0.0521,    4665.098,    2.121,    94.458
10.0,    0.10,    0.2019,    0.1014,    0.0512,    4583.817,    2.084,    92.817
12.0,    0.12,    0.2410,    0.0994,    0.0505,    4515.958,    2.054,    90.984
13.9,    0.14,    0.2785,    0.0972,    0.0498,    4458.540,    2.027,    88.951
16.0,    0.16,    0.3143,    0.0948,    0.0492,    4404.849,    2.003,    86.776
17.9,    0.18,    0.3486,    0.0922,    0.0486,    4344.447,    1.976,    84.392
19.9,    0.20,    0.3813,    0.0895,    0.0479,    4283.300,    1.948,    81.914
21.9,    0.22,    0.4123,    0.0867,    0.0471,    4217.678,    1.918,    79.285
23.9,    0.24,    0.4415,    0.0836,    0.0463,    4143.108,    1.884,    76.443
25.9,    0.27,    0.4701,    0.0800,    0.0451,    4037.219,    1.836,    73.222
27.9,    0.29,    0.4965,    0.0759,    0.0436,    3905.230,    1.776,    69.463
29.9,    0.31,    0.5215,    0.0716,    0.0420,    3759.073,    1.709,    65.545
31.9,    0.33,    0.5449,    0.0672,    0.0402,    3600.985,    1.637,    61.497
33.9,    0.35,    0.5660,    0.0628,    0.0384,    3439.914,    1.564,    57.431
35.9,    0.37,    0.5848,    0.0582,    0.0365,    3269.148,    1.487,    53.267
37.9,    0.39,    0.6010,    0.0537,    0.0346,    3098.383,    1.409,    49.144
39.9,    0.41,    0.6139,    0.0492,    0.0327,    2925.381,    1.330,    45.034
41.9,    0.43,    0.6198,    0.0448,    0.0309,    2768.038,    1.259,    40.977
43.9,    0.45,    0.6127,    0.0402,    0.0294,    2634.558,    1.198,    36.791
45.9,    0.47,    0.5956,    0.0353,    0.0278,    2486.163,    1.130,    32.285
47.8,    0.49,    0.5707,    0.0299,    0.0256,    2293.027,    1.043,    27.343
49.8,    0.51,    0.5314,    0.0243,    0.0233,    2084.977,    0.948,    22.228
51.9,    0.53,    0.4797,    0.0184,    0.0204,    1822.490,    0.829,    16.863
53.8,    0.55,    0.3919,    0.0124,    0.0174,    1557.767,    0.708,    11.339
55.8,    0.57,    0.2466,    0.0062,    0.0143,    1278.875,    0.582,    5.649
57.8,    0.59,    -0.0001,    0.0000,    0.0114,    1016.389,    0.462,    -0.004
