# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.1363,    0.0783,    598.797,    0.715,    25.631
1.1,    0.03,    0.0474,    0.1344,    0.0753,    575.680,    0.687,    25.279
2.1,    0.05,    0.0968,    0.1323,    0.0726,    554.801,    0.662,    24.888
3.2,    0.08,    0.1474,    0.1300,    0.0702,    536.904,    0.641,    24.452
4.3,    0.11,    0.1988,    0.1275,    0.0681,    520.499,    0.621,    23.971
5.4,    0.13,    0.2503,    0.1247,    0.0661,    504.839,    0.603,    23.451
6.5,    0.16,    0.3016,    0.1217,    0.0643,    491.416,    0.586,    22.886
7.6,    0.19,    0.3522,    0.1185,    0.0625,    477.248,    0.570,    22.277
8.6,    0.21,    0.4015,    0.1150,    0.0608,    464.571,    0.555,    21.618
9.7,    0.24,    0.4490,    0.1112,    0.0592,    451.894,    0.540,    20.916
10.8,    0.27,    0.4943,    0.1072,    0.0576,    439.963,    0.525,    20.164
11.8,    0.29,    0.5368,    0.1030,    0.0560,    428.032,    0.511,    19.372
13.0,    0.32,    0.5764,    0.0985,    0.0544,    416.101,    0.497,    18.531
14.0,    0.35,    0.6127,    0.0938,    0.0528,    404.169,    0.482,    17.646
15.1,    0.37,    0.6455,    0.0889,    0.0512,    391.492,    0.467,    16.721
16.2,    0.40,    0.6749,    0.0838,    0.0494,    378.070,    0.451,    15.760
17.3,    0.42,    0.7014,    0.0786,    0.0476,    363.902,    0.434,    14.786
18.3,    0.45,    0.7257,    0.0733,    0.0456,    348.242,    0.416,    13.794
19.4,    0.48,    0.7479,    0.0679,    0.0434,    331.836,    0.396,    12.771
20.5,    0.50,    0.7676,    0.0624,    0.0410,    313.194,    0.374,    11.726
21.6,    0.53,    0.7841,    0.0567,    0.0384,    293.060,    0.350,    10.658
22.7,    0.56,    0.7978,    0.0509,    0.0355,    271.435,    0.324,    9.568
23.7,    0.58,    0.8085,    0.0450,    0.0325,    248.318,    0.296,    8.456
24.8,    0.61,    0.8154,    0.0389,    0.0291,    222.219,    0.266,    7.317
25.9,    0.64,    0.8141,    0.0327,    0.0256,    195.373,    0.234,    6.152
27.0,    0.66,    0.8010,    0.0264,    0.0219,    167.037,    0.200,    4.964
28.0,    0.69,    0.7702,    0.0200,    0.0179,    136.463,    0.163,    3.754
29.1,    0.72,    0.7071,    0.0134,    0.0136,    103.652,    0.124,    2.518
30.2,    0.74,    0.5518,    0.0067,    0.0091,    69.350,    0.083,    1.268
31.3,    0.77,    -0.0032,    0.0000,    0.0048,    36.539,    0.044,    -0.004
