# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.0947,    0.0385,    4137.889,    2.324,    109.119
1.7,    0.02,    0.0456,    0.0935,    0.0377,    4048.405,    2.274,    107.647
3.4,    0.04,    0.0917,    0.0919,    0.0369,    3961.903,    2.226,    105.854
5.1,    0.06,    0.1368,    0.0901,    0.0364,    3905.230,    2.194,    103.733
6.9,    0.07,    0.1806,    0.0881,    0.0359,    3856.760,    2.166,    101.455
8.6,    0.09,    0.2228,    0.0860,    0.0355,    3814.255,    2.142,    99.031
10.3,    0.11,    0.2636,    0.0838,    0.0351,    3771.004,    2.118,    96.518
12.0,    0.13,    0.3027,    0.0815,    0.0347,    3725.517,    2.093,    93.866
13.7,    0.15,    0.3403,    0.0791,    0.0342,    3674.809,    2.064,    91.082
15.5,    0.17,    0.3763,    0.0765,    0.0337,    3618.881,    2.033,    88.142
17.2,    0.18,    0.4105,    0.0738,    0.0331,    3554.751,    1.997,    85.023
18.9,    0.20,    0.4427,    0.0710,    0.0325,    3486.893,    1.959,    81.763
20.6,    0.22,    0.4727,    0.0681,    0.0318,    3415.305,    1.918,    78.382
22.3,    0.24,    0.5008,    0.0650,    0.0311,    3337.007,    1.874,    74.899
24.1,    0.26,    0.5264,    0.0619,    0.0303,    3254.980,    1.828,    71.314
25.7,    0.28,    0.5496,    0.0588,    0.0295,    3171.462,    1.782,    67.706
27.4,    0.29,    0.5709,    0.0556,    0.0287,    3080.486,    1.730,    64.028
29.2,    0.31,    0.5898,    0.0523,    0.0278,    2980.562,    1.674,    60.247
30.9,    0.33,    0.6060,    0.0489,    0.0267,    2869.453,    1.612,    56.288
32.6,    0.35,    0.6188,    0.0452,    0.0256,    2742.684,    1.541,    52.044
34.3,    0.37,    0.6275,    0.0413,    0.0242,    2601.747,    1.462,    47.565
36.0,    0.39,    0.6307,    0.0372,    0.0228,    2450.370,    1.376,    42.881
37.8,    0.41,    0.6274,    0.0329,    0.0213,    2284.079,    1.283,    37.943
39.5,    0.42,    0.6140,    0.0285,    0.0197,    2111.822,    1.186,    32.846
41.2,    0.44,    0.5889,    0.0241,    0.0181,    1938.820,    1.089,    27.721
42.9,    0.46,    0.5491,    0.0195,    0.0163,    1750.903,    0.984,    22.406
44.6,    0.48,    0.4877,    0.0147,    0.0145,    1552.547,    0.872,    16.966
46.4,    0.50,    0.3917,    0.0099,    0.0126,    1348.971,    0.758,    11.405
48.1,    0.52,    0.2402,    0.0050,    0.0107,    1146.886,    0.644,    5.729
49.8,    0.53,    -0.0037,    -0.0001,    0.0091,    975.375,    0.548,    -0.071
