# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.1049,    0.0721,    4324.314,    2.949,    81.967
1.8,    0.02,    0.0368,    0.1046,    0.0684,    4098.366,    2.796,    81.723
3.7,    0.05,    0.0777,    0.1042,    0.0645,    3864.217,    2.635,    81.425
5.5,    0.07,    0.1236,    0.1038,    0.0606,    3630.067,    2.476,    81.073
7.4,    0.10,    0.1748,    0.1030,    0.0566,    3394.426,    2.315,    80.428
9.2,    0.12,    0.2298,    0.1011,    0.0528,    3167.733,    2.161,    78.960
11.1,    0.14,    0.2904,    0.0986,    0.0490,    2935.075,    2.002,    77.025
12.9,    0.17,    0.3510,    0.0960,    0.0460,    2756.852,    1.881,    74.948
14.8,    0.19,    0.4040,    0.0931,    0.0443,    2656.929,    1.812,    72.751
16.6,    0.22,    0.4540,    0.0901,    0.0429,    2573.410,    1.755,    70.380
18.5,    0.24,    0.5012,    0.0869,    0.0416,    2496.603,    1.703,    67.844
20.3,    0.26,    0.5458,    0.0834,    0.0404,    2421.287,    1.652,    65.144
22.1,    0.29,    0.5871,    0.0797,    0.0392,    2348.209,    1.602,    62.293
24.0,    0.31,    0.6247,    0.0759,    0.0380,    2276.622,    1.553,    59.321
25.8,    0.34,    0.6583,    0.0720,    0.0368,    2205.780,    1.504,    56.230
27.7,    0.36,    0.6884,    0.0679,    0.0355,    2130.465,    1.453,    53.014
29.5,    0.38,    0.7157,    0.0637,    0.0342,    2051.420,    1.399,    49.753
31.3,    0.41,    0.7408,    0.0594,    0.0328,    1964.173,    1.340,    46.408
33.2,    0.43,    0.7639,    0.0550,    0.0312,    1867.978,    1.274,    42.988
35.0,    0.46,    0.7848,    0.0506,    0.0294,    1762.834,    1.203,    39.487
36.9,    0.48,    0.8034,    0.0460,    0.0275,    1648.742,    1.124,    35.902
38.7,    0.50,    0.8190,    0.0413,    0.0254,    1524.956,    1.040,    32.250
40.6,    0.53,    0.8309,    0.0365,    0.0232,    1392.967,    0.950,    28.518
42.4,    0.55,    0.8384,    0.0316,    0.0209,    1249.793,    0.853,    24.705
44.3,    0.58,    0.8391,    0.0266,    0.0183,    1096.925,    0.748,    20.800
46.1,    0.60,    0.8288,    0.0215,    0.0156,    935.853,    0.638,    16.823
48.0,    0.62,    0.7984,    0.0163,    0.0128,    765.834,    0.522,    12.749
49.8,    0.65,    0.7306,    0.0110,    0.0097,    583.883,    0.398,    8.572
51.6,    0.67,    0.5591,    0.0055,    0.0067,    398.949,    0.272,    4.324
53.5,    0.70,    -0.0074,    0.0000,    0.0038,    228.184,    0.156,    -0.031
