# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.0937,    0.0925,    768.071,    1.223,    21.120
1.6,    0.04,    0.0450,    0.0940,    0.0919,    762.851,    1.214,    21.187
3.3,    0.09,    0.0908,    0.0943,    0.0914,    759.122,    1.208,    21.258
4.9,    0.13,    0.1374,    0.0946,    0.0909,    754.648,    1.201,    21.329
6.5,    0.18,    0.1848,    0.0949,    0.0904,    750.920,    1.195,    21.400
8.1,    0.22,    0.2328,    0.0952,    0.0900,    747.937,    1.190,    21.472
9.7,    0.26,    0.2813,    0.0955,    0.0897,    744.954,    1.185,    21.538
11.4,    0.31,    0.3306,    0.0957,    0.0892,    741.226,    1.180,    21.592
13.0,    0.35,    0.3803,    0.0959,    0.0888,    737.497,    1.174,    21.632
14.6,    0.40,    0.4305,    0.0960,    0.0884,    733.769,    1.168,    21.654
16.2,    0.44,    0.4810,    0.0960,    0.0879,    730.040,    1.161,    21.649
17.8,    0.48,    0.5318,    0.0958,    0.0873,    724.820,    1.153,    21.614
19.4,    0.53,    0.5826,    0.0955,    0.0865,    718.855,    1.144,    21.525
21.1,    0.57,    0.6331,    0.0948,    0.0857,    711.398,    1.132,    21.374
22.7,    0.62,    0.6825,    0.0936,    0.0845,    701.704,    1.117,    21.102
24.3,    0.66,    0.7297,    0.0915,    0.0827,    687.535,    1.094,    20.622
25.9,    0.70,    0.7719,    0.0883,    0.0806,    668.893,    1.065,    19.915
27.5,    0.75,    0.8073,    0.0841,    0.0780,    647.267,    1.030,    18.967
29.2,    0.79,    0.8355,    0.0789,    0.0748,    621.168,    0.989,    17.784
30.8,    0.84,    0.8571,    0.0726,    0.0709,    588.357,    0.937,    16.378
32.4,    0.88,    0.8732,    0.0658,    0.0663,    551.072,    0.877,    14.835
34.0,    0.92,    0.8861,    0.0589,    0.0614,    510.059,    0.812,    13.282
35.7,    0.97,    0.8967,    0.0519,    0.0561,    465.317,    0.741,    11.708
37.3,    1.01,    0.9044,    0.0448,    0.0502,    416.846,    0.663,    10.102
38.9,    1.06,    0.9077,    0.0376,    0.0438,    363.156,    0.578,    8.478
40.5,    1.10,    0.9049,    0.0304,    0.0369,    306.483,    0.488,    6.846
42.2,    1.14,    0.8919,    0.0229,    0.0294,    244.590,    0.389,    5.173
43.8,    1.19,    0.8508,    0.0154,    0.0215,    178.968,    0.284,    3.474
45.4,    1.23,    0.7204,    0.0078,    0.0133,    110.364,    0.175,    1.748
47.0,    1.28,    0.0008,    0.0000,    0.0049,    40.268,    0.064,    0.000
