# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.1923,    0.2062,    12099.726,    10.504,    162.596
2.3,    0.03,    0.0323,    0.1922,    0.2000,    11731.350,    10.184,    162.462
4.6,    0.07,    0.0667,    0.1919,    0.1934,    11347.315,    9.851,    162.253
7.0,    0.10,    0.1035,    0.1916,    0.1866,    10949.111,    9.505,    161.955
9.3,    0.13,    0.1431,    0.1911,    0.1796,    10534.502,    9.145,    161.559
11.7,    0.17,    0.1856,    0.1905,    0.1725,    10119.893,    8.785,    161.079
14.0,    0.20,    0.2319,    0.1898,    0.1651,    9687.387,    8.410,    160.478
16.3,    0.24,    0.2822,    0.1890,    0.1576,    9245.187,    8.026,    159.762
18.6,    0.27,    0.3370,    0.1880,    0.1500,    8799.258,    7.639,    158.913
21.0,    0.30,    0.3968,    0.1867,    0.1424,    8353.330,    7.252,    157.876
23.3,    0.34,    0.4570,    0.1825,    0.1342,    7873.845,    6.835,    154.273
25.7,    0.37,    0.5193,    0.1765,    0.1257,    7373.480,    6.401,    149.233
28.0,    0.40,    0.5698,    0.1697,    0.1202,    7049.847,    6.120,    143.513
30.3,    0.44,    0.6129,    0.1621,    0.1156,    6779.903,    5.885,    137.014
32.7,    0.47,    0.6499,    0.1535,    0.1111,    6519.654,    5.660,    129.746
35.0,    0.50,    0.6821,    0.1447,    0.1070,    6275.064,    5.448,    122.344
37.3,    0.54,    0.7114,    0.1359,    0.1027,    6027.492,    5.232,    114.884
39.7,    0.57,    0.7383,    0.1268,    0.0982,    5759.040,    4.999,    107.220
42.0,    0.61,    0.7633,    0.1175,    0.0932,    5466.726,    4.745,    99.373
44.3,    0.64,    0.7865,    0.1080,    0.0877,    5146.075,    4.467,    91.322
46.7,    0.67,    0.8077,    0.0983,    0.0818,    4799.324,    4.166,    83.093
49.0,    0.71,    0.8268,    0.0883,    0.0754,    4424.983,    3.841,    74.686
51.3,    0.74,    0.8430,    0.0782,    0.0686,    4022.305,    3.492,    66.078
53.6,    0.77,    0.8549,    0.0677,    0.0612,    3592.782,    3.119,    57.244
56.0,    0.81,    0.8607,    0.0570,    0.0535,    3137.159,    2.723,    48.232
58.3,    0.84,    0.8570,    0.0461,    0.0452,    2650.963,    2.302,    38.962
60.7,    0.87,    0.8349,    0.0349,    0.0365,    2143.887,    1.861,    29.510
63.0,    0.91,    0.7731,    0.0236,    0.0277,    1623.389,    1.409,    19.932
65.3,    0.94,    0.6011,    0.0119,    0.0187,    1095.433,    0.951,    10.080
67.6,    0.97,    -0.0045,    0.0000,    0.0100,    586.120,    0.509,    -0.040
