# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.1564,    0.0781,    227.438,    0.543,    17.949
1.0,    0.04,    0.0735,    0.1565,    0.0806,    234.895,    0.561,    17.962
1.9,    0.08,    0.1425,    0.1566,    0.0832,    242.352,    0.579,    17.975
2.9,    0.11,    0.2070,    0.1567,    0.0860,    250.555,    0.598,    17.989
3.8,    0.15,    0.2673,    0.1568,    0.0888,    258.758,    0.618,    17.998
4.8,    0.19,    0.3234,    0.1568,    0.0918,    267.706,    0.639,    18.002
5.8,    0.23,    0.3749,    0.1569,    0.0950,    277.400,    0.661,    18.006
6.8,    0.26,    0.4224,    0.1569,    0.0984,    287.094,    0.685,    18.002
7.7,    0.30,    0.4665,    0.1567,    0.1017,    296.789,    0.708,    17.984
8.7,    0.34,    0.5077,    0.1563,    0.1048,    305.737,    0.730,    17.935
9.6,    0.38,    0.5465,    0.1551,    0.1074,    313.194,    0.748,    17.802
10.6,    0.42,    0.5833,    0.1529,    0.1091,    318.414,    0.760,    17.553
11.5,    0.45,    0.6180,    0.1496,    0.1100,    320.651,    0.765,    17.175
12.5,    0.49,    0.6506,    0.1451,    0.1098,    319.905,    0.764,    16.659
13.5,    0.53,    0.6810,    0.1393,    0.1084,    316.177,    0.754,    15.987
14.4,    0.57,    0.7097,    0.1316,    0.1053,    306.483,    0.732,    15.102
15.4,    0.61,    0.7357,    0.1234,    0.1015,    296.043,    0.707,    14.159
16.4,    0.64,    0.7593,    0.1150,    0.0974,    284.112,    0.678,    13.193
17.3,    0.68,    0.7805,    0.1064,    0.0928,    270.689,    0.646,    12.206
18.3,    0.72,    0.7991,    0.0976,    0.0878,    255.775,    0.611,    11.201
19.2,    0.76,    0.8144,    0.0886,    0.0824,    240.115,    0.573,    10.173
20.2,    0.79,    0.8259,    0.0795,    0.0765,    222.964,    0.532,    9.123
21.1,    0.83,    0.8337,    0.0701,    0.0700,    204.322,    0.488,    8.051
22.1,    0.87,    0.8349,    0.0606,    0.0632,    184.188,    0.440,    6.953
23.1,    0.91,    0.8265,    0.0509,    0.0559,    163.308,    0.389,    5.841
24.1,    0.95,    0.8068,    0.0409,    0.0480,    140.192,    0.334,    4.702
25.0,    0.98,    0.7640,    0.0309,    0.0398,    115.583,    0.277,    3.541
26.0,    1.02,    0.6751,    0.0206,    0.0312,    90.975,    0.217,    2.366
26.9,    1.06,    0.4932,    0.0105,    0.0226,    65.622,    0.157,    1.205
27.9,    1.10,    0.0172,    0.0002,    0.0141,    41.013,    0.098,    0.027
