# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.0903,    0.0299,    120.803,    0.288,    13.420
0.5,    0.02,    0.0592,    0.0886,    0.0299,    120.058,    0.287,    13.167
1.1,    0.04,    0.1160,    0.0868,    0.0299,    120.058,    0.287,    12.891
1.6,    0.06,    0.1705,    0.0848,    0.0298,    120.058,    0.286,    12.602
2.1,    0.08,    0.2225,    0.0828,    0.0297,    119.312,    0.285,    12.295
2.7,    0.10,    0.2720,    0.0806,    0.0296,    119.312,    0.284,    11.975
3.3,    0.12,    0.3189,    0.0783,    0.0294,    118.566,    0.283,    11.637
3.8,    0.14,    0.3633,    0.0759,    0.0292,    117.821,    0.281,    11.276
4.3,    0.16,    0.4051,    0.0734,    0.0289,    116.329,    0.278,    10.907
4.9,    0.18,    0.4442,    0.0708,    0.0286,    114.838,    0.275,    10.516
5.4,    0.20,    0.4808,    0.0680,    0.0282,    113.346,    0.271,    10.106
5.9,    0.22,    0.5148,    0.0652,    0.0278,    111.855,    0.267,    9.688
6.5,    0.24,    0.5464,    0.0623,    0.0273,    109.618,    0.262,    9.252
7.0,    0.26,    0.5755,    0.0593,    0.0267,    107.381,    0.257,    8.807
7.6,    0.28,    0.6018,    0.0562,    0.0261,    105.144,    0.251,    8.349
8.1,    0.30,    0.6255,    0.0530,    0.0254,    102.161,    0.244,    7.878
8.7,    0.32,    0.6468,    0.0498,    0.0246,    99.178,    0.236,    7.397
9.2,    0.34,    0.6656,    0.0464,    0.0237,    95.450,    0.227,    6.899
9.7,    0.36,    0.6814,    0.0430,    0.0227,    90.975,    0.218,    6.388
10.3,    0.38,    0.6935,    0.0395,    0.0216,    87.247,    0.208,    5.867
10.8,    0.40,    0.7021,    0.0359,    0.0204,    82.027,    0.196,    5.329
11.4,    0.42,    0.7068,    0.0322,    0.0191,    76.807,    0.183,    4.782
11.9,    0.44,    0.7063,    0.0284,    0.0177,    70.841,    0.170,    4.221
12.4,    0.46,    0.6989,    0.0245,    0.0161,    64.876,    0.155,    3.648
13.0,    0.48,    0.6808,    0.0206,    0.0145,    58.165,    0.139,    3.060
13.5,    0.50,    0.6466,    0.0166,    0.0128,    51.453,    0.123,    2.464
14.1,    0.52,    0.5879,    0.0125,    0.0111,    44.742,    0.106,    1.859
14.6,    0.54,    0.4888,    0.0084,    0.0093,    37.285,    0.089,    1.246
15.2,    0.56,    0.3162,    0.0042,    0.0074,    29.828,    0.071,    0.623
15.7,    0.58,    -0.0042,    0.0000,    0.0056,    22.371,    0.054,    -0.004
