# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.0903,    0.0425,    2671.097,    2.551,    83.867
1.5,    0.02,    0.0460,    0.0890,    0.0416,    2618.898,    2.501,    82.630
2.9,    0.04,    0.0937,    0.0876,    0.0402,    2530.905,    2.417,    81.309
4.4,    0.06,    0.1428,    0.0860,    0.0389,    2447.387,    2.337,    79.863
5.9,    0.09,    0.1931,    0.0843,    0.0376,    2366.106,    2.259,    78.284
7.3,    0.11,    0.2440,    0.0825,    0.0364,    2289.299,    2.186,    76.585
8.8,    0.13,    0.2949,    0.0805,    0.0353,    2219.203,    2.119,    74.784
10.2,    0.15,    0.3456,    0.0785,    0.0342,    2152.836,    2.056,    72.857
11.7,    0.17,    0.3955,    0.0763,    0.0332,    2089.451,    1.995,    70.811
13.1,    0.19,    0.4437,    0.0739,    0.0323,    2030.541,    1.939,    68.636
14.6,    0.22,    0.4894,    0.0714,    0.0314,    1976.850,    1.888,    66.327
16.0,    0.24,    0.5323,    0.0688,    0.0306,    1925.397,    1.838,    63.872
17.5,    0.26,    0.5729,    0.0660,    0.0298,    1872.452,    1.788,    61.279
19.0,    0.28,    0.6101,    0.0630,    0.0289,    1819.508,    1.737,    58.530
20.4,    0.30,    0.6431,    0.0599,    0.0281,    1765.072,    1.686,    55.594
21.9,    0.32,    0.6724,    0.0565,    0.0272,    1707.653,    1.631,    52.489
23.3,    0.34,    0.6986,    0.0531,    0.0262,    1646.505,    1.572,    49.277
24.8,    0.37,    0.7229,    0.0495,    0.0251,    1577.155,    1.506,    45.986
26.2,    0.39,    0.7451,    0.0459,    0.0239,    1501.840,    1.434,    42.614
27.7,    0.41,    0.7630,    0.0422,    0.0226,    1422.795,    1.358,    39.158
29.2,    0.43,    0.7765,    0.0384,    0.0213,    1338.531,    1.278,    35.626
30.6,    0.45,    0.7869,    0.0345,    0.0198,    1246.064,    1.190,    32.014
32.1,    0.47,    0.7933,    0.0305,    0.0182,    1145.395,    1.094,    28.317
33.5,    0.50,    0.7945,    0.0264,    0.0165,    1036.523,    0.990,    24.541
35.0,    0.52,    0.7886,    0.0223,    0.0146,    917.957,    0.876,    20.675
36.5,    0.54,    0.7718,    0.0180,    0.0126,    790.442,    0.755,    16.725
37.9,    0.56,    0.7360,    0.0137,    0.0104,    653.979,    0.624,    12.686
39.4,    0.58,    0.6601,    0.0092,    0.0081,    510.804,    0.488,    8.558
40.9,    0.60,    0.4823,    0.0047,    0.0058,    366.884,    0.350,    4.328
42.3,    0.62,    0.0001,    0.0000,    0.0038,    241.607,    0.231,    0.000
