# V,       J,     eta_p,        CT,        CP,          P,        Q,         T
0.0,    0.00,    0.0000,    0.0985,    0.0808,    6781.395,    6.475,    115.262
2.3,    0.03,    0.0396,    0.0986,    0.0794,    6666.557,    6.366,    115.347
4.6,    0.06,    0.0807,    0.0987,    0.0780,    6545.008,    6.250,    115.396
6.9,    0.10,    0.1235,    0.0987,    0.0764,    6414.510,    6.126,    115.396
9.2,    0.13,    0.1681,    0.0986,    0.0748,    6281.030,    5.998,    115.360
11.4,    0.16,    0.2147,    0.0986,    0.0732,    6143.821,    5.867,    115.271
13.7,    0.19,    0.2633,    0.0984,    0.0715,    6004.375,    5.734,    115.129
16.0,    0.22,    0.3140,    0.0983,    0.0699,    5862.692,    5.599,    114.929
18.3,    0.26,    0.3667,    0.0980,    0.0682,    5723.992,    5.466,    114.657
20.6,    0.29,    0.4214,    0.0977,    0.0666,    5586.038,    5.334,    114.306
22.9,    0.32,    0.4778,    0.0974,    0.0650,    5454.049,    5.209,    113.874
25.2,    0.35,    0.5355,    0.0969,    0.0635,    5328.026,    5.088,    113.345
27.4,    0.38,    0.5917,    0.0948,    0.0613,    5148.312,    4.916,    110.934
29.7,    0.41,    0.6464,    0.0913,    0.0585,    4912.671,    4.691,    106.748
32.1,    0.45,    0.6863,    0.0873,    0.0568,    4768.751,    4.554,    102.153
34.3,    0.48,    0.7210,    0.0830,    0.0551,    4621.102,    4.413,    97.056
36.6,    0.51,    0.7523,    0.0782,    0.0531,    4453.320,    4.253,    91.500
38.9,    0.54,    0.7796,    0.0730,    0.0507,    4258.692,    4.067,    85.344
41.2,    0.57,    0.8029,    0.0675,    0.0483,    4052.133,    3.869,    78.978
43.5,    0.61,    0.8238,    0.0620,    0.0456,    3826.932,    3.654,    72.502
45.8,    0.64,    0.8425,    0.0563,    0.0427,    3580.105,    3.418,    65.892
48.1,    0.67,    0.8591,    0.0505,    0.0394,    3307.179,    3.158,    59.121
50.3,    0.70,    0.8737,    0.0446,    0.0359,    3008.899,    2.873,    52.222
52.6,    0.73,    0.8853,    0.0386,    0.0320,    2686.757,    2.565,    45.189
54.9,    0.77,    0.8926,    0.0325,    0.0279,    2338.515,    2.233,    38.010
57.2,    0.80,    0.8936,    0.0262,    0.0234,    1962.682,    1.874,    30.662
59.5,    0.83,    0.8841,    0.0198,    0.0186,    1562.241,    1.492,    23.215
61.8,    0.86,    0.8539,    0.0133,    0.0135,    1129.735,    1.079,    15.609
64.1,    0.89,    0.7531,    0.0067,    0.0080,    671.130,    0.641,    7.891
66.4,    0.92,    -0.0045,    0.0000,    0.0032,    265.469,    0.254,    -0.018
