# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.1256,    0.1417,    2568.936,    4.089,    52.867
1.4,    0.03,    0.0297,    0.1254,    0.1358,    2462.301,    3.919,    52.814
2.8,    0.06,    0.0620,    0.1252,    0.1297,    2351.937,    3.743,    52.720
4.2,    0.10,    0.0975,    0.1249,    0.1234,    2237.845,    3.561,    52.578
5.5,    0.13,    0.1368,    0.1244,    0.1169,    2118.533,    3.372,    52.369
6.9,    0.16,    0.1804,    0.1237,    0.1102,    1997.730,    3.180,    52.089
8.3,    0.19,    0.2288,    0.1228,    0.1035,    1876.181,    2.986,    51.706
9.7,    0.22,    0.2827,    0.1215,    0.0967,    1753.140,    2.790,    51.155
11.1,    0.26,    0.3413,    0.1195,    0.0900,    1632.337,    2.598,    50.327
12.5,    0.29,    0.4044,    0.1169,    0.0837,    1516.754,    2.414,    49.237
13.9,    0.32,    0.4679,    0.1138,    0.0782,    1417.575,    2.256,    47.921
15.2,    0.35,    0.5290,    0.1102,    0.0736,    1334.803,    2.124,    46.386
16.6,    0.39,    0.5859,    0.1060,    0.0698,    1265.453,    2.014,    44.647
18.0,    0.42,    0.6369,    0.1014,    0.0665,    1205.797,    1.919,    42.681
19.4,    0.45,    0.6806,    0.0962,    0.0636,    1153.598,    1.836,    40.514
20.7,    0.48,    0.7161,    0.0906,    0.0610,    1106.619,    1.761,    38.166
22.1,    0.51,    0.7447,    0.0849,    0.0586,    1062.622,    1.692,    35.750
23.5,    0.55,    0.7694,    0.0791,    0.0562,    1018.626,    1.621,    33.322
24.9,    0.58,    0.7921,    0.0732,    0.0535,    969.410,    1.543,    30.826
26.3,    0.61,    0.8127,    0.0671,    0.0505,    914.974,    1.456,    28.273
27.7,    0.64,    0.8312,    0.0610,    0.0472,    854.572,    1.360,    25.675
29.1,    0.67,    0.8475,    0.0546,    0.0435,    788.950,    1.256,    23.011
30.4,    0.71,    0.8609,    0.0482,    0.0396,    717.363,    1.142,    20.288
31.8,    0.74,    0.8699,    0.0416,    0.0354,    641.302,    1.020,    17.517
33.2,    0.77,    0.8731,    0.0349,    0.0308,    559.275,    0.890,    14.697
34.6,    0.80,    0.8662,    0.0281,    0.0260,    472.028,    0.751,    11.814
36.0,    0.84,    0.8393,    0.0211,    0.0210,    381.798,    0.607,    8.901
37.4,    0.87,    0.7734,    0.0142,    0.0159,    288.586,    0.459,    5.970
38.8,    0.90,    0.5893,    0.0071,    0.0108,    196.119,    0.313,    2.985
40.1,    0.93,    -0.0039,    0.0000,    0.0061,    110.364,    0.176,    -0.009
