# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.0984,    0.0508,    2947.752,    4.021,    98.782
1.6,    0.03,    0.0539,    0.0984,    0.0506,    2937.312,    4.007,    98.768
3.2,    0.06,    0.1082,    0.0983,    0.0504,    2926.126,    3.992,    98.724
4.8,    0.08,    0.1628,    0.0983,    0.0502,    2914.941,    3.976,    98.639
6.4,    0.11,    0.2178,    0.0981,    0.0500,    2901.518,    3.959,    98.488
8.0,    0.14,    0.2728,    0.0978,    0.0498,    2888.096,    3.940,    98.221
9.6,    0.17,    0.3276,    0.0972,    0.0494,    2867.962,    3.913,    97.625
11.2,    0.19,    0.3817,    0.0960,    0.0489,    2835.151,    3.868,    96.393
12.8,    0.22,    0.4349,    0.0943,    0.0482,    2794.137,    3.811,    94.680
14.4,    0.25,    0.4851,    0.0922,    0.0475,    2754.615,    3.758,    92.554
16.0,    0.28,    0.5317,    0.0897,    0.0468,    2716.585,    3.706,    90.063
17.7,    0.31,    0.5751,    0.0869,    0.0461,    2674.825,    3.649,    87.194
19.3,    0.33,    0.6154,    0.0836,    0.0453,    2625.609,    3.582,    83.947
20.8,    0.36,    0.6525,    0.0800,    0.0442,    2566.699,    3.501,    80.317
22.4,    0.39,    0.6860,    0.0760,    0.0431,    2498.095,    3.408,    76.305
24.1,    0.42,    0.7160,    0.0716,    0.0416,    2416.068,    3.295,    71.892
25.7,    0.44,    0.7429,    0.0671,    0.0401,    2328.075,    3.176,    67.395
27.3,    0.47,    0.7675,    0.0625,    0.0385,    2231.134,    3.043,    62.791
28.9,    0.50,    0.7897,    0.0579,    0.0366,    2123.753,    2.897,    58.085
30.5,    0.53,    0.8096,    0.0531,    0.0346,    2005.187,    2.736,    53.272
32.1,    0.56,    0.8275,    0.0482,    0.0323,    1873.944,    2.557,    48.339
33.7,    0.58,    0.8432,    0.0431,    0.0298,    1729.278,    2.359,    43.281
35.3,    0.61,    0.8548,    0.0380,    0.0271,    1574.918,    2.148,    38.139
36.9,    0.64,    0.8610,    0.0328,    0.0243,    1409.373,    1.922,    32.890
38.5,    0.67,    0.8596,    0.0274,    0.0213,    1233.388,    1.682,    27.534
40.1,    0.69,    0.8461,    0.0220,    0.0181,    1048.454,    1.430,    22.121
41.7,    0.72,    0.8124,    0.0166,    0.0147,    855.318,    1.167,    16.659
43.3,    0.75,    0.7383,    0.0111,    0.0113,    656.216,    0.895,    11.187
44.9,    0.78,    0.5534,    0.0056,    0.0079,    456.368,    0.623,    5.627
46.5,    0.81,    -0.0018,    0.0000,    0.0046,    266.961,    0.364,    -0.009
