# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.0992,    0.0884,    4146.091,    6.599,    89.414
1.6,    0.03,    0.0347,    0.0992,    0.0853,    4000.680,    6.367,    89.334
3.1,    0.06,    0.0721,    0.0990,    0.0820,    3847.811,    6.124,    89.200
4.6,    0.09,    0.1126,    0.0988,    0.0786,    3688.977,    5.871,    89.013
6.2,    0.12,    0.1566,    0.0985,    0.0752,    3526.415,    5.612,    88.760
7.8,    0.15,    0.2047,    0.0982,    0.0716,    3358.632,    5.345,    88.431
9.3,    0.18,    0.2575,    0.0976,    0.0680,    3187.867,    5.074,    87.972
10.9,    0.21,    0.3153,    0.0969,    0.0642,    3014.119,    4.797,    87.279
12.4,    0.24,    0.3774,    0.0955,    0.0605,    2838.134,    4.517,    86.082
14.0,    0.27,    0.4425,    0.0935,    0.0568,    2662.894,    4.239,    84.200
15.6,    0.30,    0.5063,    0.0907,    0.0535,    2510.771,    3.996,    81.749
17.1,    0.33,    0.5624,    0.0876,    0.0512,    2401.899,    3.822,    78.951
18.6,    0.36,    0.6108,    0.0842,    0.0494,    2317.635,    3.689,    75.869
20.2,    0.39,    0.6540,    0.0805,    0.0478,    2243.065,    3.570,    72.568
21.8,    0.42,    0.6928,    0.0766,    0.0463,    2169.987,    3.454,    69.045
23.3,    0.45,    0.7271,    0.0725,    0.0446,    2094.671,    3.334,    65.282
24.9,    0.48,    0.7566,    0.0679,    0.0429,    2013.390,    3.204,    61.212
26.4,    0.51,    0.7812,    0.0633,    0.0411,    1929.871,    3.071,    57.013
28.0,    0.54,    0.8030,    0.0586,    0.0392,    1839.642,    2.928,    52.760
29.5,    0.57,    0.8225,    0.0537,    0.0371,    1738.972,    2.768,    48.410
31.1,    0.60,    0.8400,    0.0488,    0.0347,    1627.863,    2.591,    43.962
32.7,    0.63,    0.8553,    0.0438,    0.0321,    1504.822,    2.396,    39.416
34.2,    0.66,    0.8673,    0.0386,    0.0293,    1372.833,    2.185,    34.798
35.8,    0.69,    0.8759,    0.0334,    0.0262,    1228.913,    1.956,    30.088
37.3,    0.72,    0.8800,    0.0281,    0.0229,    1072.316,    1.707,    25.288
38.9,    0.75,    0.8764,    0.0226,    0.0193,    905.280,    1.440,    20.400
40.5,    0.78,    0.8592,    0.0171,    0.0155,    725.566,    1.155,    15.422
42.0,    0.81,    0.8175,    0.0115,    0.0113,    531.684,    0.846,    10.347
43.5,    0.84,    0.6996,    0.0058,    0.0069,    323.634,    0.515,    5.200
45.1,    0.87,    -0.0013,    0.0000,    0.0035,    166.291,    0.264,    -0.004
