# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.1076,    0.1667,    2432.473,    5.807,    44.802
1.5,    0.04,    0.0282,    0.1081,    0.1623,    2367.597,    5.652,    45.016
3.0,    0.08,    0.0582,    0.1086,    0.1577,    2301.976,    5.495,    45.221
4.4,    0.13,    0.0903,    0.1091,    0.1531,    2234.117,    5.333,    45.399
5.9,    0.17,    0.1247,    0.1094,    0.1483,    2163.275,    5.165,    45.545
7.4,    0.21,    0.1617,    0.1097,    0.1433,    2090.197,    4.991,    45.648
8.9,    0.25,    0.2015,    0.1098,    0.1381,    2015.627,    4.811,    45.701
10.4,    0.30,    0.2443,    0.1098,    0.1329,    1938.820,    4.628,    45.697
11.8,    0.34,    0.2907,    0.1096,    0.1274,    1859.030,    4.439,    45.625
13.3,    0.38,    0.3408,    0.1092,    0.1218,    1777.748,    4.244,    45.470
14.8,    0.42,    0.3954,    0.1086,    0.1161,    1693.484,    4.043,    45.221
16.3,    0.46,    0.4541,    0.1078,    0.1103,    1609.220,    3.842,    44.869
17.7,    0.51,    0.5181,    0.1066,    0.1043,    1521.973,    3.634,    44.389
19.3,    0.55,    0.5876,    0.1051,    0.0982,    1433.235,    3.421,    43.744
20.7,    0.59,    0.6609,    0.1025,    0.0918,    1338.531,    3.196,    42.681
22.2,    0.63,    0.7323,    0.0980,    0.0848,    1237.116,    2.954,    40.799
23.7,    0.68,    0.7836,    0.0924,    0.0797,    1162.546,    2.776,    38.464
25.2,    0.72,    0.8168,    0.0862,    0.0758,    1105.873,    2.641,    35.897
26.6,    0.76,    0.8410,    0.0797,    0.0721,    1051.437,    2.510,    33.179
28.1,    0.80,    0.8601,    0.0728,    0.0679,    991.035,    2.365,    30.288
29.6,    0.84,    0.8757,    0.0660,    0.0637,    929.142,    2.217,    27.463
31.1,    0.89,    0.8895,    0.0591,    0.0589,    859.792,    2.053,    24.599
32.6,    0.93,    0.9014,    0.0521,    0.0537,    783.731,    1.870,    21.681
34.1,    0.97,    0.9111,    0.0449,    0.0479,    699.466,    1.669,    18.709
35.5,    1.01,    0.9173,    0.0377,    0.0417,    608.491,    1.452,    15.702
37.0,    1.06,    0.9196,    0.0304,    0.0349,    509.313,    1.216,    12.655
38.5,    1.10,    0.9118,    0.0230,    0.0277,    404.169,    0.964,    9.568
40.0,    1.14,    0.8814,    0.0154,    0.0200,    290.823,    0.695,    6.419
41.4,    1.18,    0.7855,    0.0077,    0.0116,    170.020,    0.406,    3.221
43.0,    1.23,    0.0013,    0.0000,    0.0039,    57.419,    0.137,    0.000
