# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.0913,    0.0564,    10826.816,    10.339,    207.091
3.0,    0.04,    0.0571,    0.0914,    0.0570,    10933.452,    10.441,    207.252
6.0,    0.07,    0.1129,    0.0915,    0.0576,    11060.220,    10.561,    207.421
9.0,    0.11,    0.1676,    0.0916,    0.0583,    11190.718,    10.686,    207.599
12.0,    0.14,    0.2209,    0.0916,    0.0590,    11327.181,    10.816,    207.781
15.1,    0.18,    0.2725,    0.0917,    0.0599,    11490.489,    10.972,    207.985
18.1,    0.21,    0.3226,    0.0918,    0.0607,    11657.526,    11.132,    208.199
21.1,    0.25,    0.3715,    0.0919,    0.0616,    11825.309,    11.292,    208.413
24.1,    0.28,    0.4184,    0.0920,    0.0626,    12012.479,    11.471,    208.639
27.1,    0.32,    0.4628,    0.0921,    0.0637,    12232.461,    11.681,    208.902
30.1,    0.36,    0.4963,    0.0924,    0.0662,    12703.743,    12.131,    209.391
33.1,    0.39,    0.5321,    0.0925,    0.0680,    13060.188,    12.471,    209.791
36.1,    0.43,    0.5647,    0.0927,    0.0701,    13450.934,    12.845,    210.232
39.2,    0.46,    0.6065,    0.0928,    0.0707,    13576.958,    12.965,    210.348
42.2,    0.50,    0.6467,    0.0926,    0.0713,    13685.084,    13.068,    209.947
45.2,    0.53,    0.6877,    0.0903,    0.0700,    13440.494,    12.835,    204.649
48.2,    0.57,    0.7279,    0.0869,    0.0680,    13043.782,    12.456,    197.083
51.2,    0.60,    0.7659,    0.0815,    0.0643,    12343.570,    11.787,    184.686
54.2,    0.64,    0.8013,    0.0751,    0.0600,    11522.554,    11.003,    170.367
57.2,    0.68,    0.8348,    0.0685,    0.0555,    10647.848,    10.168,    155.372
66.3,    0.78,    0.9135,    0.0492,    0.0421,    8090.098,    7.726,    111.570
69.2,    0.82,    0.9340,    0.0426,    0.0373,    7157.973,    6.835,    96.540
72.3,    0.85,    0.9474,    0.0362,    0.0326,    6264.625,    5.982,    82.123
75.3,    0.89,    0.9571,    0.0296,    0.0275,    5276.572,    5.039,    67.093
78.3,    0.92,    0.9681,    0.0224,    0.0214,    4102.841,    3.918,    50.741
81.3,    0.96,    0.9605,    0.0151,    0.0151,    2900.773,    2.770,    34.274
84.3,    1.00,    0.8857,    0.0074,    0.0083,    1591.324,    1.519,    16.712
87.3,    1.03,    -0.1878,    -0.0004,    0.0024,    467.554,    0.447,    -1.005
