# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.1155,    0.1693,    7020.019,    11.172,    94.249
2.4,    0.05,    0.0332,    0.1161,    0.1661,    6885.047,    10.958,    94.720
4.8,    0.09,    0.0682,    0.1166,    0.1624,    6732.178,    10.715,    95.156
7.2,    0.14,    0.1053,    0.1171,    0.1584,    6569.616,    10.456,    95.543
9.7,    0.19,    0.1447,    0.1174,    0.1542,    6392.139,    10.173,    95.855
12.1,    0.24,    0.1867,    0.1177,    0.1497,    6207.206,    9.880,    96.086
14.5,    0.28,    0.2315,    0.1179,    0.1451,    6016.307,    9.576,    96.224
16.9,    0.33,    0.2792,    0.1179,    0.1404,    5820.933,    9.265,    96.251
19.3,    0.38,    0.3297,    0.1178,    0.1358,    5629.288,    8.959,    96.153
21.7,    0.43,    0.3828,    0.1175,    0.1312,    5442.118,    8.661,    95.930
24.1,    0.47,    0.4379,    0.1171,    0.1270,    5265.387,    8.380,    95.579
26.6,    0.52,    0.4953,    0.1165,    0.1229,    5094.622,    8.108,    95.090
29.0,    0.57,    0.5541,    0.1157,    0.1190,    4935.787,    7.856,    94.467
31.4,    0.62,    0.6132,    0.1148,    0.1156,    4791.867,    7.627,    93.693
33.8,    0.66,    0.6716,    0.1136,    0.1125,    4664.353,    7.423,    92.745
36.2,    0.71,    0.7279,    0.1122,    0.1098,    4551.752,    7.244,    91.553
38.6,    0.76,    0.7791,    0.1084,    0.1057,    4383.970,    6.977,    88.480
41.0,    0.81,    0.8178,    0.1021,    0.1008,    4177.411,    6.649,    83.302
43.4,    0.85,    0.8421,    0.0950,    0.0964,    3998.443,    6.364,    77.541
45.8,    0.90,    0.8626,    0.0872,    0.0912,    3779.953,    6.016,    71.136
48.2,    0.95,    0.8797,    0.0790,    0.0853,    3538.346,    5.632,    64.517
50.6,    1.00,    0.8950,    0.0709,    0.0790,    3273.622,    5.210,    57.827
53.1,    1.04,    0.9084,    0.0625,    0.0719,    2980.562,    4.744,    51.012
55.5,    1.09,    0.9202,    0.0540,    0.0641,    2656.929,    4.229,    44.064
57.9,    1.14,    0.9296,    0.0454,    0.0556,    2305.704,    3.670,    37.018
60.3,    1.19,    0.9349,    0.0366,    0.0465,    1926.888,    3.067,    29.870
62.7,    1.23,    0.9326,    0.0277,    0.0367,    1521.973,    2.422,    22.624
65.1,    1.28,    0.9135,    0.0186,    0.0261,    1083.502,    1.725,    15.195
67.5,    1.33,    0.8395,    0.0094,    0.0149,    615.948,    0.980,    7.655
70.0,    1.38,    -0.0020,    0.0000,    0.0044,    184.188,    0.293,    -0.004
