# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.1025,    0.0376,    6712.790,    7.123,    228.754
1.8,    0.02,    0.0609,    0.1013,    0.0378,    6756.041,    7.168,    226.036
3.6,    0.05,    0.1196,    0.0999,    0.0380,    6790.343,    7.205,    222.945
5.5,    0.07,    0.1761,    0.0983,    0.0381,    6804.511,    7.220,    219.351
7.3,    0.09,    0.2303,    0.0965,    0.0381,    6813.460,    7.229,    215.481
9.1,    0.11,    0.2824,    0.0946,    0.0381,    6806.748,    7.222,    211.188
10.9,    0.14,    0.3324,    0.0925,    0.0380,    6787.360,    7.202,    206.544
12.7,    0.16,    0.3804,    0.0902,    0.0378,    6747.838,    7.160,    201.447
14.6,    0.18,    0.4264,    0.0878,    0.0375,    6692.656,    7.101,    195.922
16.4,    0.20,    0.4699,    0.0851,    0.0371,    6627.035,    7.032,    190.050
18.2,    0.23,    0.5109,    0.0823,    0.0366,    6544.262,    6.943,    183.649
20.0,    0.25,    0.5494,    0.0793,    0.0361,    6450.304,    6.844,    176.955
21.9,    0.27,    0.5855,    0.0761,    0.0355,    6339.195,    6.726,    169.895
23.6,    0.30,    0.6194,    0.0728,    0.0348,    6208.697,    6.587,    162.471
25.5,    0.32,    0.6510,    0.0693,    0.0339,    6053.592,    6.423,    154.607
27.3,    0.34,    0.6805,    0.0655,    0.0328,    5865.675,    6.223,    146.155
29.1,    0.36,    0.7079,    0.0614,    0.0316,    5644.202,    5.989,    137.161
30.9,    0.39,    0.7333,    0.0573,    0.0302,    5398.867,    5.728,    127.918
32.8,    0.41,    0.7566,    0.0531,    0.0287,    5132.652,    5.446,    118.492
34.6,    0.43,    0.7774,    0.0488,    0.0271,    4842.575,    5.138,    108.844
36.4,    0.46,    0.7958,    0.0443,    0.0254,    4529.381,    4.806,    98.986
38.2,    0.48,    0.8110,    0.0398,    0.0235,    4192.325,    4.448,    88.920
40.1,    0.50,    0.8226,    0.0352,    0.0214,    3829.169,    4.063,    78.636
41.9,    0.52,    0.8293,    0.0305,    0.0193,    3439.168,    3.649,    68.116
43.7,    0.55,    0.8291,    0.0257,    0.0169,    3024.559,    3.209,    57.391
45.5,    0.57,    0.8187,    0.0208,    0.0145,    2583.104,    2.741,    46.466
47.3,    0.59,    0.7921,    0.0158,    0.0118,    2111.822,    2.240,    35.337
49.2,    0.61,    0.7309,    0.0107,    0.0090,    1606.238,    1.704,    23.883
51.0,    0.64,    0.5749,    0.0054,    0.0060,    1064.114,    1.129,    12.001
52.8,    0.66,    -0.0151,    -0.0001,    0.0029,    520.499,    0.552,    -0.151
