# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.1011,    0.0434,    10.440,    0.102,    2.785
0.3,    0.03,    0.0648,    0.1008,    0.0442,    11.185,    0.103,    2.776
0.5,    0.06,    0.1269,    0.1004,    0.0449,    11.185,    0.105,    2.767
0.8,    0.09,    0.1865,    0.0998,    0.0456,    11.185,    0.107,    2.749
1.0,    0.11,    0.2433,    0.0990,    0.0462,    11.185,    0.108,    2.727
1.3,    0.14,    0.2975,    0.0979,    0.0467,    11.185,    0.109,    2.696
1.5,    0.17,    0.3490,    0.0964,    0.0471,    11.185,    0.110,    2.656
1.8,    0.20,    0.3976,    0.0946,    0.0473,    11.931,    0.111,    2.607
2.0,    0.23,    0.4433,    0.0924,    0.0474,    11.931,    0.111,    2.549
2.3,    0.26,    0.4859,    0.0900,    0.0473,    11.931,    0.111,    2.478
2.5,    0.28,    0.5254,    0.0872,    0.0471,    11.185,    0.110,    2.402
2.8,    0.31,    0.5617,    0.0842,    0.0468,    11.185,    0.109,    2.322
3.0,    0.34,    0.5947,    0.0810,    0.0464,    11.185,    0.108,    2.233
3.3,    0.37,    0.6242,    0.0775,    0.0458,    11.185,    0.107,    2.135
3.5,    0.40,    0.6503,    0.0737,    0.0451,    11.185,    0.105,    2.033
3.8,    0.43,    0.6731,    0.0695,    0.0440,    10.440,    0.103,    1.917
4.0,    0.45,    0.6923,    0.0652,    0.0428,    10.440,    0.100,    1.797
4.3,    0.48,    0.7084,    0.0608,    0.0414,    10.440,    0.097,    1.677
4.6,    0.51,    0.7214,    0.0563,    0.0399,    9.694,    0.093,    1.552
4.8,    0.54,    0.7314,    0.0517,    0.0381,    9.694,    0.089,    1.423
5.1,    0.57,    0.7397,    0.0470,    0.0360,    8.948,    0.084,    1.294
5.3,    0.60,    0.7459,    0.0421,    0.0337,    8.203,    0.079,    1.161
5.5,    0.62,    0.7493,    0.0372,    0.0310,    7.457,    0.073,    1.028
5.8,    0.65,    0.7494,    0.0322,    0.0280,    6.711,    0.066,    0.885
6.0,    0.68,    0.7459,    0.0270,    0.0247,    5.966,    0.058,    0.743
6.3,    0.71,    0.7335,    0.0218,    0.0210,    5.220,    0.049,    0.601
6.6,    0.74,    0.7044,    0.0164,    0.0172,    4.474,    0.040,    0.454
6.8,    0.77,    0.6421,    0.0110,    0.0131,    2.983,    0.031,    0.302
7.1,    0.79,    0.4924,    0.0055,    0.0089,    2.237,    0.021,    0.151
7.3,    0.82,    -0.0010,    0.0000,    0.0053,    1.491,    0.012,    0.000
