# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.1200,    0.0731,    186.425,    0.068,    5.854
2.4,    0.05,    0.0736,    0.1203,    0.0750,    190.899,    0.070,    5.863
4.8,    0.09,    0.1437,    0.1205,    0.0770,    196.119,    0.072,    5.876
7.2,    0.14,    0.2101,    0.1207,    0.0791,    202.085,    0.074,    5.885
9.6,    0.18,    0.2727,    0.1210,    0.0814,    207.305,    0.076,    5.898
12.0,    0.23,    0.3318,    0.1213,    0.0839,    214.016,    0.079,    5.912
14.4,    0.28,    0.3872,    0.1216,    0.0865,    220.727,    0.081,    5.929
16.8,    0.32,    0.4392,    0.1219,    0.0892,    227.438,    0.083,    5.943
19.2,    0.37,    0.4876,    0.1222,    0.0920,    234.895,    0.086,    5.961
21.6,    0.41,    0.5328,    0.1224,    0.0949,    241.607,    0.089,    5.970
24.0,    0.46,    0.5751,    0.1224,    0.0977,    249.064,    0.092,    5.970
26.4,    0.50,    0.6143,    0.1221,    0.1003,    255.775,    0.094,    5.952
28.8,    0.55,    0.6506,    0.1213,    0.1027,    261.741,    0.096,    5.912
31.2,    0.60,    0.6840,    0.1198,    0.1045,    266.215,    0.098,    5.845
33.6,    0.64,    0.7144,    0.1178,    0.1060,    269.943,    0.099,    5.743
36.0,    0.69,    0.7420,    0.1150,    0.1068,    272.180,    0.100,    5.609
38.4,    0.73,    0.7667,    0.1113,    0.1066,    272.180,    0.100,    5.427
40.8,    0.78,    0.7897,    0.1048,    0.1036,    263.978,    0.097,    5.111
43.2,    0.83,    0.8097,    0.0970,    0.0989,    252.047,    0.093,    4.728
45.6,    0.87,    0.8269,    0.0888,    0.0936,    238.624,    0.088,    4.328
48.0,    0.92,    0.8412,    0.0804,    0.0877,    223.710,    0.082,    3.919
50.4,    0.96,    0.8530,    0.0718,    0.0812,    206.559,    0.076,    3.501
52.8,    1.01,    0.8623,    0.0631,    0.0739,    188.662,    0.069,    3.078
55.2,    1.06,    0.8693,    0.0542,    0.0658,    167.782,    0.062,    2.642
57.6,    1.10,    0.8742,    0.0451,    0.0568,    144.666,    0.053,    2.197
60.0,    1.15,    0.8745,    0.0360,    0.0472,    120.058,    0.044,    1.757
62.4,    1.19,    0.8668,    0.0270,    0.0372,    94.704,    0.035,    1.317
64.8,    1.24,    0.8402,    0.0179,    0.0265,    67.113,    0.025,    0.876
67.2,    1.29,    0.7483,    0.0088,    0.0151,    38.031,    0.014,    0.427
69.6,    1.33,    0.0044,    0.0000,    0.0063,    16.405,    0.006,    0.000
