# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.2774,    0.1856,    307.974,    0.098,    9.057
2.1,    0.04,    0.0605,    0.2773,    0.1902,    315.431,    0.100,    9.052
4.2,    0.08,    0.1179,    0.2771,    0.1949,    323.634,    0.103,    9.048
6.3,    0.12,    0.1724,    0.2768,    0.1997,    331.091,    0.105,    9.034
8.4,    0.17,    0.2240,    0.2763,    0.2046,    339.293,    0.108,    9.021
10.6,    0.21,    0.2729,    0.2756,    0.2094,    347.496,    0.111,    8.999
12.7,    0.25,    0.3191,    0.2747,    0.2142,    354.953,    0.113,    8.972
14.8,    0.29,    0.3627,    0.2733,    0.2187,    363.156,    0.115,    8.923
16.9,    0.33,    0.4040,    0.2711,    0.2226,    369.121,    0.118,    8.852
19.0,    0.37,    0.4433,    0.2675,    0.2252,    373.596,    0.119,    8.732
21.1,    0.41,    0.4813,    0.2609,    0.2248,    372.850,    0.119,    8.518
23.2,    0.46,    0.5186,    0.2500,    0.2199,    364.647,    0.116,    8.162
25.3,    0.50,    0.5535,    0.2388,    0.2147,    356.445,    0.113,    7.798
27.4,    0.54,    0.5862,    0.2274,    0.2091,    346.750,    0.110,    7.424
29.5,    0.58,    0.6171,    0.2156,    0.2028,    336.311,    0.107,    7.037
31.6,    0.62,    0.6465,    0.2034,    0.1957,    324.379,    0.103,    6.641
33.7,    0.66,    0.6735,    0.1909,    0.1881,    311.703,    0.099,    6.232
35.8,    0.70,    0.6983,    0.1781,    0.1798,    298.280,    0.095,    5.814
37.9,    0.75,    0.7206,    0.1649,    0.1708,    283.366,    0.090,    5.382
40.0,    0.79,    0.7399,    0.1514,    0.1612,    267.706,    0.085,    4.942
42.1,    0.83,    0.7554,    0.1375,    0.1510,    250.555,    0.080,    4.488
44.3,    0.87,    0.7668,    0.1233,    0.1400,    231.913,    0.074,    4.026
46.4,    0.91,    0.7726,    0.1088,    0.1284,    213.270,    0.068,    3.550
48.5,    0.95,    0.7697,    0.0939,    0.1163,    193.136,    0.061,    3.065
50.6,    1.00,    0.7552,    0.0788,    0.1038,    172.257,    0.055,    2.571
52.7,    1.04,    0.7275,    0.0637,    0.0908,    150.631,    0.048,    2.077
54.8,    1.08,    0.6669,    0.0479,    0.0775,    128.260,    0.041,    1.566
56.9,    1.12,    0.5623,    0.0321,    0.0639,    105.889,    0.034,    1.045
59.0,    1.16,    0.3764,    0.0164,    0.0506,    84.264,    0.027,    0.534
61.1,    1.20,    0.0300,    0.0009,    0.0380,    62.639,    0.020,    0.031
