# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.1907,    0.1169,    73.824,    0.047,    3.799
1.3,    0.04,    0.0636,    0.1900,    0.1190,    75.316,    0.048,    3.785
2.5,    0.08,    0.1244,    0.1891,    0.1211,    76.807,    0.049,    3.768
3.8,    0.12,    0.1825,    0.1881,    0.1233,    78.298,    0.050,    3.750
5.1,    0.16,    0.2378,    0.1869,    0.1253,    79.044,    0.051,    3.723
6.3,    0.20,    0.2903,    0.1855,    0.1274,    80.536,    0.051,    3.696
7.6,    0.24,    0.3401,    0.1839,    0.1293,    82.027,    0.052,    3.665
8.9,    0.28,    0.3873,    0.1819,    0.1310,    82.773,    0.053,    3.625
10.1,    0.32,    0.4319,    0.1796,    0.1326,    83.518,    0.053,    3.576
11.4,    0.36,    0.4739,    0.1768,    0.1338,    85.010,    0.054,    3.523
12.7,    0.40,    0.5134,    0.1734,    0.1346,    85.010,    0.054,    3.456
13.9,    0.44,    0.5504,    0.1694,    0.1349,    85.010,    0.054,    3.376
15.2,    0.48,    0.5851,    0.1647,    0.1346,    85.010,    0.054,    3.283
16.5,    0.52,    0.6173,    0.1592,    0.1336,    84.264,    0.054,    3.172
17.7,    0.56,    0.6473,    0.1527,    0.1316,    83.518,    0.053,    3.043
19.0,    0.60,    0.6751,    0.1452,    0.1286,    81.281,    0.052,    2.891
20.3,    0.64,    0.7008,    0.1365,    0.1242,    78.298,    0.050,    2.722
21.5,    0.68,    0.7240,    0.1277,    0.1195,    75.316,    0.048,    2.544
22.8,    0.72,    0.7448,    0.1186,    0.1142,    72.333,    0.046,    2.362
24.1,    0.76,    0.7635,    0.1092,    0.1083,    68.604,    0.044,    2.175
25.3,    0.80,    0.7799,    0.0995,    0.1017,    64.130,    0.041,    1.984
26.6,    0.84,    0.7940,    0.0895,    0.0943,    59.656,    0.038,    1.784
27.9,    0.88,    0.8056,    0.0792,    0.0862,    54.436,    0.035,    1.579
29.1,    0.92,    0.8141,    0.0687,    0.0773,    49.216,    0.031,    1.370
30.4,    0.96,    0.8184,    0.0578,    0.0675,    42.505,    0.027,    1.152
31.7,    1.00,    0.8162,    0.0466,    0.0569,    35.794,    0.023,    0.930
32.9,    1.04,    0.8000,    0.0352,    0.0456,    29.082,    0.018,    0.703
34.2,    1.08,    0.7538,    0.0236,    0.0337,    21.625,    0.014,    0.472
35.5,    1.12,    0.6210,    0.0119,    0.0213,    13.423,    0.009,    0.236
36.7,    1.16,    -0.0007,    0.0000,    0.0090,    5.966,    0.004,    0.000
