# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.0899,    0.0527,    105.144,    0.046,    3.857
1.1,    0.02,    0.0396,    0.0899,    0.0529,    105.889,    0.046,    3.852
2.2,    0.05,    0.0787,    0.0898,    0.0532,    105.889,    0.046,    3.852
3.3,    0.07,    0.1173,    0.0898,    0.0535,    106.635,    0.046,    3.848
4.3,    0.09,    0.1554,    0.0897,    0.0538,    107.381,    0.047,    3.848
5.4,    0.12,    0.1931,    0.0896,    0.0541,    108.126,    0.047,    3.843
6.5,    0.14,    0.2303,    0.0895,    0.0544,    108.872,    0.047,    3.839
7.6,    0.16,    0.2670,    0.0894,    0.0547,    108.872,    0.047,    3.834
8.7,    0.19,    0.3032,    0.0893,    0.0549,    109.618,    0.048,    3.825
9.8,    0.21,    0.3390,    0.0891,    0.0551,    110.364,    0.048,    3.817
10.9,    0.23,    0.3743,    0.0887,    0.0553,    110.364,    0.048,    3.803
11.9,    0.26,    0.4091,    0.0882,    0.0553,    110.364,    0.048,    3.781
13.0,    0.28,    0.4432,    0.0872,    0.0551,    109.618,    0.048,    3.737
14.1,    0.30,    0.4761,    0.0855,    0.0544,    108.872,    0.047,    3.661
15.2,    0.33,    0.5068,    0.0823,    0.0530,    105.889,    0.046,    3.527
16.3,    0.35,    0.5342,    0.0777,    0.0509,    101.415,    0.044,    3.332
17.4,    0.37,    0.5597,    0.0730,    0.0486,    96.941,    0.042,    3.127
18.5,    0.40,    0.5822,    0.0681,    0.0464,    92.467,    0.040,    2.918
19.5,    0.42,    0.5996,    0.0631,    0.0442,    87.993,    0.038,    2.705
20.6,    0.44,    0.6139,    0.0579,    0.0418,    83.518,    0.036,    2.482
21.7,    0.47,    0.6253,    0.0527,    0.0393,    78.298,    0.034,    2.260
22.8,    0.49,    0.6355,    0.0473,    0.0365,    73.079,    0.032,    2.028
23.9,    0.51,    0.6392,    0.0418,    0.0335,    67.113,    0.029,    1.793
25.0,    0.54,    0.6366,    0.0362,    0.0305,    61.147,    0.026,    1.552
26.1,    0.56,    0.6247,    0.0304,    0.0273,    54.436,    0.024,    1.303
27.1,    0.58,    0.5985,    0.0246,    0.0239,    47.725,    0.021,    1.054
28.2,    0.61,    0.5485,    0.0186,    0.0206,    41.013,    0.018,    0.796
29.3,    0.63,    0.4567,    0.0125,    0.0172,    34.302,    0.015,    0.538
30.4,    0.65,    0.2913,    0.0063,    0.0141,    28.337,    0.012,    0.271
31.5,    0.68,    -0.0037,    -0.0001,    0.0112,    22.371,    0.010,    -0.004
