# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.1371,    0.0848,    38.776,    0.053,    2.856
0.9,    0.04,    0.0666,    0.1373,    0.0867,    39.522,    0.054,    2.860
1.8,    0.08,    0.1305,    0.1373,    0.0884,    40.268,    0.055,    2.860
2.8,    0.13,    0.1917,    0.1372,    0.0902,    41.013,    0.056,    2.856
3.7,    0.17,    0.2502,    0.1368,    0.0920,    41.759,    0.057,    2.851
4.6,    0.21,    0.3059,    0.1364,    0.0937,    42.505,    0.058,    2.838
5.5,    0.25,    0.3588,    0.1357,    0.0953,    43.251,    0.059,    2.825
6.4,    0.29,    0.4090,    0.1347,    0.0969,    43.996,    0.060,    2.802
7.4,    0.34,    0.4564,    0.1335,    0.0984,    44.742,    0.061,    2.780
8.3,    0.38,    0.5011,    0.1320,    0.0997,    45.488,    0.062,    2.749
9.2,    0.42,    0.5429,    0.1302,    0.1008,    46.233,    0.063,    2.709
10.1,    0.46,    0.5819,    0.1280,    0.1017,    46.233,    0.063,    2.664
11.0,    0.50,    0.6181,    0.1253,    0.1022,    46.979,    0.064,    2.607
12.0,    0.55,    0.6514,    0.1221,    0.1024,    46.979,    0.064,    2.544
12.9,    0.59,    0.6819,    0.1183,    0.1021,    46.233,    0.064,    2.464
13.8,    0.63,    0.7095,    0.1136,    0.1010,    46.233,    0.063,    2.366
14.8,    0.67,    0.7339,    0.1082,    0.0992,    45.488,    0.062,    2.251
15.6,    0.71,    0.7552,    0.1021,    0.0966,    43.996,    0.060,    2.126
16.6,    0.76,    0.7734,    0.0951,    0.0930,    42.505,    0.058,    1.979
17.5,    0.80,    0.7888,    0.0872,    0.0883,    40.268,    0.055,    1.815
18.4,    0.84,    0.8015,    0.0793,    0.0831,    38.031,    0.052,    1.650
19.4,    0.88,    0.8116,    0.0712,    0.0774,    35.048,    0.048,    1.481
20.3,    0.92,    0.8195,    0.0629,    0.0710,    32.065,    0.044,    1.308
21.2,    0.97,    0.8255,    0.0544,    0.0637,    29.082,    0.040,    1.134
22.1,    1.01,    0.8286,    0.0457,    0.0557,    25.354,    0.035,    0.952
23.0,    1.05,    0.8266,    0.0368,    0.0468,    21.625,    0.029,    0.765
24.0,    1.09,    0.8142,    0.0278,    0.0373,    17.151,    0.023,    0.578
24.9,    1.13,    0.7796,    0.0186,    0.0271,    12.677,    0.017,    0.387
25.8,    1.18,    0.6775,    0.0094,    0.0163,    7.457,    0.010,    0.196
26.7,    1.22,    0.0014,    0.0000,    0.0051,    2.237,    0.003,    0.000
