# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.1103,    0.0806,    3194.578,    0.897,    43.366
1.9,    0.02,    0.0269,    0.1089,    0.0778,    3084.215,    0.866,    42.823
3.9,    0.04,    0.0547,    0.1074,    0.0756,    2995.476,    0.841,    42.227
5.8,    0.06,    0.0831,    0.1058,    0.0735,    2911.958,    0.818,    41.591
7.8,    0.08,    0.1155,    0.1038,    0.0692,    2741.938,    0.770,    40.835
9.7,    0.10,    0.1545,    0.1016,    0.0633,    2509.280,    0.705,    39.958
11.6,    0.12,    0.1979,    0.0991,    0.0578,    2291.536,    0.644,    38.975
13.6,    0.13,    0.2435,    0.0963,    0.0533,    2110.331,    0.593,    37.854
15.5,    0.15,    0.2811,    0.0928,    0.0509,    2014.881,    0.566,    36.502
17.4,    0.17,    0.3144,    0.0892,    0.0492,    1947.768,    0.547,    35.083
19.4,    0.19,    0.3465,    0.0855,    0.0475,    1881.401,    0.528,    33.611
21.3,    0.21,    0.3770,    0.0815,    0.0458,    1815.033,    0.510,    32.072
23.3,    0.23,    0.4059,    0.0776,    0.0442,    1750.158,    0.492,    30.519
25.2,    0.25,    0.4320,    0.0736,    0.0427,    1690.502,    0.475,    28.967
27.1,    0.27,    0.4541,    0.0698,    0.0414,    1642.031,    0.461,    27.459
29.1,    0.29,    0.4653,    0.0632,    0.0392,    1554.784,    0.437,    24.866
31.0,    0.31,    0.4906,    0.0621,    0.0390,    1545.836,    0.434,    24.439
33.0,    0.33,    0.5052,    0.0582,    0.0377,    1492.891,    0.419,    22.873
34.9,    0.35,    0.5168,    0.0540,    0.0362,    1435.472,    0.403,    21.249
36.8,    0.37,    0.5252,    0.0498,    0.0347,    1373.579,    0.386,    19.581
38.8,    0.38,    0.5296,    0.0453,    0.0329,    1304.975,    0.367,    17.820
40.7,    0.40,    0.5286,    0.0406,    0.0310,    1229.659,    0.345,    15.956
42.6,    0.42,    0.5203,    0.0358,    0.0291,    1154.343,    0.324,    14.070
44.6,    0.44,    0.4900,    0.0295,    0.0267,    1056.657,    0.297,    11.605
46.5,    0.46,    0.4761,    0.0263,    0.0255,    1010.423,    0.284,    10.338
48.5,    0.48,    0.4357,    0.0214,    0.0237,    938.090,    0.263,    8.429
50.4,    0.50,    0.3779,    0.0163,    0.0216,    857.555,    0.241,    6.423
52.3,    0.52,    0.2964,    0.0111,    0.0194,    770.308,    0.216,    4.359
54.3,    0.54,    0.1748,    0.0056,    0.0171,    678.587,    0.190,    2.184
56.2,    0.56,    -0.0136,    -0.0004,    0.0151,    596.560,    0.168,    -0.142
