# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.1830,    0.1082,    446.674,    0.267,    15.942
1.4,    0.03,    0.0511,    0.1797,    0.1044,    431.015,    0.257,    15.653
2.8,    0.06,    0.1035,    0.1766,    0.1013,    418.338,    0.250,    15.378
4.2,    0.09,    0.1564,    0.1728,    0.0984,    406.406,    0.242,    15.053
5.6,    0.12,    0.2093,    0.1690,    0.0958,    395.967,    0.236,    14.719
7.0,    0.15,    0.2614,    0.1645,    0.0934,    385.527,    0.230,    14.323
8.4,    0.18,    0.3122,    0.1598,    0.0912,    376.578,    0.225,    13.918
9.8,    0.21,    0.3611,    0.1548,    0.0891,    367.630,    0.220,    13.483
11.3,    0.24,    0.4073,    0.1495,    0.0871,    360.173,    0.215,    13.015
12.7,    0.27,    0.4503,    0.1437,    0.0853,    351.970,    0.210,    12.517
14.1,    0.30,    0.4897,    0.1379,    0.0836,    345.259,    0.206,    12.010
15.5,    0.33,    0.5266,    0.1320,    0.0818,    337.802,    0.202,    11.499
16.9,    0.36,    0.5615,    0.1259,    0.0798,    329.599,    0.197,    10.960
18.3,    0.39,    0.5943,    0.1197,    0.0777,    320.651,    0.192,    10.422
19.7,    0.42,    0.6249,    0.1132,    0.0753,    310.957,    0.186,    9.862
21.1,    0.45,    0.6535,    0.1065,    0.0726,    299.771,    0.179,    9.279
22.5,    0.47,    0.6802,    0.0997,    0.0696,    287.840,    0.172,    8.687
23.9,    0.50,    0.7046,    0.0928,    0.0665,    274.418,    0.164,    8.082
25.3,    0.53,    0.7271,    0.0857,    0.0630,    260.249,    0.155,    7.469
26.7,    0.56,    0.7462,    0.0786,    0.0594,    245.335,    0.146,    6.841
28.2,    0.59,    0.7621,    0.0712,    0.0555,    228.930,    0.137,    6.201
29.5,    0.62,    0.7742,    0.0637,    0.0513,    211.779,    0.126,    5.547
31.0,    0.65,    0.7814,    0.0562,    0.0469,    193.882,    0.116,    4.893
32.4,    0.68,    0.7786,    0.0484,    0.0424,    175.239,    0.105,    4.212
33.8,    0.71,    0.7626,    0.0404,    0.0377,    155.851,    0.093,    3.519
35.2,    0.74,    0.7251,    0.0326,    0.0334,    137.954,    0.082,    2.838
36.6,    0.77,    0.6414,    0.0257,    0.0309,    127.515,    0.076,    2.237
38.0,    0.80,    0.4930,    0.0162,    0.0263,    108.872,    0.065,    1.410
39.4,    0.83,    0.3112,    0.0077,    0.0205,    85.010,    0.051,    0.667
40.8,    0.86,    0.0025,    0.0000,    0.0173,    71.587,    0.043,    0.004
