# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.2067,    0.1326,    97.687,    0.103,    5.698
1.2,    0.04,    0.0675,    0.2065,    0.1361,    99.924,    0.106,    5.694
2.4,    0.09,    0.1313,    0.2063,    0.1398,    102.907,    0.109,    5.685
3.6,    0.13,    0.1915,    0.2061,    0.1436,    105.889,    0.112,    5.680
4.7,    0.18,    0.2482,    0.2059,    0.1475,    108.126,    0.115,    5.671
5.9,    0.22,    0.3015,    0.2055,    0.1516,    111.109,    0.118,    5.663
7.1,    0.27,    0.3515,    0.2051,    0.1557,    114.092,    0.121,    5.654
8.3,    0.31,    0.3982,    0.2045,    0.1599,    117.821,    0.125,    5.636
9.5,    0.36,    0.4418,    0.2036,    0.1639,    120.803,    0.128,    5.609
10.7,    0.40,    0.4824,    0.2022,    0.1678,    123.040,    0.131,    5.574
11.8,    0.44,    0.5202,    0.2004,    0.1713,    126.023,    0.134,    5.525
13.1,    0.49,    0.5555,    0.1978,    0.1741,    128.260,    0.136,    5.449
14.2,    0.53,    0.5886,    0.1938,    0.1757,    129.006,    0.137,    5.342
15.4,    0.58,    0.6202,    0.1873,    0.1746,    128.260,    0.136,    5.164
16.6,    0.62,    0.6511,    0.1777,    0.1699,    124.532,    0.133,    4.897
17.8,    0.67,    0.6791,    0.1678,    0.1648,    120.803,    0.128,    4.622
19.0,    0.71,    0.7043,    0.1576,    0.1592,    117.075,    0.124,    4.341
20.2,    0.76,    0.7270,    0.1472,    0.1530,    112.601,    0.119,    4.057
21.4,    0.80,    0.7469,    0.1364,    0.1461,    107.381,    0.114,    3.759
22.5,    0.84,    0.7632,    0.1253,    0.1387,    102.161,    0.108,    3.452
23.7,    0.89,    0.7754,    0.1139,    0.1307,    96.195,    0.102,    3.140
24.9,    0.93,    0.7830,    0.1019,    0.1216,    89.484,    0.095,    2.807
26.1,    0.98,    0.7836,    0.0896,    0.1118,    82.027,    0.087,    2.469
27.3,    1.02,    0.7753,    0.0769,    0.1015,    74.570,    0.079,    2.122
28.5,    1.07,    0.7541,    0.0642,    0.0909,    67.113,    0.071,    1.770
29.6,    1.11,    0.7143,    0.0514,    0.0800,    58.910,    0.062,    1.415
30.8,    1.16,    0.6464,    0.0385,    0.0689,    50.708,    0.054,    1.063
32.0,    1.20,    0.5320,    0.0256,    0.0577,    42.505,    0.045,    0.703
33.2,    1.25,    0.3397,    0.0128,    0.0469,    34.302,    0.037,    0.351
34.4,    1.29,    0.0002,    0.0000,    0.0365,    26.845,    0.028,    0.000
