# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.0865,    0.0521,    4.474,    0.014,    0.645
0.5,    0.05,    0.0739,    0.0867,    0.0533,    4.474,    0.014,    0.649
1.0,    0.09,    0.1445,    0.0869,    0.0546,    4.474,    0.014,    0.649
1.5,    0.14,    0.2118,    0.0871,    0.0560,    4.474,    0.015,    0.649
2.0,    0.18,    0.2757,    0.0873,    0.0575,    4.474,    0.015,    0.654
2.5,    0.23,    0.3361,    0.0876,    0.0591,    5.220,    0.016,    0.654
3.0,    0.27,    0.3930,    0.0878,    0.0608,    5.220,    0.016,    0.658
3.5,    0.32,    0.4465,    0.0880,    0.0626,    5.220,    0.016,    0.658
4.0,    0.36,    0.4965,    0.0882,    0.0645,    5.220,    0.017,    0.658
4.6,    0.41,    0.5432,    0.0883,    0.0664,    5.220,    0.018,    0.658
5.1,    0.45,    0.5867,    0.0884,    0.0684,    5.966,    0.018,    0.663
5.5,    0.50,    0.6269,    0.0885,    0.0705,    5.966,    0.019,    0.663
6.0,    0.54,    0.6641,    0.0885,    0.0725,    5.966,    0.019,    0.663
6.6,    0.59,    0.6983,    0.0883,    0.0746,    5.966,    0.020,    0.658
7.1,    0.64,    0.7295,    0.0877,    0.0764,    6.711,    0.020,    0.654
7.6,    0.68,    0.7578,    0.0864,    0.0776,    6.711,    0.021,    0.645
8.0,    0.73,    0.7832,    0.0843,    0.0781,    6.711,    0.021,    0.632
8.6,    0.77,    0.8058,    0.0813,    0.0778,    6.711,    0.021,    0.609
9.1,    0.82,    0.8254,    0.0772,    0.0764,    6.711,    0.020,    0.578
9.6,    0.86,    0.8424,    0.0715,    0.0732,    5.966,    0.019,    0.534
10.1,    0.91,    0.8557,    0.0648,    0.0687,    5.966,    0.018,    0.485
10.6,    0.95,    0.8651,    0.0580,    0.0639,    5.220,    0.017,    0.436
11.1,    1.00,    0.8704,    0.0512,    0.0587,    5.220,    0.015,    0.383
11.6,    1.04,    0.8680,    0.0442,    0.0531,    4.474,    0.014,    0.329
12.1,    1.09,    0.8557,    0.0371,    0.0472,    3.728,    0.013,    0.276
12.6,    1.13,    0.8285,    0.0299,    0.0410,    3.728,    0.011,    0.222
13.1,    1.18,    0.7773,    0.0226,    0.0343,    2.983,    0.009,    0.169
13.6,    1.23,    0.6802,    0.0151,    0.0273,    2.237,    0.007,    0.111
14.1,    1.27,    0.4797,    0.0076,    0.0201,    1.491,    0.005,    0.058
14.6,    1.32,    -0.0005,    0.0000,    0.0131,    0.746,    0.004,    0.000
