# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.0563,    0.0233,    1.491,    0.004,    0.294
0.2,    0.02,    0.0413,    0.0558,    0.0234,    1.491,    0.004,    0.294
0.4,    0.03,    0.0816,    0.0554,    0.0235,    1.491,    0.004,    0.289
0.5,    0.05,    0.1210,    0.0549,    0.0236,    1.491,    0.004,    0.285
0.7,    0.07,    0.1593,    0.0544,    0.0237,    1.491,    0.004,    0.285
0.9,    0.09,    0.1964,    0.0539,    0.0238,    1.491,    0.004,    0.280
1.1,    0.10,    0.2323,    0.0534,    0.0239,    1.491,    0.004,    0.280
1.3,    0.12,    0.2668,    0.0528,    0.0240,    1.491,    0.004,    0.276
1.4,    0.14,    0.2999,    0.0521,    0.0241,    1.491,    0.004,    0.271
1.6,    0.16,    0.3315,    0.0514,    0.0242,    1.491,    0.004,    0.267
1.7,    0.17,    0.3616,    0.0505,    0.0242,    1.491,    0.004,    0.262
1.9,    0.19,    0.3903,    0.0494,    0.0241,    1.491,    0.004,    0.258
2.1,    0.21,    0.4175,    0.0481,    0.0240,    1.491,    0.004,    0.249
2.3,    0.23,    0.4431,    0.0466,    0.0237,    1.491,    0.004,    0.245
2.5,    0.24,    0.4670,    0.0448,    0.0233,    1.491,    0.004,    0.236
2.6,    0.26,    0.4889,    0.0428,    0.0227,    1.491,    0.004,    0.222
2.8,    0.28,    0.5082,    0.0404,    0.0221,    1.491,    0.004,    0.209
3.0,    0.29,    0.5240,    0.0378,    0.0212,    1.491,    0.004,    0.196
3.2,    0.31,    0.5369,    0.0350,    0.0203,    0.746,    0.003,    0.182
3.4,    0.33,    0.5465,    0.0322,    0.0194,    0.746,    0.003,    0.169
3.5,    0.35,    0.5522,    0.0293,    0.0184,    0.746,    0.003,    0.151
3.7,    0.36,    0.5539,    0.0263,    0.0173,    0.746,    0.003,    0.138
3.9,    0.38,    0.5506,    0.0232,    0.0161,    0.746,    0.003,    0.120
4.1,    0.40,    0.5405,    0.0201,    0.0148,    0.746,    0.002,    0.107
4.2,    0.42,    0.5211,    0.0169,    0.0135,    0.746,    0.002,    0.089
4.4,    0.43,    0.4875,    0.0136,    0.0121,    0.746,    0.002,    0.071
4.6,    0.45,    0.4332,    0.0103,    0.0107,    0.746,    0.002,    0.053
4.7,    0.47,    0.3482,    0.0069,    0.0093,    0.746,    0.002,    0.036
4.9,    0.49,    0.2152,    0.0034,    0.0077,    0.746,    0.001,    0.018
5.1,    0.50,    -0.0059,    -0.0001,    0.0062,    0.000,    0.001,    0.000
