# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.1023,    0.1404,    6730.687,    2.216,    49.913
2.3,    0.02,    0.0179,    0.1017,    0.1334,    6393.631,    2.105,    49.624
4.6,    0.05,    0.0377,    0.1010,    0.1261,    6046.135,    1.991,    49.295
6.9,    0.07,    0.0598,    0.1002,    0.1184,    5675.522,    1.869,    48.922
9.3,    0.09,    0.0845,    0.0994,    0.1108,    5309.383,    1.748,    48.517
11.6,    0.12,    0.1128,    0.0984,    0.1027,    4923.111,    1.621,    48.050
13.9,    0.14,    0.1458,    0.0974,    0.0943,    4522.670,    1.489,    47.529
16.2,    0.16,    0.1845,    0.0961,    0.0858,    4114.772,    1.355,    46.911
18.5,    0.19,    0.2286,    0.0941,    0.0775,    3716.568,    1.224,    45.919
20.8,    0.21,    0.2797,    0.0916,    0.0694,    3327.313,    1.096,    44.718
23.1,    0.24,    0.3345,    0.0888,    0.0625,    2995.476,    0.986,    43.330
25.4,    0.26,    0.3889,    0.0856,    0.0570,    2732.244,    0.900,    41.778
27.8,    0.28,    0.4308,    0.0823,    0.0540,    2588.324,    0.852,    40.181
30.0,    0.31,    0.4682,    0.0790,    0.0517,    2476.469,    0.816,    38.575
32.4,    0.33,    0.5022,    0.0756,    0.0496,    2378.783,    0.783,    36.907
34.7,    0.35,    0.5334,    0.0720,    0.0477,    2284.824,    0.752,    35.137
37.0,    0.38,    0.5700,    0.0679,    0.0449,    2151.344,    0.708,    33.144
39.3,    0.40,    0.5924,    0.0633,    0.0428,    2051.420,    0.676,    30.915
41.6,    0.42,    0.6115,    0.0586,    0.0406,    1946.277,    0.641,    28.598
43.9,    0.45,    0.6283,    0.0539,    0.0384,    1838.896,    0.605,    26.298
46.3,    0.47,    0.6413,    0.0492,    0.0361,    1730.024,    0.570,    23.994
48.5,    0.49,    0.6504,    0.0444,    0.0338,    1618.169,    0.533,    21.672
50.9,    0.52,    0.6543,    0.0396,    0.0314,    1504.822,    0.495,    19.350
53.2,    0.54,    0.6461,    0.0350,    0.0294,    1407.136,    0.463,    17.095
55.5,    0.57,    0.6222,    0.0299,    0.0272,    1304.229,    0.429,    14.617
57.8,    0.59,    0.5858,    0.0245,    0.0246,    1178.951,    0.388,    11.948
60.1,    0.61,    0.5278,    0.0186,    0.0215,    1032.049,    0.340,    9.061
62.5,    0.64,    0.4382,    0.0127,    0.0184,    879.926,    0.290,    6.179
64.7,    0.66,    0.2834,    0.0065,    0.0152,    727.057,    0.239,    3.180
67.1,    0.68,    0.0013,    0.0000,    0.0121,    577.917,    0.190,    0.013
