# V,    J,    eta_p,    CT,    CP,    P,    Q,    T
0.0,    0.00,    0.0000,    0.1114,    0.0474,    1.491,    0.006,    0.414
0.2,    0.03,    0.0605,    0.1097,    0.0478,    1.491,    0.006,    0.409
0.4,    0.05,    0.1181,    0.1078,    0.0482,    1.491,    0.007,    0.400
0.6,    0.08,    0.1728,    0.1057,    0.0485,    1.491,    0.007,    0.391
0.8,    0.11,    0.2244,    0.1035,    0.0487,    1.491,    0.007,    0.387
1.0,    0.13,    0.2732,    0.1011,    0.0488,    1.491,    0.007,    0.378
1.2,    0.16,    0.3191,    0.0984,    0.0488,    1.491,    0.007,    0.365
1.4,    0.18,    0.3622,    0.0954,    0.0487,    1.491,    0.007,    0.356
1.6,    0.21,    0.4025,    0.0922,    0.0484,    1.491,    0.007,    0.343
1.8,    0.24,    0.4403,    0.0890,    0.0480,    1.491,    0.007,    0.329
2.0,    0.26,    0.4755,    0.0857,    0.0476,    1.491,    0.006,    0.320
2.2,    0.29,    0.5082,    0.0822,    0.0470,    1.491,    0.006,    0.307
2.4,    0.32,    0.5386,    0.0786,    0.0463,    1.491,    0.006,    0.294
2.6,    0.34,    0.5665,    0.0750,    0.0454,    1.491,    0.006,    0.280
2.8,    0.37,    0.5920,    0.0712,    0.0445,    1.491,    0.006,    0.267
3.0,    0.40,    0.6148,    0.0673,    0.0434,    1.491,    0.006,    0.249
3.2,    0.42,    0.6348,    0.0633,    0.0421,    1.491,    0.006,    0.236
3.4,    0.45,    0.6510,    0.0591,    0.0408,    1.491,    0.006,    0.218
3.6,    0.48,    0.6589,    0.0547,    0.0394,    0.746,    0.005,    0.205
3.8,    0.50,    0.6626,    0.0501,    0.0379,    0.746,    0.005,    0.187
4.0,    0.53,    0.6615,    0.0454,    0.0362,    0.746,    0.005,    0.169
4.2,    0.55,    0.6546,    0.0406,    0.0344,    0.746,    0.005,    0.151
4.4,    0.58,    0.6410,    0.0357,    0.0323,    0.746,    0.004,    0.133
4.6,    0.61,    0.6188,    0.0307,    0.0302,    0.746,    0.004,    0.116
4.8,    0.63,    0.5853,    0.0257,    0.0278,    0.746,    0.004,    0.098
5.0,    0.66,    0.5365,    0.0206,    0.0254,    0.746,    0.003,    0.076
5.2,    0.69,    0.4663,    0.0155,    0.0228,    0.746,    0.003,    0.058
5.4,    0.71,    0.3649,    0.0103,    0.0202,    0.746,    0.003,    0.040
5.6,    0.74,    0.2169,    0.0052,    0.0176,    0.746,    0.002,    0.018
5.8,    0.77,    -0.0018,    0.0000,    0.0150,    0.746,    0.002,    0.000
