# J, eta_p, CT, CP
0.0,0.00,0.1179,0.0458
0.0,0.06,0.1158,0.0462
0.1,0.11,0.1134,0.0464
0.1,0.17,0.1109,0.0465
0.1,0.22,0.1083,0.0465
0.1,0.26,0.1055,0.0465
0.1,0.31,0.1024,0.0463
0.2,0.35,0.0992,0.0460
0.2,0.39,0.0958,0.0455
0.2,0.43,0.0923,0.0450
0.2,0.47,0.0887,0.0444
0.3,0.50,0.0850,0.0437
0.3,0.53,0.0812,0.0429
0.3,0.56,0.0773,0.0420
0.3,0.58,0.0733,0.0410
0.3,0.61,0.0691,0.0399
0.4,0.63,0.0649,0.0387
0.4,0.64,0.0606,0.0373
0.4,0.66,0.0561,0.0357
0.4,0.67,0.0515,0.0340
0.5,0.68,0.0469,0.0322
0.5,0.68,0.0421,0.0302
0.5,0.68,0.0372,0.0280
0.5,0.67,0.0321,0.0257
0.6,0.65,0.0270,0.0233
0.6,0.62,0.0218,0.0207
0.6,0.56,0.0165,0.0180
0.6,0.46,0.0111,0.0153
0.7,0.29,0.0055,0.0126
0.7,-0.00,-0.0000,0.0100
