# J, eta_p, CT, CP
0.0,0.00,0.1204,0.0795
0.0,0.05,0.1198,0.0773
0.1,0.10,0.1190,0.0751
0.1,0.15,0.1179,0.0727
0.1,0.20,0.1166,0.0703
0.1,0.25,0.1150,0.0678
0.2,0.30,0.1131,0.0654
0.2,0.35,0.1109,0.0631
0.2,0.40,0.1083,0.0610
0.2,0.44,0.1054,0.0592
0.3,0.49,0.1021,0.0576
0.3,0.53,0.0986,0.0560
0.3,0.57,0.0947,0.0546
0.4,0.61,0.0905,0.0531
0.4,0.64,0.0860,0.0516
0.4,0.67,0.0812,0.0499
0.4,0.69,0.0762,0.0482
0.5,0.71,0.0711,0.0463
0.5,0.73,0.0659,0.0441
0.5,0.75,0.0605,0.0418
0.5,0.77,0.0551,0.0393
0.6,0.78,0.0496,0.0366
0.6,0.79,0.0439,0.0336
0.6,0.79,0.0380,0.0302
0.7,0.79,0.0319,0.0265
0.7,0.78,0.0257,0.0227
0.7,0.75,0.0194,0.0186
0.7,0.68,0.0130,0.0142
0.8,0.54,0.0066,0.0096
0.8,-0.00,0.0000,0.0051
