# J, eta_p, CT, CP
0.00,0.0000,0.0984,0.0414
0.02,0.0514,0.0968,0.0406
0.04,0.1024,0.0952,0.0398
0.06,0.1526,0.0933,0.0391
0.08,0.2020,0.0912,0.0383
0.10,0.2499,0.0892,0.0377
0.12,0.2964,0.0869,0.0370
0.15,0.3410,0.0844,0.0364
0.17,0.3832,0.0818,0.0358
0.19,0.4231,0.0791,0.0352
0.21,0.4603,0.0761,0.0346
0.23,0.4949,0.0729,0.0339
0.25,0.5277,0.0699,0.0332
0.27,0.5577,0.0665,0.0324
0.29,0.5851,0.0630,0.0315
0.31,0.6098,0.0593,0.0304
0.33,0.6330,0.0558,0.0294
0.35,0.6533,0.0520,0.0282
0.37,0.6709,0.0482,0.0270
0.39,0.6856,0.0443,0.0256
0.41,0.6976,0.0403,0.0241
0.44,0.7060,0.0363,0.0225
0.46,0.7102,0.0321,0.0208
0.48,0.7076,0.0278,0.0189
0.50,0.6956,0.0234,0.0169
0.52,0.6704,0.0188,0.0148
0.54,0.6253,0.0143,0.0126
0.56,0.5421,0.0096,0.0103
0.58,0.3760,0.0048,0.0079
0.60,-0.0052,-0.0001,0.0056
