# J, eta_p, CT, CP
0.0,0.00,0.1594,0.1061
0.0,0.05,0.1590,0.1045
0.1,0.11,0.1584,0.1029
0.1,0.16,0.1576,0.1013
0.1,0.21,0.1565,0.0996
0.2,0.27,0.1549,0.0980
0.2,0.32,0.1529,0.0964
0.2,0.37,0.1502,0.0949
0.3,0.42,0.1469,0.0934
0.3,0.47,0.1428,0.0919
0.3,0.51,0.1380,0.0902
0.4,0.55,0.1325,0.0883
0.4,0.59,0.1264,0.0862
0.4,0.62,0.1202,0.0840
0.5,0.65,0.1138,0.0817
0.5,0.68,0.1073,0.0791
0.5,0.70,0.1006,0.0763
0.6,0.72,0.0936,0.0731
0.6,0.74,0.0866,0.0696
0.6,0.76,0.0794,0.0659
0.7,0.78,0.0720,0.0618
0.7,0.78,0.0645,0.0574
0.7,0.79,0.0568,0.0527
0.8,0.79,0.0490,0.0477
0.8,0.77,0.0411,0.0425
0.8,0.74,0.0331,0.0370
0.9,0.69,0.0248,0.0311
0.9,0.59,0.0166,0.0255
0.9,0.38,0.0082,0.0200
1.0,-0.01,-0.0002,0.0151
