# J, eta_p, CT, CP
0.0,0.00,0.1360,0.0693
0.0,0.05,0.1348,0.0684
0.1,0.11,0.1333,0.0675
0.1,0.16,0.1316,0.0670
0.1,0.21,0.1296,0.0663
0.1,0.26,0.1273,0.0655
0.2,0.31,0.1247,0.0648
0.2,0.36,0.1218,0.0640
0.2,0.40,0.1186,0.0631
0.2,0.44,0.1150,0.0622
0.3,0.49,0.1113,0.0611
0.3,0.52,0.1072,0.0599
0.3,0.56,0.1028,0.0586
0.3,0.59,0.0982,0.0572
0.4,0.63,0.0932,0.0556
0.4,0.65,0.0880,0.0538
0.4,0.68,0.0825,0.0517
0.4,0.70,0.0770,0.0495
0.5,0.73,0.0713,0.0471
0.5,0.74,0.0655,0.0445
0.5,0.76,0.0595,0.0416
0.6,0.77,0.0534,0.0385
0.6,0.79,0.0472,0.0352
0.6,0.79,0.0408,0.0316
0.6,0.79,0.0344,0.0278
0.7,0.78,0.0278,0.0239
0.7,0.75,0.0211,0.0197
0.7,0.68,0.0142,0.0152
0.7,0.53,0.0072,0.0104
0.8,-0.00,0.0000,0.0058
