# J, eta_p, CT, CP
0.00,0.0000,0.0993,0.0510
0.02,0.0514,0.0985,0.0496
0.05,0.1035,0.0974,0.0481
0.07,0.1561,0.0961,0.0466
0.10,0.2089,0.0947,0.0452
0.12,0.2616,0.0930,0.0439
0.14,0.3135,0.0910,0.0427
0.17,0.3639,0.0888,0.0416
0.19,0.4121,0.0864,0.0407
0.22,0.4577,0.0838,0.0399
0.24,0.5004,0.0810,0.0391
0.26,0.5403,0.0780,0.0383
0.29,0.5776,0.0747,0.0374
0.31,0.6109,0.0712,0.0366
0.34,0.6407,0.0676,0.0356
0.36,0.6672,0.0637,0.0345
0.38,0.6909,0.0597,0.0333
0.41,0.7123,0.0557,0.0320
0.43,0.7315,0.0515,0.0305
0.46,0.7479,0.0473,0.0289
0.48,0.7611,0.0430,0.0272
0.51,0.7711,0.0386,0.0253
0.53,0.7777,0.0341,0.0232
0.55,0.7801,0.0295,0.0210
0.58,0.7754,0.0248,0.0185
0.60,0.7578,0.0200,0.0159
0.63,0.7209,0.0151,0.0132
0.65,0.6487,0.0102,0.0102
0.67,0.4820,0.0051,0.0072
0.70,-0.0059,-0.0000,0.0044
