# J, eta_p, CT, CP
0.0,0.00,0.0946,0.0513
0.0,0.05,0.0939,0.0500
0.1,0.10,0.0931,0.0486
0.1,0.15,0.0922,0.0473
0.1,0.20,0.0910,0.0460
0.1,0.25,0.0897,0.0447
0.1,0.30,0.0881,0.0434
0.2,0.35,0.0864,0.0423
0.2,0.40,0.0844,0.0415
0.2,0.45,0.0821,0.0405
0.2,0.49,0.0796,0.0396
0.3,0.53,0.0768,0.0387
0.3,0.57,0.0738,0.0378
0.3,0.60,0.0706,0.0369
0.3,0.63,0.0671,0.0359
0.4,0.66,0.0634,0.0349
0.4,0.69,0.0595,0.0337
0.4,0.71,0.0555,0.0323
0.4,0.73,0.0514,0.0309
0.5,0.74,0.0472,0.0293
0.5,0.76,0.0430,0.0276
0.5,0.76,0.0386,0.0257
0.5,0.77,0.0341,0.0236
0.6,0.77,0.0295,0.0213
0.6,0.77,0.0248,0.0188
0.6,0.75,0.0200,0.0162
0.6,0.71,0.0151,0.0135
0.6,0.64,0.0102,0.0106
0.7,0.47,0.0051,0.0076
0.7,-0.00,-0.0000,0.0049
