# J, eta_p, CT, CP
0.0,0.00,0.1210,0.0968
0.0,0.05,0.1210,0.0957
0.1,0.10,0.1210,0.0945
0.1,0.15,0.1210,0.0931
0.1,0.20,0.1210,0.0918
0.2,0.25,0.1208,0.0904
0.2,0.30,0.1206,0.0892
0.2,0.35,0.1202,0.0878
0.3,0.39,0.1196,0.0864
0.3,0.44,0.1187,0.0850
0.3,0.49,0.1173,0.0834
0.4,0.54,0.1154,0.0817
0.4,0.59,0.1129,0.0804
0.5,0.63,0.1096,0.0787
0.5,0.67,0.1055,0.0768
0.5,0.70,0.1004,0.0744
0.6,0.73,0.0946,0.0717
0.6,0.76,0.0883,0.0688
0.6,0.78,0.0818,0.0655
0.7,0.80,0.0752,0.0619
0.7,0.82,0.0683,0.0579
0.7,0.83,0.0613,0.0536
0.8,0.84,0.0543,0.0490
0.8,0.85,0.0470,0.0440
0.8,0.86,0.0395,0.0383
0.9,0.85,0.0319,0.0324
0.9,0.83,0.0242,0.0262
0.9,0.78,0.0163,0.0196
1.0,0.63,0.0082,0.0128
1.0,0.00,0.0000,0.0068
