# J, eta_p, CT, CP
0.0,0.00,0.1884,0.1651
0.0,0.04,0.1883,0.1614
0.1,0.09,0.1880,0.1575
0.1,0.13,0.1877,0.1535
0.1,0.18,0.1870,0.1492
0.2,0.23,0.1860,0.1447
0.2,0.28,0.1845,0.1399
0.2,0.33,0.1824,0.1349
0.3,0.38,0.1796,0.1297
0.3,0.43,0.1760,0.1247
0.3,0.48,0.1715,0.1201
0.4,0.53,0.1661,0.1159
0.4,0.58,0.1597,0.1120
0.4,0.62,0.1525,0.1083
0.5,0.65,0.1444,0.1046
0.5,0.68,0.1362,0.1011
0.5,0.71,0.1278,0.0973
0.6,0.73,0.1192,0.0933
0.6,0.75,0.1104,0.0888
0.6,0.77,0.1014,0.0839
0.7,0.79,0.0922,0.0786
0.7,0.81,0.0828,0.0727
0.7,0.82,0.0732,0.0664
0.8,0.82,0.0633,0.0595
0.8,0.82,0.0532,0.0521
0.8,0.82,0.0429,0.0443
0.9,0.79,0.0325,0.0361
0.9,0.72,0.0216,0.0275
0.9,0.54,0.0110,0.0193
1.0,-0.00,-0.0000,0.0112
